,artist,title
0,Taylor Swift,All Too Well (Taylor's Version)
1,Adele,Easy On Me
2,The Kid LAROI & Justin Bieber,Stay
3,Lil Nas X & Jack Harlow,Industry Baby
4,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window
5,Ed Sheeran,Bad Habits
6,Ed Sheeran,Shivers
7,Glass Animals,Heat Waves
8,Doja Cat,Need To Know
9,Walker Hayes,Fancy Like
10,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
11,Drake Featuring Future & Young Thug,Way 2 Sexy
12,Olivia Rodrigo,Good 4 U
13,Doja Cat & The Weeknd,You Right
14,Wizkid Featuring Justin Bieber & Tems,Essence
15,Maneskin,Beggin'
16,Dua Lipa,Levitating
17,Taylor Swift,State Of Grace (Taylor's Version)
18,Post Malone & The Weeknd,One Right Now
19,Juice WRLD,Already Dead
20,Doja Cat Featuring SZA,Kiss Me More
21,Taylor Swift Featuring Chris Stapleton,I Bet You Think About Me (Taylor's Version) (From The Vault)
22,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open
23,Jason Aldean & Carrie Underwood,If I Didn't Love You
24,Taylor Swift,Red (Taylor's Version)
25,The Weeknd & Ariana Grande,Save Your Tears
26,Drake Featuring 21 Savage & Project Pat,Knife Talk
27,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot
28,NEIKED X Mae Muller X Polo G,Better Days
29,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You
30,Drake Featuring Lil Baby,Girls Want Girls
31,Luke Combs,Cold As You
32,Justin Bieber,Ghost
33,CKay,Love Nwantiti (Ah Ah Ah)
34,Ryan Hurd With Maren Morris,Chasing After You
35,Mariah Carey,All I Want For Christmas Is You
36,Coldplay x BTS,My Universe
37,Jordan Davis Featuring Luke Bryan,Buy Dirt
38,Lil Nas X,Thats What I Want
39,Billie Eilish,Happier Than Ever
40,Farruko,Pepas
41,Chris Stapleton,You Should Probably Leave
42,Taylor Swift Featuring Phoebe Bridgers,Nothing New (Taylor's Version) (From The Vault)
43,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??
44,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault)
45,Taylor Swift,I Knew You Were Trouble (Taylor's Version)
46,Taylor Swift Featuring Ed Sheeran,Run (Taylor's Version) (From The Vault)
47,Lil Nas X,Montero (Call Me By Your Name)
48,Polo G,Bad Man (Smooth Criminal)
49,Zac Brown Band,Same Boat
50,Taylor Swift,Better Man (Taylor's Version) (From The Vault)
51,Taylor Swift,22 (Taylor's Version)
52,Luke Combs,Doin' This
53,Taylor Swift,Treacherous (Taylor's Version)
54,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version)
55,Summer Walker & SZA,No Love
56,Normani Featuring Cardi B,Wild Side
57,Chloe,Have Mercy
58,Taylor Swift,I Almost Do (Taylor's Version)
59,Blxst & Tyga Featuring Ty Dolla $ign,Chosen
60,Taylor Swift,The Very First Night (Taylor's Version) (From The Vault)
61,Baby Keem & Kendrick Lamar,Family Ties
62,Taylor Swift Featuring Ed Sheeran,Everything Has Changed (Taylor's Version)
63,Morgan Wallen,Sand In My Boots
64,Capella Grey,Gyalis
65,Taylor Swift Featuring Gary Lightbody Of Snow Patrol,The Last Time (Taylor's Version)
66,Taylor Swift,Stay Stay Stay (Taylor's Version)
67,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,After Last Night
68,Taylor Swift,Babe (Taylor's Version) (From The Vault)
69,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations
70,Travis Scott,Escape Plan
71,Kane Brown,One Mississippi
72,Silk Sonic (Bruno Mars & Anderson .Paak),Blast Off
73,Kenny Chesney,Knowing You
74,Silk Sonic (Bruno Mars & Anderson .Paak),Skate
