,artist,title
0,BTS,Dynamite
1,Cardi B Featuring Megan Thee Stallion,WAP
2,Drake Featuring Lil Durk,Laugh Now Cry Later
3,DaBaby Featuring Roddy Ricch,Rockstar
4,The Weeknd,Blinding Lights
5,Harry Styles,Watermelon Sugar
6,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin
7,24kGoldn Featuring iann dior,Mood
8,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat)
9,Lewis Capaldi,Before You Go
10,SAINt JHN,Roses
11,Gabby Barrett Featuring Charlie Puth,I Hope
12,BLACKPINK X Selena Gomez,Ice Cream
13,Chris Brown & Young Thug,Go Crazy
14,Post Malone,Circles
15,Dua Lipa,Break My Heart
16,Pop Smoke Featuring Lil Baby & DaBaby,For The Night
17,Harry Styles,Adore You
18,Juice WRLD x Marshmello,Come & Go
19,Pop Smoke Featuring Lil Tjay,Mood Swings
20,Saweetie,Tap In
21,Kane Brown With Swae Lee & Khalid,Be Like That
22,Dua Lipa,Don't Start Now
23,DJ Khaled Featuring Drake,Popstar
24,Maddie & Tae,Die From A Broken Heart
25,Luke Combs,Lovin' On You
26,JP Saxe Featuring Julia Michaels,If The World Was Ending
27,Maren Morris,The Bones
28,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo
29,Megan Thee Stallion,Savage
30,Jason Aldean,Got What I Got
31,Rod Wave Featuring ATR Son Son,Rags2Riches
32,Lee Brice,One Of Them Girls
33,Lady Gaga & Ariana Grande,Rain On Me
34,Lil Mosey,Blueberry Faygo
35,Powfu Featuring beabadoobee,Death Bed
36,Miley Cyrus,Midnight Sky
37,Calvin Harris X The Weeknd,Over Now
38,Future Featuring Drake,Life Is Good
39,Juice WRLD,Wishing Well
40,Kane Brown,Cool Again
41,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",Be A Light
42,Luke Bryan,One Margarita
43,Megan Thee Stallion,Girls In The Hood
44,Taylor Swift,Cardigan
45,Doja Cat Featuring Nicki Minaj,Say So
46,Morgan Wallen,Chasin' You
47,Maroon 5,Nobody's Love
48,Justin Bieber Featuring Quavo,Intentions
49,Lil Baby & 42 Dugg,We Paid
50,Conan Gray,Heather
51,Lil Baby,The Bigger Picture
52,Doja Cat Featuring Gucci Mane,Like That
53,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade
54,StaySolidRocky,Party Girl
55,Morgan Wallen,7 Summers
56,Chris Stapleton,Starting Over
57,AJR,Bang!
58,Juice WRLD & The Weeknd,Smile
59,Maluma & The Weeknd,Hawai
60,Dan + Shay,I Should Probably Go To Bed
61,Florida Georgia Line,I Love My Country
62,Morgan Wallen,More Than My Hometown
63,Moneybagg Yo,Said Sum
64,DJ Khaled Featuring Drake,Greece
65,Keith Urban,God Whispered Your Name
66,Money Man Featuring Lil Baby,24
67,Machine Gun Kelly X blackbear,My Ex's Best Friend
68,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day)
69,Surf Mesa Featuring Emilee,ily
70,Topic & A7S,Breaking Me
71,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer
72,YoungBoy Never Broke Again,Kacey Talk
73,Jameson Rodgers,Some Girls
74,Ava Max,Kings & Queens
75,Justin Moore,Why We Drink
76,Ashley McBryde,One Night Standards
77,Billie Eilish,My Future
78,Internet Money Featuring Juice WRLD & Trippie Redd,Blastoff
79,Parker McCollum,Pretty Heart
80,Blake Shelton Featuring Gwen Stefani,Happy Anywhere
81,Tim McGraw,I Called Mama
82,Ty Dolla $ign Featuring Nicki Minaj,Expensive
83,Ozuna x Karol G x Myke Towers,Caramelo
84,Polo G,Martin & Gina
85,Gunna Featuring Young Thug,Dollaz On My Head
86,Tate McRae,You Broke Me First.
87,Migos Featuring YoungBoy Never Broke Again,Need It
88,Don Toliver,After Party
89,WhoHeem,Lets Link
90,Ariana Grande & Justin Bieber,Stuck With U
91,Taylor Swift,The 1
92,Chase Rice,Lonely If You Are
93,Chris Janson,Done
94,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta
95,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat
96,YoungBoy Never Broke Again,All In
97,Pop Smoke,Got It On Me
98,Jon Pardi,Ain't Always The Cowboy
99,Rod Wave,Girl Of My Dreams
108,Justin Bieber Featuring Chance The Rapper,Holy
113,Justin Bieber & benny blanco,Lonely
120,Fleetwood Mac,Dreams
124,Pop Smoke,What You Know Bout Love
129,Shawn Mendes,Wonder
134,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas
138,Travis Scott Featuring Young Thug & M.I.A.,Franchise
140,Russell Dickerson,Love You Like I Used To
141,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now
146,Dua Lipa,Levitating
149,21 Savage & Metro Boomin,Runnin
151,Yung Bleu Featuring Drake,You're Mines Still
155,Matt Stell,Everywhere But On
156,Luke Combs,Better Together
159,Sam Smith,Diamonds
162,Megan Thee Stallion Featuring Young Thug,Don't Stop
165,SZA Featuring Ty Dolla $ign,Hit Different
167,Chris Lane,"Big, Big Plans"
168,Jhene Aiko Featuring H.E.R.,B.S.
169,Ne-Yo & Jeremih,U 2 Luv
170,G-Eazy Featuring blackbear,Hate The Way
172,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",Relacion
173,Niko Moon,Good Time
174,Chloe X Halle,Do It
177,DaBaby Featuring Young Thug,Blind
178,Ritt Momney,Put Your Records On
179,Marshmello & Demi Lovato,OK Not To Be OK
180,Larray,Canceled
181,21 Savage & Metro Boomin,Glock In My Lap
184,Kenny Chesney,Happy Does
191,Machine Gun Kelly,Bloody Valentine
192,BRS Kash,Throat Baby (Go Baby)
193,Kelsea Ballerini,Hole In The Bottle
196,T.I. Featuring Lil Baby,Pardon
197,Keith Urban Duet With P!nk,One Too Many
199,Lady A,Champagne Night
269,Luke Combs Featuring Amanda Shires,Without You
279,Lil Tecca & Lil Uzi Vert,Dolly
287,VEDO,You Got It
288,YoungBoy Never Broke Again Featuring Lil Wayne,My Window
289,Lil Tecca & Polo G Featuring Lil Durk,When You Down
290,Anitta Featuring Cardi B & Myke Towers,Me Gusta
291,YFN Lucci,Wet. (She Got That...)
296,YoungBoy Never Broke Again,Drug Addiction
299,Big Sean Featuring Post Malone,Wolves
325,21 Savage & Metro Boomin Featuring Young Thug,Rich N*gga Sh*t
331,21 Savage & Metro Boomin,Slidin
332,21 Savage & Metro Boomin,Many Men
336,Why Don't We,Fallin'
347,Bryson Tiller Featuring Drake,Outta Time
355,21 Savage & Metro Boomin,My Dawg
356,21 Savage & Metro Boomin,Brand New Draco
358,BLACKPINK,Lovesick Girls
360,21 Savage & Metro Boomin Featuring Young Nudy,Snitches & Rats
370,21 Savage & Metro Boomin,No Opp Left Behind
373,21 Savage & Metro Boomin,Steppin On N*ggas
375,21 Savage & Metro Boomin,RIP Luv
382,Bryson Tiller,Always Forever
383,Bryson Tiller,Years Go By
390,21 Savage & Metro Boomin,Said N Done
392,Polo G,Epidemic
395,Machine Gun Kelly & Halsey,Forget Me Too
400,Roddy Ricch,The Box
403,Tones And I,Dance Monkey
405,Arizona Zervas,Roxanne
406,Maroon 5,Memories
407,Lewis Capaldi,Someone You Loved
410,Justin Bieber,Yummy
411,Billie Eilish,Everything I Wanted
412,Dan + Shay & Justin Bieber,"10,000 Hours"
413,The Weeknd,Heartless
414,blackbear,Hot Girl Bummer
415,Billie Eilish,No Time To Die
416,Mustard & Roddy Ricch,Ballin'
417,DaBaby,BOP
420,Selena Gomez,Lose You To Love Me
421,Lizzo,Good As Hell
422,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",Numbers
423,Justin Bieber Featuring Post Malone & Clever,Forever
424,Camila Cabello Featuring DaBaby,My Oh My
425,Roddy Ricch Featuring Mustard,High Fashion
426,Trevor Daniel,Falling
427,Lil Baby,Woah
428,Halsey,You Should Be Sad
429,Billie Eilish,Bad Guy
430,Chris Brown Featuring Drake,No Guidance
431,Shawn Mendes & Camila Cabello,Senorita
432,Jonas Brothers,What A Man Gotta Do
433,Sam Hunt,Kinfolks
434,Travis Scott,HIGHEST IN THE ROOM
435,Eminem Featuring Juice WRLD,Godzilla
436,SHAED,Trampoline
437,Old Dominion,One Man Band
438,Ed Sheeran & Justin Bieber,I Don't Care
439,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life)
440,Jonas Brothers,Sucker
441,Jonas Brothers,Only Human
442,Kane Brown,Homesick
444,Lizzo,Truth Hurts
445,Sam Smith,To Die For
446,Karol G & Nicki Minaj,Tusa
447,"Migos, Young Thug & Travis Scott",g n f (Give No Fxk)
448,Pop Smoke,Dior
449,Lil Baby,Sum 2 Prove
451,Doja Cat & Tyga,Juicy
452,Jimmie Allen,Make Me Want To
454,H.E.R. Featuring YG,Slide
455,YNW Melly & Juice WRLD,Suicidal
456,Russ & BIA,BEST ON EARTH
457,A Boogie Wit da Hoodie,Me And My Guitar
458,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border
459,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid
460,Rod Wave,Heart On Ice
461,Juice WRLD & YoungBoy Never Broke Again,Bandit
462,Blake Shelton Duet With Gwen Stefani,Nobody But You
463,Luke Bryan,What She Wants Tonight
464,Carly Pearce & Lee Brice,I Hope You're Happy Now
465,A Boogie Wit da Hoodie Featuring Young Thug,Might Not Give Up
466,Riley Green,I Wish Grandpas Never Died
467,JACKBOYS Featuring Young Thug,Out West
468,Jason Aldean,We Back
469,Ingrid Andress,More Hearts Than Mine
471,Jordan Davis,Slow Dance In A Parking Lot
472,A Boogie Wit da Hoodie,Thug Love
473,Jake Owen,Homemade
474,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES
476,The Weeknd,After Hours
477,Khalid x Disclosure,Know Your Worth
478,Bad Bunny & Sech,Ignorantes
479,A Boogie Wit da Hoodie Featuring DaBaby,Stain
480,Nicki Minaj,Yikes
481,YoungBoy Never Broke Again,Make No Sense
482,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless
484,Dustin Lynch,Ridin' Roads
485,Justin Bieber,Come Around Me
486,Brett Young,Catch
487,Megan Thee Stallion,B.I.T.C.H.
488,Kelsea Ballerini,homecoming queen?
489,Selena Gomez,Rare
490,A Boogie Wit da Hoodie,King Of My City
491,Garth Brooks & Blake Shelton,Dive Bar
492,BrockHampton,SUGAR
493,Summer Walker & Usher,Come Thru
494,A Boogie Wit da Hoodie,Cinderella Story
495,Bad Bunny,Vete
496,Idina Menzel & AURORA,Into The Unknown
497,Justin Bieber,Habitual
498,Jhene Aiko,P*$$y Fairy (OTW)
499,Justin Bieber,All Around Me
532,Lil Wayne Featuring Big Sean & Lil Baby,I Do It
542,Luke Combs,Even Though I'm Leaving
546,Young Thug Featuring Gunna,Hot
547,Jon Pardi,Heartache Medication
549,Taylor Swift,Only The Young
555,Demi Lovato,Anyone
559,Dua Lipa,Physical
560,Lil Wayne,Mahogany
562,DaBaby,VIBEZ
569,Lil Uzi Vert,Futsal Shuffle 2020
572,Meek Mill Featuring Roddy Ricch,Letter To Nipsey
577,Don Toliver,No Idea
581,Mac Miller,Good News
582,Roddy Ricch & Gunna,Start Wit Me
586,Lil Wayne,Mama Mia
587,Lil Wayne,Funeral
588,Meghan Trainor Featuring Nicki Minaj,Nice To Meet Ya
591,Tory Lanez & T-Pain,Jerry Sprunger
592,Justin Bieber Featuring Kehlani,Get Me
595,DaniLeigh Featuring Chris Brown,Easy
597,MoneyBagg Yo Featuring Lil Baby,U Played
598,NLE Choppa,Camelot
599,Baby Keem,ORANGE SODA
627,Eminem,Darkness
630,Eminem Featuring Ed Sheeran,Those Kinda Nights
635,Eminem Featuring Young M.A,Unaccommodating
637,Mac Miller,Blue World
638,Lil Nas X,Panini
647,Mac Miller,Circles
651,"Eminem Featuring Royce da 5'9"" & White Gold",You Gon' Learn
653,Halsey,Graveyard
656,BTS,Black Swan
660,Eminem Featuring Skylar Grey,Leaving Heaven
662,Mac Miller,Complicated
663,Mac Miller,Hand Me Downs
666,Eminem,Premonition (Intro)
667,Mac Miller,I Can See
670,Eminem,In Too Deep
674,Mac Miller,Woods
679,Mac Miller,Everybody
682,Eminem,Marsh
683,Eminem Featuring Don Toliver,No Regrets
688,Eminem Featuring Anderson .Paak,Lock It Up
690,Mac Miller,Surf
692,Eminem,Stepdad
693,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want
699,Mac Miller,That's On Me
700,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts
702,Drake,Toosie Slide
710,Juice WRLD,Righteous
727,Surfaces,Sunday Best
729,Luke Combs Featuring Eric Church,Does To Me
739,Thomas Rhett Featuring Jon Pardi,Beer Can't Fix
740,twenty one pilots,Level Of Concern
741,Demi Lovato,I Love Me
743,Travis Denning,After A Few
744,Lil Baby,All In
746,Sam Hunt,Hard To Forget
747,BENEE Featuring Gus Dapperton,Supalonely
748,Travis Scott,Goosebumps
750,The Weeknd,In Your Eyes
755,NLE Choppa Featuring Roddy Ricch,Walk Em Down
757,DaBaby Featuring YoungBoy Never Broke Again,Jump
760,Lady Gaga,Stupid Love
761,Bad Bunny,Yo Perreo Sola
762,Sam Smith & Demi Lovato,I'm Ready
764,Lil Uzi Vert,Sasuke
766,DaBaby,Find My Way
768,PARTYNEXTDOOR & Rihanna,Believe It
769,Miranda Lambert,Bluebird
770,Lil Baby,Emotionally Scarred
772,Kenny Chesney,Here And Now
773,"NAV, Gunna & Travis Scott",Turks
779,Regard,Ride It.
781,Scotty McCreery,In Between
782,YoungBoy Never Broke Again,Ain't Easy
785,YoungBoy Never Broke Again,Diamonds
786,Lil Uzi Vert,Myron
