start,stop,weight
might,run,166
might,find,153
might,friend,127
might,well,115
might,ayy,111
might,talkin,107
might,away,107
might,hand,104
might,damn,102
might,ah,94
might,whole,94
might,hey,88
might,work,78
might,alone,77
might,hurt,68
might,ready,64
might,somebody,63
might,woo,59
might,fine,53
might,truth,52
might,guess,51
also,lyric,717
also,like,672
also,n't,640
also,'s,620
also,'m,560
also,know,521
also,yeah,451
also,say,398
also,ai,385
also,'cause,340
also,love,337
also,take,332
also,want,330
also,na,323
also,let,317
also,back,318
also,oh,308
also,gon,287
also,shit,277
also,way,267
also,wan,258
also,feel,254
also,think,245
also,good,236
also,life,216
also,call,199
also,'bout,198
also,girl,193
also,'ve,190
also,ooh,175
also,would,174
also,man,174
also,run,166
also,find,153
also,friend,127
also,well,115
also,ayy,111
also,talkin,107
also,away,107
also,hand,104
also,damn,102
also,ah,94
also,whole,94
also,hey,88
also,work,78
also,alone,77
also,hurt,68
also,ready,64
also,somebody,63
also,woo,59
also,fine,53
also,truth,52
also,guess,51
lyric,n't,626
lyric,'m,549
lyric,know,509
lyric,yeah,444
lyric,say,390
lyric,ai,382
lyric,'cause,329
lyric,take,326
lyric,want,325
lyric,na,317
lyric,back,312
lyric,oh,299
lyric,gon,283
lyric,shit,273
lyric,way,260
lyric,wan,253
lyric,feel,249
lyric,think,243
lyric,good,232
lyric,life,212
lyric,call,195
lyric,'bout,196
lyric,girl,190
lyric,ooh,172
lyric,would,172
lyric,man,172
lyric,run,164
lyric,find,150
lyric,friend,124
lyric,well,112
lyric,ayy,111
lyric,talkin,106
lyric,away,102
lyric,hand,103
lyric,damn,101
lyric,ah,94
lyric,whole,92
lyric,hey,86
lyric,work,77
lyric,hurt,66
lyric,ready,62
lyric,somebody,63
lyric,woo,59
lyric,fine,51
lyric,truth,50
lyric,guess,49
like,n't,598
like,'m,535
like,know,492
like,yeah,434
like,say,381
like,ai,373
like,'cause,322
like,take,312
like,want,318
like,na,305
like,back,304
like,oh,292
like,gon,276
like,shit,273
like,way,249
like,wan,248
like,feel,248
like,think,232
like,good,228
like,life,208
like,call,191
like,'bout,195
like,girl,191
like,ooh,168
like,would,163
like,man,169
like,run,162
like,find,145
like,friend,122
like,well,112
like,ayy,106
like,talkin,105
like,away,93
like,hand,97
like,damn,97
like,ah,88
like,whole,89
like,hey,83
like,work,76
like,hurt,64
like,ready,61
like,somebody,61
like,woo,59
like,fine,49
like,truth,50
like,guess,48
n't,'s,586
n't,'m,535
n't,know,498
n't,yeah,421
n't,say,378
n't,ai,385
n't,'cause,327
n't,love,315
n't,take,319
n't,want,319
n't,na,304
n't,let,300
n't,back,302
n't,oh,278
n't,gon,277
n't,shit,275
n't,way,252
n't,wan,252
n't,feel,244
n't,think,238
n't,good,227
n't,life,211
n't,call,189
n't,'bout,196
n't,girl,183
n't,'ve,181
n't,ooh,169
n't,would,167
n't,man,166
n't,run,159
n't,find,143
n't,friend,116
n't,well,112
n't,ayy,109
n't,talkin,106
n't,away,97
n't,hand,97
n't,damn,100
n't,ah,85
n't,whole,93
n't,hey,83
n't,work,74
n't,alone,74
n't,hurt,68
n't,ready,62
n't,somebody,62
n't,woo,55
n't,fine,49
n't,truth,51
n't,guess,49
's,'m,507
's,know,473
's,yeah,405
's,say,362
's,ai,360
's,'cause,312
's,take,301
's,want,297
's,na,286
's,back,283
's,oh,266
's,gon,263
's,shit,265
's,way,245
's,wan,232
's,feel,231
's,think,229
's,good,226
's,life,200
's,call,181
's,'bout,184
's,girl,174
's,ooh,164
's,would,157
's,man,161
's,run,150
's,find,134
's,friend,118
's,well,107
's,ayy,105
's,talkin,101
's,away,91
's,hand,91
's,damn,95
's,ah,79
's,whole,86
's,hey,76
's,work,71
's,hurt,61
's,ready,59
's,somebody,57
's,woo,56
's,fine,51
's,truth,45
's,guess,49
'm,know,450
'm,yeah,382
'm,say,340
'm,ai,348
'm,'cause,294
'm,love,283
'm,take,285
'm,want,295
'm,na,272
'm,let,276
'm,back,271
'm,oh,241
'm,gon,262
'm,shit,268
'm,way,229
'm,wan,228
'm,feel,221
'm,think,215
'm,good,200
'm,life,189
'm,call,172
'm,'bout,188
'm,girl,158
'm,'ve,158
'm,ooh,141
'm,would,145
'm,man,151
'm,run,144
'm,find,130
'm,friend,104
'm,well,100
'm,ayy,104
'm,talkin,103
'm,away,86
'm,hand,84
'm,damn,93
'm,ah,75
'm,whole,87
'm,hey,69
'm,work,68
'm,alone,60
'm,hurt,60
'm,ready,57
'm,somebody,52
'm,woo,52
'm,fine,45
'm,truth,43
'm,guess,47
know,yeah,355
know,say,321
know,ai,317
know,'cause,281
know,love,267
know,take,272
know,want,279
know,na,248
know,let,259
know,back,247
know,oh,233
know,gon,235
know,shit,245
know,way,210
know,wan,214
know,feel,211
know,think,204
know,good,189
know,life,175
know,call,157
know,'bout,169
know,girl,152
know,'ve,139
know,ooh,131
know,would,141
know,man,144
know,run,137
know,find,126
know,friend,106
know,well,92
know,ayy,95
know,talkin,91
know,away,83
know,hand,84
know,damn,80
know,ah,74
know,whole,74
know,hey,65
know,work,58
know,alone,62
know,hurt,61
know,ready,55
know,somebody,52
know,woo,45
know,fine,40
know,truth,42
know,guess,44
yeah,say,270
yeah,ai,290
yeah,'cause,242
yeah,love,228
yeah,take,230
yeah,want,235
yeah,na,226
yeah,let,222
yeah,back,228
yeah,oh,226
yeah,gon,209
yeah,shit,217
yeah,way,178
yeah,wan,189
yeah,feel,172
yeah,think,156
yeah,good,164
yeah,life,146
yeah,call,141
yeah,'bout,143
yeah,girl,138
yeah,'ve,111
yeah,ooh,135
yeah,would,102
yeah,man,116
yeah,run,128
yeah,find,92
yeah,friend,83
yeah,well,73
yeah,ayy,90
yeah,talkin,75
yeah,away,68
yeah,hand,67
yeah,damn,78
yeah,ah,69
yeah,whole,66
yeah,hey,68
yeah,work,54
yeah,alone,50
yeah,hurt,33
yeah,ready,52
yeah,somebody,44
yeah,woo,46
yeah,fine,34
yeah,truth,34
yeah,guess,34
say,ai,252
say,'cause,209
say,love,202
say,take,207
say,want,218
say,na,198
say,let,191
say,back,198
say,oh,175
say,gon,189
say,shit,184
say,way,170
say,wan,166
say,feel,146
say,think,164
say,good,153
say,life,137
say,call,133
say,'bout,141
say,girl,129
say,'ve,110
say,ooh,105
say,would,113
say,man,121
say,run,104
say,find,100
say,friend,85
say,well,81
say,ayy,76
say,talkin,74
say,away,65
say,hand,62
say,damn,64
say,ah,52
say,whole,58
say,hey,50
say,work,58
say,alone,43
say,hurt,47
say,ready,39
say,somebody,47
say,woo,44
say,fine,31
say,truth,39
say,guess,35
ai,'cause,217
ai,love,192
ai,take,210
ai,want,216
ai,na,185
ai,let,213
ai,back,213
ai,oh,156
ai,gon,210
ai,shit,236
ai,way,158
ai,wan,156
ai,feel,155
ai,think,154
ai,good,163
ai,life,138
ai,call,140
ai,'bout,161
ai,girl,120
ai,'ve,93
ai,ooh,103
ai,would,97
ai,man,126
ai,run,121
ai,find,89
ai,friend,75
ai,well,74
ai,ayy,90
ai,talkin,94
ai,away,51
ai,hand,64
ai,damn,79
ai,ah,52
ai,whole,73
ai,hey,46
ai,work,55
ai,alone,42
ai,hurt,43
ai,ready,47
ai,somebody,39
ai,woo,41
ai,fine,29
ai,truth,33
ai,guess,34
'cause,love,178
'cause,take,175
'cause,want,176
'cause,na,178
'cause,let,164
'cause,back,173
'cause,oh,156
'cause,gon,160
'cause,shit,155
'cause,way,135
'cause,wan,147
'cause,feel,139
'cause,think,135
'cause,good,124
'cause,life,113
'cause,call,116
'cause,'bout,100
'cause,girl,108
'cause,'ve,99
'cause,ooh,91
'cause,would,94
'cause,man,95
'cause,run,78
'cause,find,80
'cause,friend,74
'cause,well,62
'cause,ayy,69
'cause,talkin,63
'cause,away,61
'cause,hand,52
'cause,damn,54
'cause,ah,51
'cause,whole,56
'cause,hey,40
'cause,work,45
'cause,alone,39
'cause,hurt,42
'cause,ready,35
'cause,somebody,34
'cause,woo,30
'cause,fine,32
'cause,truth,32
'cause,guess,30
love,take,166
love,want,181
love,na,170
love,back,166
love,oh,169
love,gon,143
love,shit,136
love,way,125
love,wan,138
love,feel,138
love,think,123
love,good,119
love,life,119
love,call,95
love,'bout,96
love,girl,111
love,ooh,101
love,would,81
love,man,77
love,run,81
love,find,89
love,friend,71
love,well,56
love,ayy,51
love,talkin,66
love,away,60
love,hand,51
love,damn,52
love,ah,45
love,whole,47
love,hey,43
love,work,43
love,hurt,38
love,ready,24
love,somebody,36
love,woo,26
love,fine,24
love,truth,28
love,guess,35
take,want,167
take,na,178
take,let,172
take,back,171
take,oh,133
take,gon,170
take,shit,174
take,way,139
take,wan,147
take,feel,139
take,think,132
take,good,116
take,life,112
take,call,113
take,'bout,121
take,girl,105
take,'ve,93
take,ooh,88
take,would,92
take,man,92
take,run,95
take,find,79
take,friend,68
take,well,63
take,ayy,63
take,talkin,67
take,away,56
take,hand,59
take,damn,61
take,ah,41
take,whole,52
take,hey,47
take,work,39
take,alone,39
take,hurt,37
take,ready,34
take,somebody,35
take,woo,33
take,fine,24
take,truth,27
take,guess,31
want,na,168
want,let,172
want,back,166
want,oh,154
want,gon,163
want,shit,167
want,way,138
want,wan,149
want,feel,136
want,think,135
want,good,121
want,life,113
want,call,109
want,'bout,121
want,girl,101
want,'ve,90
want,ooh,92
want,would,81
want,man,95
want,run,86
want,find,73
want,friend,73
want,well,52
want,ayy,69
want,talkin,65
want,away,44
want,hand,51
want,damn,56
want,ah,51
want,whole,52
want,hey,43
want,work,42
want,alone,46
want,hurt,37
want,ready,36
want,somebody,44
want,woo,31
want,fine,26
want,truth,27
want,guess,28
na,let,158
na,back,155
na,oh,147
na,gon,181
na,shit,138
na,way,133
na,wan,253
na,feel,126
na,think,114
na,good,115
na,life,109
na,call,97
na,'bout,101
na,girl,106
na,'ve,81
na,ooh,85
na,would,72
na,man,77
na,run,80
na,find,72
na,friend,63
na,well,61
na,ayy,58
na,talkin,53
na,away,51
na,hand,49
na,damn,47
na,ah,42
na,whole,45
na,hey,44
na,work,50
na,alone,43
na,hurt,34
na,ready,26
na,somebody,38
na,woo,30
na,fine,26
na,truth,30
na,guess,22
let,back,154
let,oh,143
let,gon,156
let,shit,157
let,way,137
let,wan,131
let,feel,135
let,think,119
let,good,131
let,life,100
let,call,102
let,'bout,117
let,girl,97
let,ooh,81
let,would,84
let,man,98
let,run,92
let,find,75
let,friend,62
let,well,54
let,ayy,71
let,talkin,66
let,away,51
let,hand,56
let,damn,56
let,ah,41
let,whole,57
let,hey,46
let,work,41
let,hurt,38
let,ready,41
let,somebody,32
let,woo,38
let,fine,24
let,truth,30
let,guess,25
back,oh,141
back,gon,153
back,shit,163
back,way,133
back,wan,130
back,feel,114
back,think,126
back,good,122
back,life,107
back,call,112
back,'bout,108
back,girl,103
back,'ve,79
back,ooh,85
back,would,92
back,man,89
back,run,95
back,find,78
back,friend,52
back,well,64
back,ayy,56
back,talkin,60
back,away,53
back,hand,59
back,damn,65
back,ah,45
back,whole,53
back,hey,48
back,work,45
back,alone,39
back,hurt,33
back,ready,39
back,somebody,33
back,woo,33
back,fine,28
back,truth,32
back,guess,27
oh,gon,125
oh,shit,115
oh,way,131
oh,wan,125
oh,feel,127
oh,think,121
oh,good,110
oh,life,89
oh,call,80
oh,'bout,83
oh,girl,103
oh,'ve,85
oh,ooh,101
oh,would,66
oh,man,78
oh,run,68
oh,find,70
oh,friend,59
oh,well,47
oh,ayy,49
oh,talkin,43
oh,away,48
oh,hand,35
oh,damn,42
oh,ah,41
oh,whole,34
oh,hey,46
oh,work,33
oh,alone,42
oh,hurt,29
oh,ready,26
oh,somebody,30
oh,woo,27
oh,fine,26
oh,truth,26
oh,guess,19
gon,shit,166
gon,way,126
gon,wan,125
gon,feel,108
gon,think,115
gon,good,116
gon,life,97
gon,call,105
gon,'bout,116
gon,girl,90
gon,'ve,69
gon,ooh,67
gon,would,62
gon,man,93
gon,run,92
gon,find,57
gon,friend,59
gon,well,51
gon,ayy,52
gon,talkin,65
gon,away,40
gon,hand,46
gon,damn,55
gon,ah,37
gon,whole,54
gon,hey,28
gon,work,41
gon,alone,30
gon,hurt,33
gon,ready,34
gon,somebody,34
gon,woo,34
gon,fine,22
gon,truth,23
gon,guess,21
shit,way,123
shit,wan,127
shit,feel,118
shit,think,122
shit,good,119
shit,life,104
shit,call,111
shit,'bout,130
shit,girl,87
shit,'ve,58
shit,ooh,63
shit,would,75
shit,man,95
shit,run,97
shit,find,53
shit,friend,72
shit,well,55
shit,ayy,83
shit,talkin,75
shit,away,36
shit,hand,51
shit,damn,62
shit,ah,46
shit,whole,54
shit,hey,34
shit,work,41
shit,alone,25
shit,hurt,34
shit,ready,40
shit,somebody,30
shit,woo,32
shit,fine,16
shit,truth,21
shit,guess,23
way,wan,112
way,feel,116
way,think,109
way,good,111
way,life,95
way,call,92
way,'bout,87
way,girl,95
way,'ve,83
way,ooh,69
way,would,67
way,man,83
way,run,70
way,find,64
way,friend,47
way,well,50
way,ayy,45
way,talkin,45
way,away,51
way,hand,47
way,damn,37
way,ah,31
way,whole,38
way,hey,34
way,work,39
way,alone,37
way,hurt,33
way,ready,28
way,somebody,28
way,woo,26
way,fine,29
way,truth,26
way,guess,22
wan,feel,109
wan,think,99
wan,good,94
