artist;title
Rick Springfield;Celebrate Youth
New Edition;Lost In Love
Rick James;Can't Stop
Glenn Frey;Smuggler's Blues
Shannon;Do You Wanna Get Away
Boy Meets Girl;Oh Girl
Frankie Goes To Hollywood;Welcome To The Pleasure Dome
Philip Bailey;Walking On The Chinese Wall
Jules Shear;Steady
John Parr;Magical
'Til Tuesday;Voices Carry
Kurtis Blow;Basketball
Fiona;Talk To Me
Robin George;Heartline
Bryan Adams;Heaven
Julian Lennon;Say You're Wrong
Tina Turner;Show Some Respect
Survivor;The Search Is Over
Bon Jovi;Only Lonely
Dave Edmunds;High School Nights
Eric Carmen;I'm Through With Love
Madonna;Angel
Eurythmics;Would I Lie To You?
Mick Jagger;Lucky In Love
Peter Wolf;OO-EE-Diddley-Bop
Teena Marie;Jammin'
Chaka Khan;Through the Fire
Freddie Mercury;I Was Born To Love You
Melissa Manchester;Mathematics
The Alan Parsons Project;Days Are Numbers (The Traveller)
Natalie Cole;Dangerous
Graham Parker & The Shot;Wake Up (Next To You)
Jean Knight;My Toot Toot
Gino Vannelli;Black Cars
Dokken;Alone Again
Maureen Steele;Save The Night For Me
The Firm;Satisfaction Guaranteed
Slade;Little Sheila
Alex Brown;(Come On) Shout
Belouis Some;Imagination
Phil Collins;Sussudio
John Cafferty & The Beaver Brown Band;Tough All Over
Kim Carnes;Crazy In The Night (Barking At Airplanes)
Whitney Houston;You Give Good Love
Paul Young;Everytime You Go Away
Menudo;Hold Me
Lone Justice;Ways To Be Wicked
Klymaxx;Meeting In The Ladies Room
Al Corley;Square Rooms
Prince And The Revolution;Raspberry Beret
Duran Duran;A View To A Kill
Cyndi Lauper;The Goonies `R' Good Enough
Robert Plant;Little By Little
Amy Grant;Find A Way
Kim Mitchell;Go For Soda
Hooters;All You Zombies
Paul Hyde & Payolas;You're The Only Love
The Beach Boys;Getcha Back
Night Ranger;Sentimental Street
Air Supply;Just As I Am
Commodores;Animal Instinct
John Fogerty;Centerfield
Men At Work;Everything I Need
Supertramp;Cannonball
Depeche Mode;People Are People
Don Henley;Not Enough Love In The World
Kenny Loggins;Forever
Jack Wagner;The Lady Of My Heart
Freddie Jackson;Rock Me Tonight
Atlantic Starr;Freak-A-Ristic
Bruce Springsteen;Glory Days
Daryl Hall John Oates;Possession Obsession
Heart;What About Love?
Debarge;Who's Holding Donna Now
Paul Hardcastle;19
Foreigner;Reaction To Action
Animotion;Let Him Go
Dead Or Alive;You Spin Me Round (Like A Record)
Nile Rodgers;Let's Go Out Tonight
Go West;Call Me
Sting;If You Love Somebody Set Them Free
The Power Station;Get It On (Bang A Gong)
Corey Hart;Never Surrender
Rick Springfield;State Of the Heart
Tom Petty And The Heartbreakers;Make It Better (Forget About Me)
Lisa Lisa And Cult Jam With Full Force;I Wonder If I Take You Home
Jermaine Jackson;(Closest Thing To) Perfect
Dolly Parton (Duet With Kenny Rogers);Real Love
Tears For Fears;Shout
Patti LaBelle;Stir It Up
Jeff Beck & Rod Stewart;People Get Ready
Vitamin Z;Burning Flame
Sister Sledge;Frankie
George Thorogood & The Destroyers;Willie & The Hand Jive
Cock Robin;When Your Heart Is Weak
Aretha Franklin;Freeway Of Love
Weird Al Yankovic;Like A Surgeon
Sade;Your Love Is King
John Parr;St. Elmo's Fire (Man In Motion)
Huey Lewis & The News;The Power Of Love
Bryan Adams;Summer Of '69
Tina Turner;We Don't Need Another Hero (Thunderdome)
Pat Benatar;Invincible (Theme From The Legend Of Billie Jean)
Billy Ocean;Mystery Lady
Kool & The Gang;Cherish
Howard Jones;Life In One Day
Carly Simon;Tired Of Being Blonde
Peabo Bryson;Take No Prisoners (In The Game Of Love)
Ratt;Lay It Down
Stephanie Mills;Bit By Bit (Theme From Fletch)
Eric Clapton;See What Love Can Do
Billy Joel;You're Only Human (Second Wind)
The Pointer Sisters;Dare Me
Motley Crue;Smokin' In The Boys Room
REO Speedwagon;Live Every Moment
Dire Straits;Money For Nothing
Y&T;Summertime Girls
a-ha;Take On Me
Phil Collins;Don't Lose My Number
The Motels;Shame
Mary Jane Girls;Wild And Crazy Love
Loose Ends;Hangin' On A String
Limahl;Only For Love
King;Love And Pride
Jesse Johnson's Revue;I Want My Girl
Alison Moyet;Love Resurrection
Godley & Creme;Cry
Wham!;Freedom
Prince And The Revolution;Pop Life
Michael McDonald;No Lookin' Back
Billy Crystal;You Look Marvelous
Katrina And The Waves;Do You Want Crying
Laura Branigan;Spanish Eddie
Curtie & The Boom Box;Black Kisses Never Make You Blue
UB40;I Got You Babe
Lone Justice;Sweet Sweet Baby(I'm Falling)
