title;artist;filename;lyrics
(Its Been A Long Time) Pretty Ba; by Gino;(Its Been A Long Time) Pretty Baby by Gino.txt;time open eakup babyyou long cryin gina baby denying part please hand tryin hopin use gino keep doo-wah wah pretty day hearted shake doo love
A Certain Smile ; Johnny Mathis;A Certain Smile by Johnny Mathis.txt;thing tear lead inside smile suddenly exactly hush cheerful bittersweet fleeting refrain try chase sing haunt lyricsa lovely awhile certain face night many heart hide glance merry pose againyou unsuspecting love
All I Have To Do Is Dream ; The Everly Brothers;All I Have To Do Is Dream by The Everly Brothers.txt;gee want hold need life lip anytime taste feel charm dreamin whiz tight night could die dreamyou dream mine blue away trouble day whenever arm wine love
Angel Ba; by Dean Martin;Angel Baby by Dean Martin.txt;crazy right girl curl chick kiss finger worry forever baby give chance miss live would flip perfect twirl angel absolutely little heart keep mine dream pick imagine scheme youyou start walk clover around love
Are You Really Mine ; Jimmie Rodgers;Are You Really Mine by Jimmie Rodgers.txt;even swear star funny really music research beautiful use little shine ring interest fade reel rodgers lyricsare part call every though onlyembed heart lucky are- roulette thing want graduation cross hoffman-manning-markwell feel wear morning doo-wah jimmie ascap personal love kiss wonderful believe planetary evening fantastic mine true
Baubles Bangles And Beads ; The Kirby Stone Four;Baubles Bangles And Beads by The Kirby Stone Four.txt;stone theme kirby buy glitter bangle bright chart ring musical mathis peggy aleksandre gleam bead borodin kismet heart doretta hear bauble somebody morrow peppier base forrest write jing lee shiny wear wearing doo wright wop version johnny sparkle lead jinga-linga ringa-linga introduce four spangle sing singa-linga beadsyou dream may robert day lyricsbaubles george
Beautiful Delilah ; Chuck Berry;Beautiful Delilah by Chuck Berry.txt;notice fool rebecka aisle maybe break eye bath romantic beautiful swing low sun mile allow pass would speak every fun casanova pendulum heart local late fella walk around reason time apple always settle second delilah outdone pie sweet audience deep trueyou marry away look steal different tantalize guy style dress true
Betty Lou Got A New Pair Of Shoes ; Bobby Freeman;Betty Lou Got A New Pair Of Shoes by Bobby Freeman.txt;rocket walkin lou solid tip whoa give betty wooh buy ship pick shudebakers dig kit steppin pair shoesembed someone undertaker would shoe-store bury fit new fight start walk brand twelve step rock kite roll shiny woo look street crack wah-ooh shoe party night high meet man try
Big Man ; The Four Preps;Big Man by The Four Preps.txt;nowyou need big anyhow dear break lyricsi brag half talk goodbye strong walk thing long word whisper could empty oughta doubt love vow life yesterday never guy leave forgive boy another many mine man true
Bird Dog ; The Everly Brothers;Bird Dog by The Everly Brothers.txt;even funny gal bird alone pet quail little honey song trail prowl baby joke reach puppy next jokin hear wrong joker find want chick wolf sit dive ever howl birdyou sweet tryin dog away tip-toed love fly quick johnny kiss steal lovey chicken leave hey sing better teacher
Blip Blop ; Bill Doggett UNCERTAIN;Blip Blop by Bill Doggett UNCERTAIN.txt;blip-blopyou creeper yeah-yeah-yeah-yeah blip-blop beg ah sexy blip blop frick deep bend blip-blop-blip-blop blip-blop-blip aw man
Blue Blue Day ; Don Gibson;Blue Blue Day by Don Gibson.txt;glad pretend somebody find sit believe feel yes untrue anyway grieve pray die lyricsit new bluesyou cry runnin blue away day love
Blue Boy ; Jim Reeves;Blue Boy by Jim Reeves.txt;moan lose need eye hunger lyricsblue sweet call since boy twinkle new cry lonely blue find love chorus
Born Too Late ; Poni-Tails;Born Too Late by Poni-Tails.txt;notice lateyou long care hold kiss wish kid born win chance bear never lyricsborn wait another could fate heart cry date late la-a-a-a-ate walk wo love
