title;artist;filename;lyrics
(Theres No Place Like) Home For The Holidays (1959) ; Perry Como UNCERTAIN;(Theres No Place Like) Home For The Holidays (1959) by Perry Como UNCERTAIN.txt;franklin billie ives martin lou wish noel christmas warm trio midnight live tree alone ellington rockin orleans white daigleembed orchestra little trotter world fontane leona darlene jolly john sister clear merry gene lot drummer song rawls commander tomlin remastered holiday ken collection light vocal perry carter carol daigles ayres jingle aretha crosby lauren armstrong first flack new michael lewis king guaraldi sinatra hear williams frank around time holy chris marshmallow welcome herald nat ella rock roberta christmastime andy como bethlehem bell single lee holly could begin vince caroling waltz place look snow louis duke bing love version reindeer angels everyday burl daigle dean scott darby hark tyler benny autry sing boy town red-nosed night fitzgerald brenda upon keep cole jenny rudolph carpenter singer day rice santa child claus home
10000 Hours ; Dan  Shay;10000 Hours by Dan  Shay.txt;cure ten name eye road hour good song rain curiosity bad grow dreamin friend heart middle rest grandma want smile sweet learn favorite translationsturkceespanolpolski youyou close everything love life dance forever never miss party thousand drunk ooh-ooh spend try ta think
2020 ; Lil Tjay;2020 by Lil Tjay.txt;rather least comfy right industry pay suckin sunday clout solid bet need big cookin beach maybe wavy type name chill smelly stand really last verse put demon wack trench shirt bro peep record run hard gravy bitch karate lot finna downhill pain button mavy depend competition god fu care song catch e pop opps work bag real baby totin dick grrt-baow would church way gang heat goofy amaze every gettin emotions nigga great weight thinkin sb jay-z feature holdin blue late sauce havin billion hear wo block around shooter time moment huh trade want static mama everybody inside hatred sit kid ooh-ooh-ooh dazy livin still word hit lazy niggas feel takin save prayin year spare erase kinda tire money cop since lie goin r.i.p die thank jail two picture drive bully everything kill lit crazy happen fashion quick soon sentence comin numb basis twenty glock sorta guess replace opposition shoe ready goal never greatestembed tjay snake mistake face town hat cal play keep dream cry fake runnin air feeling tryna day fuck drill try ta smokin think home shit
21 ; Polo G;21 by Polo G.txt;beyond slidin coupe troop tip teach give break vietnam northside type topyou spittin swervin turn last put recruit x trench compact stoppin top bro game band mood line jean tight front bitch playin check care trust pop bond real taste foenem gang every hundred brain nigga fun war thinkin red raise head loss blue gun usually block relapse post surgery find time complex want become ballin step lose plenty ever livin lil niggas ayy birthday bunch crash takin set since chillin r.i.p goin e-way die expensive two clip percs fiend fill nunn street lit death excited threat savage room goon glock mind tape drug servin life singin smoke believe juice complacent hollow grind switch amiri lung shade twenty-one contest knot mike keep safe watch bomb ooze decorate tryna kendrick day cool man tweakin change shit
223s ; YNW Melly UNCERTAIN;223s by YNW Melly UNCERTAIN.txt;comma industry whole b bet big lackin push pull graow rearrange k whack really trap buy mhm detrimental use strap see-e-e-through worth mac rocco forget bitch lot degree skunk check stop stick apostrophe catch bleed blatts fuckin hold map two-glocks macs cap baby invite facelift talk glokk mean colder hand gang suwoop rappin hundred nigga blood actin twin dicky heart coincidental gun flaggin hear walk find glocks bloodline sleep baow huh roger want five clap uh dope hit niggas ayy body hah stankembed trey click crip mmh two two-fifty clip uh-huh google froze kill punk crazy brackin comin yah p ar cappin instrumental slatt never leave hot hip back blatt face play foot treat floor breathe mister g-nine trace pushin tryna recordin man ta shit
24 ; Money Man;24 by Money Man.txt;least clock pan rear rapidly condo scream need big kidnap push pull anybody name dodge gelonade sparin ridin trap turn hour wax nflated twice yo white porsche send wed wrap thirty blam game banana drop line run satisfy hard dawg joe bud bitch finna plug capo playin diamond chain two-door profile rack pop fuckin slick opps mountains pre-roll pluto feelin energy real rolls-royce neck grow smokeembed spice lookin cream almost lady drippin flacco sock resuscitate inquiry nigga three bank drown geeked fact technique hatin scheme vicious start hemp hear hoppin son ram grab psychedelic time hugo sleep motherfuckin low-key ballin lilikoi rock hit clothing router izzy vpn lift baguette pie laptop flip whisper money tennessee less perfect cred piss cake r.i.p listen die empty two moon counter louis jones magazine thumb collar hash u-turn kobe overrate fox bryant glimmer different female smoke internet savagely talkin jim headline never roadblock mentality jits oil corduroy back oblique twenty-four flower fifty pack full lonzo many mine watch yam meet day cool fuck tiktok smell try burnin mad k increase shit
3 Headed Goat ; Lil Durk;3 Headed Goat by Lil Durk.txt;sell right crowd fentanyl chopper garage big lackin three-car paranoid mongoose name lottery watchin really admit paul turn ridin usin hope shoot put owe steel trench zombieland stoppin top dumb slum drop city good band hard dawg forget jean lot bitch color stick song catch pop retard pill us opps shoulder foreign work blicky trappin suicide dick lookin people talk would winter call monopoly gettin keyembed nigga left withdrawal red next actin head thinkin test middle miami workin havin lyin find around slide press jet rapper chris atlanta aviator plan food dope uh hell inside ski livin still rich rid niggas takin bos write finesse mention stealin apology piss goin sayin could dog sweep awful honestly suburbans raid crib swag police street soon glock choreography regardless chauffeur drug ambulance guess servin different dance nice twenty-five chance cappin goat miss lotta school hot junky back key boy homies garbage play math slap keep runnin day fuck man must spot try million-dollar mad shit
3435 ; Ariana Grande;3435 by Ariana Grande.txt;doin right even thirty-four alright eatin neighbor maybe need healthy midnight watchin yellin movie put hmm top savin good squeaky shake bitch thirty-five energy baby taste bed dick snooze way mean though seat stay coffee start ride thing candy time side chick goodembed inside door hit belt ayy quite tonight earthquake wifey countin except class favorite drink sunrise water drinkin show crazy open lik lightweight life plainly ah translationspolskiturkceespanolhrvatskiportuguesmagyardeutschfrancaiseestinederlands+ never leave heavy boy night math keep dream gim fuck daylight spot wine true think shit
44 Bulldog ; Pop Smoke;44 Bulldog by Pop Smoke.txt;rocket zoes jungle cuffin playground round big flossy move sanction dem cage melly fendi haitian shoot headlight hate weapon hood swish wayz run okay low tom allergic ya steppin nah falayo sun snatch bag payroll gg talk call gettin bah nigga bread discussion brady ape next head chat new stay hatin free gun wesson translationsespanolturkce block post slide dunk hammer louboutin sprayground trav uh everybody sit nun still buckin lazy niggas dayroom tatum aim woo brodie sensei look uh-huh kick ground grrt fifteen boom check-in flexin glock j.r. chop nothin talkin hot draco brrt chit floss lay back dread haha bulldog grrt-bah wildin island keep gz day fuck spray opp lock smokin shit
7 Summers ; Morgan Wallen;7 Summers by Morgan Wallen.txt;even right probably coke ago bet maybe big sixer young dodge turn road buy last white use proud little acre dumb far east good ol diamond saw baby talk way driveway hand friday anyway friend old translationsespanol seven southern find thing long girl sippin ever still wonder year tennessee bullet south somewhere house drink sad drinkin love couple summer guess comfort forever never daddy river back boy ooh-ooh highway think
