title;artist;filename;lyrics
All Or Nothing ; Milli Vanilli;All Or Nothing by Milli Vanilli.txt;right something marvin maybe likei push hush give wet live gaye rockin babe bumble game good mood lyricsthe real baby grow bee beatembed heat michael lyin tease slide time jet girl want rock sting livin still backbone slow feel please sweet could pro dry show love p lip never night high nothing keep mister feeling beat suitor ta george
All That Glitters Isnt Gold ; The Cover Girls;All That Glitters Isnt Gold by The Cover Girls.txt;right isnt give advice really turn glitter cause shine game good goldembed gold baby people behind way friend great heart strong matter find thing time girl together always inside listen could away look everything show fine sometimes mind yesterday kind waste captivate leave mistake boy seem play dream mine meet true think
All The Man That I Need ; Whitney Houston;All The Man That I Need by Whitney Houston.txt;right sleep hurt kiss hold need rock ever slow give eye turn woo use night high morning world evening cry moon close man fill wo think love
All The Way ; Calloway UNCERTAIN;All The Way by Calloway UNCERTAIN.txt;right c-note swear alright girlfriend beg push somethin eye edgeembed tour really afraid universe club white race top cadence band hard pain care rack rain barely dead phantom g saw bad insane real baby addict lookin would way call every brain nigga friend casanova though red head commit slowin green wo ride time medicine want help thunderstorm everybody inside lil car sled quite fallin feel please money xanny clothes countin translationsportuguesitalianoxo lie die away look swag yeh fast llif tear twenty brittany never leave hey overseas shoulda control stackin keep cry watch nascar fake blow edge man spot g-roll mad treat
Almost Hear You Sigh ; The Rolling Stones;Almost Hear You Sigh by The Rolling Stones.txt;crowd fool stone tongue need beg stretch act eye live turn vain cold wake pain calm bad mile baby sorry much half almost would sigh mean every left memory free hear main find photograph girl want smile feel without charm sweet set morning pleasure place look yeahembed love street life believe leave silky nothing smooth mine cry dream meet man wine laugh
Alright ; Janet Jackson;Alright by Janet Jackson.txt;happy alright star wish fall thin world shine catch real baby pass mean till sh-sh-sho three friend sho heart command around time always best shoo-bee-doo-bee-doo clap fallin friends bay-bay-bay-bay-bay nuff end could doubt show love mind shoo-bee-doo-bee-doo-wah never everlasting thick bay-bay-bay-bay-bayembed may bay-bay belong self true dreams think hi-hi-hi-hi-hi
Always And Forever ; Whistle;Always And Forever by Whistle.txt;something melt give really lyricsand cause lonely care win sunshine way every heart moment time thing somehow together explain always tomorrow smile second ever still feel away look foreverembed sad love special life forever magic dream phone day true likeand change
And So It Goes ; Billy Joel;And So It Goes by Billy Joel.txt;tone break eye cautious sanctuary share suppose wound hold bad thorn much would speak every felt heart new strong along lover time heal pretense past still choice feel close answer soon room defense knowsyou leave mistake seem decision safe mine silence rise self choose
Angelia ; Richard Marx;Angelia by Richard Marx.txt;maybe warning give turn vain use shine run hurting pain sun sorry way next head strong wrong around thing photograph want inside ever still wonder feel without lie tumble aroundyou love mind believe kind lip nothin lyricsmemories never leave awake wait night mine angelia try
Another Day In Paradise ; Phil Collins;Another Day In Paradise by Phil Collins.txt;something probably move anybody twice cold mhm nowhere line call every fit blister hear walk start lord sleep help sir cross uh para- somewhere paradise place look whistle street paradiseembed pretend sol back face seem another foot nothing embarrass cry day man must try think
Anything I Want ; Kevin Paige;Anything I Want by Kevin Paige.txt;even follow push white esteem anything stop jammin skin work light someone people decide talk way lyricspeople crap shout hear son want always everybody sit tower attitude wantyou sayin listen jealous kick street crazy pout groove life kind justify instance shove sing jam upon power meet difference self man dreams think
Anything Is Possible ; Debbie Gibson;Anything Is Possible by Debbie Gibson.txt;case read whoa teach warm give break eye surprise put cold disguise league thought run anything front bad attentively much would way every felt wrong rest matter thing time stereotype long want slow charm set misjudge listen could course look vibe love mind guess enough remorse guy leave itembed boy face possible pretty day likeno prove think
Anytime ; McAuley Schenker Group;Anytime by McAuley Schenker Group.txt;even something need maybe corner anytime really standin anymore alone cause use little lonely scar pain stop scared care catch win lyricsblow baby pass much hand call war though heart fire wrong fear time burn cared want always likeanytime lose still hit promise desire peace empty ground hid fighting room sentence hurt kiss remain never wakin control mine cry dream home
Around The Way Girl ; LL Cool J;Around The Way Girl by LL Cool J.txt;least even court eat shook gentle bug suck bikin need neighborhood maybe act break really camay fendi woman bamboo movie cheap cold renee use share jewel shin slang game good mood shake hard scar lot brown button bobby stop din gold hawk surrender gloss pop pair standing gangster bag win sunshine cuties bad real baby independent sugar rap half talk would way brother pamela joke candied heart loving new homegirl stay bridge lisa ask hottie hear walk complexion perm cookie matter basketball around tender thing dedicate girl long want always manipulate smile ever short sweet flip lollipop attitude sweat somewhere wear extension bus angela two parent homeboys suit place petty curly love rhyme street rayon silk crazy private fine pumping edition mind summer sh kind dance lip ready switch denim jam sleeve silky honey-coated another play weave crew businessmen watch outembed yam earring meet day cool man pump milky think hair
B Girls ; Young;B Girls by Young.txt;least something bar walkin star b discuss need big beach jane pull act name young chill stand yes turn bangle verse yo put cause sudden pause world city line overdose bottle benz check frontin pop us pair ave claus uh-uh ac baby bronco malt pass b.m people lady mean call knew joke nigga bank friend though old ask aw blue -- slam find context around breast thing time moment girl doctor trunk five explain want rehearse mac- second automobile b.m.x booty bmx nova dolly year black tire broughamembed tryin friends park could liquor two place clip figure everything janice punk subject rhyme judy brake comin wherever brougham couple mind already believe nice cadillac bring bass hey wait prince one-of-a-kind face drunk another beer keep pushin b.m.w slim bmw santa change think
Ba; Its Tonight by Jude Cole;Baby Its Tonight by Jude Cole.txt;need fall stranger eye live really fadeyou alone turn x world far pick lonely care us hold baby way bridge start walk wo matter chorus time heal ever still word tonight please begin close fighting show pre pr tear repeat leave face night another many dark phone arm home
Back To Life ; Soul II Soul;Back To Life by Soul II Soul.txt;theyll em clock cup shut yale lamp styrofoam facts ice sword lyrical big stretch im hour shoot put cold aerobics explode x deadly antichrist occupy thought hood thats caddy game audi th assault prime bottle hard forget jean fold gold twist pop catch flight near slick cyclone mark work light win bag aint flash optimus talk dont gordon dice nigga abandonment first champagne heart transporter popular stay blue concubine fundamental start block son stash lord file glitch instrumentals rifle five yac search playboy short traffic wonder stroll rid niggas brooklyn without beast gamble black pie roll organ headembed cop manslaughter raw fish booth ii knock racketeering hole mossberg crib fill devil show rhyme jab mind ritz-carlton life crack different radisson reckless oxford selling lemon fennel never bundle school haunt back lazarus youre night play likecrimes dirty watch dark blow phone small man hustler gag soul try chip shit
Back To The Bullet ; Saraya;Back To The Bullet by Saraya.txt;even bar follow whoa alone shoot use good run fade us hold baby every stay truth lyricslately hear wo find time long want past word body bullet house picture away drive place oh-oh-oh-oh-oh lead yesterday hey back night belong anywhere
Bad Love ; Eric Clapton;Bad Love by Eric Clapton.txt;something long alive glad heartache side need life bad remind enough people behind road proud heart lucky keep lonely strong blue feeling memory meet walk sad everything love
Bad Of The Heart ; George LaMond;Bad Of The Heart by George LaMond.txt;fool instead need gutter apart throw rearrange ba-ba-ba-ba-bad really put fading thought game trust saw smart bad cut baby would way every heart along start wrong blade girl want side wonder lie could likebad yeahembed love hurt aside kiss tear life never leave cruel night play ba- day ba-ba-ba- slowly change think treat
Bang Bang ; Danger Danger;Bang Bang by Danger Danger.txt;easy someday mad stranger warm give fail sound really turn shoot put game good line lyricsbang urge playin heat friend heart test rumor rest sneakin around chorus girl side hell lose past south learnin goin blind drivin show love crazy fast likebang believe chance bang never mistake town face night silly wall cool must think
Banned In The USA ; Luke;Banned In The USA by Luke.txt;sell doin right arrest stickered even court totally broward fame jew think purple fall give protect stand live county music chinese woman album club freedom cause world adult ruling game good brutalize record material election u-s-a double-platinum speech judge lot lyrics front include quit arouse us curiosity people- bond brave today amendment people rap talk right-winger previous banning group left-winger brother home joke expression presumptively friend ancestor first whoever uphold publicity nobody boost old strong fact appellate miami free land wrong green wo grab fan harass thing time china want always tall help side uh sit wisen ever still rich choice year black write russia hollywood tire end audience politician sayin die listen movin begin two house cardin white-collar pleasure place concert perform police bigot show else rhyme fly version luke comin sale simple different lip -and-over nasty nothin never u.s.a. bring ban corrupted precaution business party earlier style communist crew play keep versions- wall day man must government try sexually america
BBD (I Thought It Was Me) ; Bell Biv DeVoe UNCERTAIN;BBD (I Thought It Was Me) by Bell Biv DeVoe UNCERTAIN.txt;right even comfy damn b ricky eye live ron cozy loose turn last yo disguise boot world good meat yeah-he ya hoooo catch stickin us sexy lookin much almost way past-time every naaaw bread serious fun head late lifetime bein wrong relax find around burn afloat girl rock sit .. takin b.b.d wiiiiild wear wha could n knock favorite look close waterbed show love cruise fly ho manhood everyday room system understood yah was-sup chance ready never guy leave b-i-v wit jam back nosey night straight boat many keep r stayin runnin bachelor cuz meet day choose spot trip prove hesitate sandwich wild oooooonce think
Because I Love You (The Postman Song) ; Stevie B;Because I Love You (The Postman Song) by Stevie B.txt;right open care song girl always side lose light door exactly postman real give feel decide write really way please guideyou guide count reassure heart around day start anything ground letter wo everything love
Biscuits In The House ; Biscuit;Biscuits In The House by Biscuit.txt;right hyped al move give name sound chill tour road wax cause heavyweight use top nowembed prime shake b-i-s-c-u-i-t hard tight contact check studio cut baby carry real capone mic nuttin lyricsbiscuit new strong late along track wicked load grab thing time whip long likebiscuit large static lose kid rock hit stage body biscuit killer house slip kick hype rhyme boom fly hip-hop groove york dance ready never miss iller party bound age night high straight butt able mine beat showtime table prove treat
Black Cat ; Janet Jackson;Black Cat by Janet Jackson.txt;damn need rebel give break live alone afraid stepembed game lonely good glance okay anything carry real way scheming gang hang stay strong late sick wo around time long together plan always want step short promise black insist tire nine lie die away look realize rule living love crazy cat dangerous life ah chance never heartbeat mistake boy night full keep watch sense edge spend day man try change understand
Black Velvet ; Alannah Myles;Black Velvet by Alannah Myles.txt;heatwave aisle move molasses schoolgirl music white mississippi little dancin settin ya song shoulder rodgers sun baby flash way every heart new middle spell southern tender long cryin religion want always pleaseembed sin mama smile word slow black please sweet victrola could velvet drive dry jimmie everything love sky happen soon memphis leave bring sing style knee bound boy high lightning true wild
Blame It On The Rain ; Milli Vanilli;Blame It On The Rain by Milli Vanilli.txt;something fool star wish need fall whatever put shine good satisfy care rain blame baby sorry coulda goodbye rainembed strong walk wrong want pride still feel could blind blinded away love mind back night prove ta sacrifice
