title;artist;filename;lyrics
(A Ship Will Come) Ein Schiff Wird Kommen ; Lale Anderson MISSING;(A Ship Will Come) Ein Schiff Wird Kommen by Lale Anderson MISSING.txt;exist lale song schiff miss ein wird seem ship kommen anderson
(Dance The) Mess Around ; Chubby Checker;(Dance The) Mess Around by Chubby Checker.txt;time si mess twist gully hully round dee watusi stagger slop charlie dance baby stroll chicken tony likedo save lyricsbout hey mr. call lee hucklebuck last shimmy furdie harry susie pony little birdland cha puttin free timmy good dig hear around
(Ghost) Riders In The Sky ; Ramrods;(Ghost) Riders In The Sky by Ramrods.txt;cloudy ives original position rider name mighty master herd eye music ridin wuz later yi-pi-yi-ay steel ghost use hoof available shirt chart band monroe hard mournful blur endless red-eyed catch peggy us gaunt saw parenthetical lawrence today way call crosby thunder snortin ridge baja recording old billboard cow fire along hear outlaw ramrod peak rest fear ride brand want across add a-tryin hell horse still word rid feel soak save write black lop waybut painter lee sweat draw yi-pi-yi-o shiny could bolt cowpoke welk marimba devil jones bing sky yet version breath skyyou burl comin range title sheet forever ragged hot sing precisely face upon cry windy herein may dark horn cowboy compete day vaughn stan soul change
(Hes My) Dreamboat ; Connie Francis;(Hes My) Dreamboat by Connie Francis.txt;crazy guitar lyricshe cup folk asleep whoa car strummin eye yes nut dixie eyesyou dreamboat english darlin class dream silly coffee workin mowin grass everything dreamy
(Hes) The Great Impostor ; The Fleetwoods;(Hes) The Great Impostor by The Fleetwoods.txt;join soon tomorrow help lose fall stage real break stand part sweet rosteryou learn fate roster friend misery great could foot begin play heart watch imposter late lyricswell poetry think
(How Can I Write On Paper) What I Feel In My Heart ; Jim Reeves;(How Can I Write On Paper) What I Feel In My Heart by Jim Reeves.txt;pen apart give stand paper last cling unsaid world far worth would hand note heart memory longer start find thing inside word feel write sweet since deep dry love deserve tear simple lyricswith leave another many mine try
(I Wanna) Love My Life Away ; Gene Pitney;(I Wanna) Love My Life Away by Gene Pitney.txt;right chime warm give yes cause world on-a trouble clear hold ooo sunshine moonlight talk loveyou hand winter summertime spinning late walk want side lyricsyeah kissin spring bell sweet huggin morning away autumn love sky kiss life night another co build upon keep dream cool
(It Never Happens) In Real Life ; Chuck Jackson;(It Never Happens) In Real Life by Chuck Jackson.txt;maybe someday give im young yes cinderella lonely queen slave slipper ball saw win real handsome brave story prom heart fight along find steady hero somehow girl tall lose mary milly book love happen johnny vow life believe never prince likeit silly billy change hurry
(Ive Got) Spring Fever ; Little Willie John;(Ive Got) Spring Fever by Little Willie John.txt;whole glad fall beach bit really dooby hope cause pray got little lonely good ball fever real lovebug heart usually find around thing time girl together ive spring year roll charm flip look lyricsevery million ground show love summer tim school throughyou mine whn
(Lets Do) The Hully Gully Twist ; Bill Doggett UNCERTAIN;(Lets Do) The Hully Gully Twist by Bill Doggett UNCERTAIN.txt;right em carpet mil shake hey-hey-hey-hey twist boyfriend mix hully baby call gang flee nobody around long hey-heyembed neighbourhood mash mama door kid hom hit tonight roll clean telephone two house potato place mess gully mind dance hey daddy back night floor ta home
