title;artist;filename;lyrics
(Ba;) Turn On To Me by The Impressions;(Baby) Turn On To Me by The Impressions.txt;open lyricsbaby fool telllin find mind follow lose need bad helpless baby nothin much leave way turn woooh cool love
(Do The) Push And Pull Part I ; Rufus Thomas;(Do The) Push And Pull Part I by Rufus Thomas.txt;easy lyricshey round likei push bit pull james little hoembed rufus brown care baby talk part hand hundred left new around brand candy thing bull everybody clean listen lookie mess ho double ah dance business lay town full upon floor mister pretty
(Dont Worry) If Theres A Hell Below Were All Going To Go ; Curtis Mayfield;(Dont Worry) If Theres A Hell Below Were All Going To Go by Curtis Mayfield.txt;laying law a-cussing fool jew read need actor partly really balling nigger turn last put educate billing use pray mass top good sister run jury judge cracker theres bible pill people talk dont would way brother call flaw uneducated likeeverybody lord pimp around time hell dope everybody nixon worry feel black pollute peace could whitey fuss depressed dictate water police rule everything show book kill love everyday cat life smoke kind backer straighten school ought willing political revelation whiteys night keep pool true hurry
(How Bout A Little Hand For) The Boys In The Band ; The Boys In The Band;(How Bout A Little Hand For) The Boys In The Band by The Boys In The Band.txt;heard doin right law rodeo loop bout round need binge whatever throw bit freak rub im chill cheek sofa woman wasnt coca put naruto saiyan wave robe little thought top percent masterpiece riddin pornhub drop hide good gimmie wreck front queen voca dine coocoo cheese board god episode us hold youtube work light aint bad real baby grippin lookin talk dont way mean hand call kitkat porn surfin netflix fit art heart dbz nobody middle anime truth workin walk relax ride grab moment time thing long girl ive side best hell tooth dope box lose disrespect sit spark stripper door tlc snack traffic pole slow body roll sweet pound countin crown deep pornembed waitin doodle thank hitback robbery cartoon away drive til fruit hop kick fill show vibe love sabrosa crazy super tetris mind steal life sheet print stroke wood never bring scooby id cu ass back boy town youre face beyonce hoe dirty floor watch mine controller beat likelet hulu day man true understand
(I Can Feel Those Vibrations) This Love Is Real ; Jackie Wilson;(I Can Feel Those Vibrations) This Love Is Real by Jackie Wilson.txt;even whole glad deny jump world ooohh ohhh care real baby wee friend preacher heart shout start walk conversation wrong lord find thing huh girl want always plan inside oww feel vibration please deep listen love wherever magic meet small man makin think understand
(I Know) Im Losing You ; Rare Earth;(I Know) Im Losing You by Rare Earth.txt;fool im name eye stand woman cold babe thought hide hard losin fade someone baby speak reflection down-hearted long girl inside lose bear feel takin presence everywhere goin emptiness place look youyou fadin else love hurt mind ah worried face control another air touch belong man soul try
(I Remember) Summer Morning ; Vanity Fare;(I Remember) Summer Morning by Vanity Fare.txt;thing fly song summer sun spring year would walking winter begunembed sing last back use another begin morning upon heart share mist sunrise season remember memories love hair
(If You Let Me Make Love To You Then) Why Cant I Touch You ; Ronnie Dyson;(If You Let Me Make Love To You Then) Why Cant I Touch You by Ronnie Dyson.txt;flame bit rearrange little-little little world saw kink cant reach first strong longer link wo find moment shame want still sure frozen someplace love different why-why never miss leave seem touch change uncurled
(They Long To Be) Close To You ; Carpenters;(They Long To Be) Close To You by Carpenters.txt;time sky gold long girl together star near follow bird suddenly fall dust bear eye decide whaembed starlight every appear create wha town angel sprinkle dream moon blue day walk close true ha around hair
(Youve Got Me) Dangling On A String ; Chairman Of The Board;(Youve Got Me) Dangling On A String by Chairman Of The Board.txt;whole rejected cup need break loose admit yes cause use wrap needing game lonely drop thirsty stop quit dangle noose youve half would every string disconnect heart strong wo habit lover rest lyricsyou time girl best become feel please surely drink everything book love hurt life likegirl enough night keep dream feeling phone pretty man change
1900 Yesterday ; Liz Damons Orient Express;1900 Yesterday by Liz Damons Orient Express.txt;message soon fade blame thrown log hurt yesterdayyou yesterday cigarette throw smoke forget give broken feel anymore sure joy misery night share felt heart dream away day wrong think kill love
1984 ; Spirit;1984 by Spirit.txt;nineteen big plexi-plastic give stand yes freedom eyeball game run dead eighty-four light someone much call brother every friend head fight start sight protection time inside door tonight year fourteen darkness knockin special life ah never wait night think home
25 Or 6 To 4 ; Chicago;25 Or 6 To 4 by Chicago.txt;sky something sleep five want room cross-legged twenty star splash fouryou light sit search wonder break flash give blindly eye much feel wait awake ought four deep face sink floor spinning stay searching day close six try space
5-10-15-20 (25-30 Years Of Love) ; The Presidents;5-10-15-20 (25-30 Years Of Love) by The Presidents.txt;happy girl ago us hold kid lyricsare forever remind give young much year talk bring hand last park fun play thank little heart cry thankful watch memory look walk -- love
A Brand New Me ; Dusty Springfield;A Brand New Me by Dusty Springfield.txt;dew sky girl everyday lyricsthis oohyou hold sin life smile grin baby shoe give laughter sound eye hand coat style joke since boy friend face morning new old blue touch place look meet walk fresh mirror brand
A Change Is Gonna Come & People Gotta Be FreeThe Declaration ; The 5th Dimension;A Change Is Gonna Come & People Gotta Be FreeThe Declaration by The 5th Dimension.txt;right unalienable liberty beyond among train easy institute move throw accordingly absolute duty yes afraid last cause sufferable security abolish little world accustom guard medley mountain valley run secure indeed hard change disposed hold light establish freeembed creator pursuit carry suffer people principle prudence men situation way happiness abuse usurpation brother future tent lyricswe new consent ask truth invariably free shout effect sea form likely provide time long help becomes everybody evince ever bear self-evident please destructive peace end since everywhere despotism die could listen blind two design reduce alter mankind declaration whenever dictate evil endow living organize show love dancing sky govern knockin likebut simple life experience foundation shall natural lay river pursue knee create certain opinion seem able safety keep derive equal power feeling object man transient government ta think understand
