title;artist;lyrics;filename
(Im So) Afraid Of Losing You Again;Charley Pride;long 'm glad againyou cost would tells 's know might tremble around thought heart 're love wanting 'cause lyric afraid great also ca sorrow confession win much sin hear likeembed heaven want throw sometimes im give 'd possession lose n't tomorrow close arm wake revive;(Im So) Afraid Of Losing You Again by Charley Pride.txt
(One Of These Days) Sundays Gonna Come On Tuesday;The New Establishment;full hold shine sunday grow tuesday love 'll come sundays let time rain lifetime know one anymore likeembed gon free dove lyricsone fall live whatever might also sun na though yes wo cause hour day like use way longer 's tuesdayyou 're never wind happen fly want stay minute blow every n't grass;(One Of These Days) Sundays Gonna Come On Tuesday by The New Establishment.txt
(Sittin On) The Dock Of The Bay;Sergio Mendes;wastin georgia cuz ten evening dock alone roam leave tide 'll come yeah mile time 've people away ooh listen head watchin timeyou morning remain ca likeembed everything gon nothing make live roll frisco might rest two change also sun lonely tell na wo home 'm like way sittin 's mess still bone thousand guess sit watch look ship n't lyricssittin bay;(Sittin On) The Dock Of The Bay by Sergio Mendes.txt
(Weve Got) Honey Love;Martha Reeves;sweet love go us knot try 'll come life ice care ever ... 've ale tomorrow ooh put oh spice h-o-n-e-y get icing cottage one 'cause sky loving lyricsooh build kiss nothing little need tie honey tender embed might darling recipe two also add divine tenderness soda tenderly weve ingredient darken got cup pinch day use pop 's cloud bit ginger cry cream baby hey top tear divide sometimes every likelife take sugar sunshine;(Weve Got) Honey Love by Martha Reeves.txt
30-60-90;Willie Mitchell MISSING;willie seem mitchell exist song -- miss;30-60-90 by Willie Mitchell MISSING.txt
A Boy Named Sue;Johnny Cash;player throat name cuss sweet grow ta gal hide tough cheek call hard roam awful gray play leave keen run us love go street red mud bill gatlinburg lot try quick point cold say 'm win ear empty come yeah throw daddy life joke search ever laugh hit easy give giggle rough time 've bar wall away head vow old chair whole honky-tonk mother different dry fist appreciate smile would folk blame thank dog view get kill mine men think spit know guy one three mean die seem pull bite son-of-a-bitch 'cause gravel lyric teeth ca hear gon ought a-gouging stop mind bent gun mid-july little deal scar make star gut bottle `` across town saw help ai eye bust first son embed might snake lookin wit man right also great boy singer ya brew table tell na crocodile worn-out strong choke dad surprise home crash mangy really like remember along carl anything must saloon hate 's sue stud still '' quite 're booze hell evil song songwriter moon thing beer guitar sit business much dirty knife world want mule look pa stay blood fight kick stand kicking cut george 'd well big n't shame every picture piece goodbye;A Boy Named Sue by Johnny Cash.txt
A Brand New Me;Dusty Springfield;eye style face smile hold coat new morning since get brand see might mirror shoe meet go girl also baby friend touch boy sin sky walk blue oohyou likeembed tell everyday look hand life place joke lyricsthis give laughter grin fresh dew ooh old sound;A Brand New Me by Dusty Springfield.txt
A Lovers Question;Otis Redding;eye whoa like honey oh would game true lover 's get real answer know pretend might heart still 're love feel also baby lie win likeembed gon apart want tell yeah na question kiss need 'd well worry 've ha really lyricsdoes knowyou somebody;A Lovers Question by Otis Redding.txt
A Million To One;Brian Hyland;bet like folk 's forget think oneyou know might hop one 're love million dream flower feel also meaning say everything 'll likeembed wo lyricsa time 've n't young alive survive fade forgive yesterday;A Million To One by Brian Hyland.txt
A Minute Of Your Time;Tom Jones;day like 'm timeyou back would good far may 's think keep know might thought heart one chance us spare still ev'ry also miss 'll likeembed apart bring lyricsfor part mind stay minute wolf 'd time ind take away close help moment;A Minute Of Your Time by Tom Jones.txt
