title;artist;filename;lyrics
(I Could Only) Whisper Your Name ; Harry Connick Jr;(I Could Only) Whisper Your Name by Harry Connick Jr.txt;something flame name protect really lonely good care dare lyricssomebody someone carry would nobody rumor ask find somebody tyranny worry ever dominion everyone whisper end sayin could nameyou doubt answer spread believe opinion day true
(I Know I Got) Skillz ; Shaquille ONeal;(I Know I Got) Skillz by Shaquille ONeal.txt;right liberty upstate knick-knack alright kwan jump sound eye ron music twice wa-psh-psh-psh-psh-psh balla nine-ohs check ya stomach neck unit mecca stay ..... fight walk rapper khalid trunk want everybody spielberg booty liar mill pro arsenal flex heck kick boom muhammad already title sex believe backboard jackin ha-ha-ha moo town charge pa-style bomb legend wack wallet something hook fool shut hoopa give booger dribble whack ridin surprise cause shot bap sister bone section cracker stop smoke-smoke hold continue mic-checka lady brother def frankly proof new shaq-attack impala gooding track around reason brand sleep ahhhhh dope hit statue please tire park e.t tap shaq dog look mom meech rip punk rhyme chevy skillz steal yep rim shaq-tack play nothing another shhh pete rhymin gorilla man stamp treat solid menu lean explorer use little good mac ha vital ahhhh baby people way fat mic call every uzi boom-boom spell sike food broad still ahhh cousin flip skill funky chong sticking xl flava jealous hassle ford duk flexin pas double ah shack-a-lack-a-lack-a jef heavy high-hat smooth dirty fake swany cuba mad bust damn swear deck big break name yo funk punch hood drop attack front bump cheese rolex crackin wrecka nah cream hand three rough next prize dunk time script bagel large kid rock cheech cradle jack listen hoopin breath gravity tape spread freeze hey boomin back boy mic-mic build shout-out keep dark beat day
(Lay Your Head On My) Pillow ; Tony Toni Tone;(Lay Your Head On My) Pillow by Tony Toni Tone.txt;alwaysembed pull yes lyricslay put good mood hold shoulder mean purse hand head pearl wo relax find girl together always feel pie jacket pleasure treasure love room groove sheet nasty l-a-y cutie likethe lay back pillow upon
(Meet) The Flintstones (From The Flintstones) ; The BC 52s UNCERTAIN;(Meet) The Flintstones (From The Flintstones) by The BC 52s UNCERTAIN.txt;street right time page stone cat maybe win family dabba modern bedrock yabba wilma flintstone courtesy age town night foot two gay stay old fight lyricsflintstones meet history fred doo ride
(Shes) Some Kind Of Wonderful ; Huey Lewis;(Shes) Some Kind Of Wonderful by Huey Lewis.txt;right whole funny need big anybody chill lyricsi yes woman wrap little spine run lot hold witnessyou baby heart stay ask fire sight around thing want always somebody inside car feel desire witness sweet set tire money clean could fill everything fine kiss mind wonderful kind shes night mine lovin man soul arm treat
100% Pure Love ; Crystal Waters;100% Pure Love by Crystal Waters.txt;alive wish aware name midnight eye share thought loveembed run care givin saw win baby half till call friend dish heart new middle fight hear likeyou ride find around brand twelve fantasy pure want always side sin past tonight end could favorite away close answer show love fly talkin never back high play cry soul home
5-4-3-2 (Yo! Time Is Up) ; Jade;5-4-3-2 (Yo! Time Is Up) by Jade.txt;thing time upembed want life smile guess baby give busy sorry asking way turn respect yo countdown boy lie send play mine game -- ta love
7 Seconds ; Youssou NDour;7 Seconds by Youssou NDour.txt;even stone tone secondwe sword ne divisent leurs qui font infos live de khol parler voice use race raisons world beugouma khamouma good bone fokni aient dine guiss concept peines esperent skin le win guinaw bad oublie les sober sentiment amis deux veux nous stay je desesperent souf seven main wicked pa joie si roughness et long mane second li bear leur charm practise ak diapale ouvertes sama moye away poussent million tout living couleurs boul madi beaucoup changez rudeness pour mo dilene neka nga wait yaw changer battle kouma dal man child sene thi think
90s Girl ; Blackgirl;90s Girl by Blackgirl.txt;rather read ice likei whatever stand point yes last put cold cause worldembed use share thought world advantage proving sexy pass r-e-s-p-e-c-t effort behind mean hand signal raise test strong ask fear load thing statement criticize girl want best side mama chivalry respect clothes assume wear could capable view show love happen never hey equilibrium willing back upper able day man independent understand
93 til Infinity ; Souls Of Mischief;93 til Infinity by Souls Of Mischief.txt;right b basement indo chill sound really aww quickly top ton max exit pep grub ya hailin rubdown weather flow pass much overpowers rappin cali fact stay seven busy-ness rapper explain plan maui timbs attire exploit attendance aye feel black testin keen frigid bite prop squeeze uh-huh kick close quick kiss female p nice casual mike persona silly bomb wack ta home even oakland fool wish dip coolin inspire exception lack bridgette smoothness later cause ruler california bone blunts peaceembed stop steppin phesto g work sack impact brother great pumpin new ill plus bein flyer freestyle maxin track mack around tajai sleep stoge talent dope phat hit runt prolific roll midget shoppin domino flock sayin tap look owen kill rhyme yet cooler often stunt dapper miss pit yep straight crew handball another tab many roam whassup flavor cool man spot accept shit mischief restin need throw mighty chump greenback digit little bro east exchangin good fattenin dig famous bunk studio stack foldin snupe cut person baby swig fat clique call homosapien mediocre gettin nigga fit holdin land smack infinity post nose main huh mall patience ever ahhh flip respect funky cop op chillin peepin flick til jealous captive love a-yo sometimes ah stroke never wit school theatre whiz a-plus hoe jay-biz exxx-traordinary think flam-bee damn um break admire jerk yo pick game attack cinema bitch bomber front snare del nah dizziness skin dwellin ace talk till hang friend fun inspiration actin ask hectic hear session eight fresh find loot soft time sign hell hack step kid desire dial vibration jive/zomba anus props sweep crib rule swell range strip hey weed haha face keep backroads soul hair
