title;artist;filename;lyrics
(If Youre Not In It For Love) Im Outta Here!The Woman In Me ; Shania Twain;(If Youre Not In It For Love) Im Outta Here!The Woman In Me by Shania Twain.txt;round star dear give im outta eye cover number alone buy woman babe world far clear line queen pair baby way every three seat new old time sign girl five always sit car slow please set lie could beauty love magazine mind life four willing back key face youre town pretty change home
1 2 3 4 (Sumpin New) ; Coolio;1 2 3 4 (Sumpin New) by Coolio.txt;pork panty right west damn pay eat curl glad anti-locks coast b need move push throw break clue name give young c downembed live hope woman funk little hood gat world drop devotion watt shake sumpin hittin stop voyage pair potion partner c- mile flow baby lookin lingua people rap almost way amp hand brother amaze o-l-i-o three nigga bounce toe new additive yak free religious block fresh beef size around slide brand grab time do-si-do trunk want always help somebody motion attention wanda everybody step rock past still ocean gottagotta feel loo body goin franca smushed prop two ear pattern drink dre drive hop coolio chevy jheri street atom crazy open mission comin life chop double education code switch looky business wit four party hip back homies night bend bush information many fantastic floor dr. beat rise trip ta
1979 ; The Smashing Pumpkins;1979 by The Smashing Pumpkins.txt;right even zipper stone poured need pull freak sound live dawn point forgotten hope headlight cement city good bone shake store bored care wire light absorb dust hang heat aroundembed land blue shakedown skippin rest time guilt junebug kid due ever slippin feel sure assure apology end ghouls urgency double-cross faster earth justine rule morphine street fast speed lament guess never beneath thousand town restless vacant fake meet cool think
1st Of Tha Month ; Bone Thugs-N-Harmony;1st Of Tha Month by Bone Thugs-N-Harmony.txt;early instead thugs yayo pap corner chill live playa crime cocaine slang quarter grub blaze hittin check claim real much stretchin sho rollin stay loss st. late offer sippin add black n pro away kick rta holla already wonderful believe sort mailman dollar town night runnin phone leaf jumpin ta p.o.d pay fool celebrate glock-glock cause dum wake sister bone blunts sundown lookin brother chugga-lugga jokin workin block dime stash around hustlaz cross dope second short hit fo hydro roll st mornin sure bucket dub bent thug tha mom keepin comin january toss grind mail ready ease celebration goner wakin dummy ounce dome fuck man makin true fiends try stamp braid graveyard fin need whether with-a dopeman po-po put east good th run skunk god december pad bag feelin cut call gettin nigga alley head slangin freakin havin green ride shift huh nickel slow o.g cash money tryin biz clair bus faded hop love profit mild duckets blunt couple double never lay heavy hustle mine pocket lovin spend november whole month yo got hood game rushin low lot melee upembed bankroll snatch spliff bill dumpin krayzie first sellin callin wo find time creep poetic plenty rock search grill rum save tonight pound reefer fiend pip lightweight smoke hey buzz back weed count high drunk rob keep watch dress day wild smokin hair
5 OClock ; Nonchalant;5 OClock by Nonchalant.txt;rather case right even pork something damn instead eat making secret read need big think push teach sheading corner young cover stand live really trigger last woman universe statistic cause white smother bink little hood lex top nowhere good ballistic dose oclock urge ring lot nubian front queen check color kinky stop golf within skin pinky drive-by real grow drecia suffer car-jacks way fat brother call gang amaze shooting gettin nigga friend first though next head growth old ask strong truth vega along king start wrong callin wo matter around loot thing time press twelve girl together want hell everybody step rock still nation daisy bear feel year black money clothes pound end underground flock population lie shape die could outside course morning n mindembed dre flex jones wella else roller copper soon fatter blunt skinny mind loopy finger crack mold knowledge waste wood never miss leave mr. keeling bullet-proof school back hot-dogs crew able lyricsit keep safe hoe watch smoking vest pocket day man must hustler try stabbing mad scold
A Mover La Colita ; Artie The 1 Man Party UNCERTAIN;A Mover La Colita by Artie The 1 Man Party UNCERTAIN.txt;uste el siguele hueso alla pato al mar poner penas de perro sigueleembed caballito es mover malita izquierda del selva moda e mira le espejo cumbia la cocodrilo espera bailar maravilla tiburon mi moverla popular cancion cuando que pa en si general tarzan mujer ahora esta tire mueve ver ritmo donald para compas colita con un superman vayan corazon moviendo sirena derecha va vamos hay alegre tambien todos se ballena
A Thin Line Between Love & Hate (From A Thin Line) ; H-Town;A Thin Line Between Love & Hate (From A Thin Line) by H-Town.txt;something eat really thin woman coat hate shoobie-dab voice world line low honey ya dead hold baby pass much way speak mean shock hang raise head hungry quiet time hospital nerve sir inside door smile word sweet could morning loud knock state love open yet action hurt guess never lay bandage hat foot keep day lineembed think
Aint No NiggaDead Presidents ; Jay-Z;Aint No NiggaDead Presidents by Jay-Z.txt;og rather shawn represent graveyard expand suck ceramic big trial stranger brick give slack wrist -inch betty live turn demand dynamic yo crime hammock canvas league digit wrap kosher wonderama good attack mac famous poker bitch spit grace diamond devour twist extend visit mix dead fuckin sundown saran hasidic appendix sebastian flow evident stoker dick needin cream people rap mean till rosy mediocre strange intelligent splendid heart new san gun titanic offend post panoramic lebron find trope wo pistol od rapper long motherfucking readin magpie pussy patience still hit slow bear bram graduate hendrix feel roll knickknack money aim park yogi crown testament cake since waitin fish thunderstruck conglomerate recommend kneadin honor look view danger chamber water elegant others fine fast yet wu fly matrix aerodynamic eclipse handlin regardless teen mind oc life yesterday intend cancerous chilling exactly nice mo irrevelant celebrant miss basic transfer school president bandage back ranger knee pack high boo-boo straight dough math crocker dream blow spend meyou fuck chip shit
Aint No Playa ; Rappin 4-Tay UNCERTAIN;Aint No Playa by Rappin 4-Tay UNCERTAIN.txt;right original apartment b z maybe nervous serve volume thangs simply swole eye really road playa dancer voice ad world top saga drag joe pop vision cap taste neck mean brandon parkay brain though nobody southern gangsta steady level average heavily want folk prancer past jo wonder feel without wildembed begin peripheral squeeze flex kick comet living log saddle mob life struggle uncaged dance ha-ha-ha cabbage squirrel hot da machine battle horrid og even something khujo becomin bar notebook wish bird give cause hate g-string strap problem buck b-i-g thang b-o-i g hold future clown stoop red anderson gun fire wheel slam block bullshit around suckas treble dope monger hit word year lift roll biscuit sayin could empty flam look oops puffy answer show rhyme cruise street yet kenny sam outkast bring business tack crew nothing shhh equal question fuck try child shit dasher cee-lo probably tip bozo whatever throw thickness stressful turn homie knighton nap demon duck bro butter dig run blast noose smart wig cut people half way call journey pity goose gettin scoping nigga dish head mo-b creek goodie son ride speaking mics still t-mo stage niggas flip respect chappell tryin friendly jackass cop wear monkey j officer burbs devil mo stroke never mr. split dank full cell smoking lock mad think em damn risky muthafuckas madness melt break nut send funk pick victim bitch stick playas price us bankroll brag prowl forest yahhh locs hang ghetto next hunted dialect asses flo swang longer hear sat -- either colon wicked soft pa time mane cancer office yeek hell uh step afro graduate quite desire jack assed sequel pot uncle drug summer dangerous smoke hollow project paddle flim ass back boy hat dough decision keep steering beat quickness mode weight wild k hair
Aint Nobody (From Beavis And Butt-Head Do America) ; LL Cool J UNCERTAIN;Aint Nobody (From Beavis And Butt-Head Do America) by LL Cool J UNCERTAIN.txt;early doin right stuff caesar wordplay clock yall bout stone coke interrogation peer nana order butthead eye number watchin live really disrespectful cheek standin civic razor havent crime cold x voice facin world far g-shock time-consuming sikh spine owner oldhead udubb judge dawg hittin check distance board care video tuckin trust addiction pop e dead stomach vision duckin saw wess bad real taste porch bowling rap dont embody would mean tv kanaan vocabulary kitchen rappin steamer calico lauren moist though raise felt twin nobody middle old semi st. surf stats fight lebron career right-hand screech glocks fan shooter rapper millie plan want side phil boogie pride disrespect bow biscuits blazer rich ray guardian got- feel hotel without smoker big-ass bullet mention aim goin dallas demeanor arsenal suit state artery vers stream punishment grease fast quick mission room stark edition kiss chauffeur passion life p believe ar chicken code coach jc steel-grippin kirilenko-s aorta enemy da jam create pack battle carsick fetty cole bomb baseline travelin tryna cowboy fell protocol ta teacher dreamer aladdin even fry hook pay bar round chess encrypt hart wish failin warmer remind give beavis protect daughter cover k stand surprise chinese last wasnt cause shot deadly arsonal league intellect wick weapon strap shine thats problem braidin puppet tariq shizzow city chest attach band reek line madden shake meat knock-knock forget era shootin investment stop grade chromell episode ball suppose catch streamer im- g youll aimin opps work eviction trappin toast creamer tony make- snooze shuffle shock weak fn heat orlando indian contender left .s great covid red art new jesus ill blue gun tommy bein aaliyah block stash fear brayden reason brand moment ptsd hammer sleep alarm lawyer impossible always motion spark door ark tracyll second sig short word doe hit belly peelin eagle year lift jackson roll rush tire dump biscuit transformer pill-in appear park since ninall winnin wavin could dog cannon look clip jaz praisin searchin mom owen show jones street lit icu yet death recap soon sturdy threat steal violence different nothin grind ready discreet miss full-circle fine-ass wait -second id malice straight play another cal able many thou power caffeine jerry fed rematch man fuck drill grape muslim understand shit setup raisin star solid everythings need misdemeanor adopt whatever push maneuver throw im card ratchet turn clockwork hour noahs dashin shoot put cue suge violate richard ghost use reassure bright blogger east how- good f rail kickback gunplay store plannin queen highbridge youtube aint light lurin wig cut baby fam suicide people half almost fat dizzo call every vs. gettin nigga head heart hearin tool holdin palm tube team kitana lizzo dna havin effie son joker ride funeral squad help clap lose q cartier ever still livin overall ap lil cousin curve body complete bell hatin-ass juicy set respect presence money glove flip end weve cop dead- gizzo bus til keisha imma murdred jordan jersey drivin vibe everything love helmet open wouldnt matrix revolver york payin wont heel ollie newark talkin bore never cuttin leave mr. wit school heavy b.i.g foot odd darrells glitz opp mad think america em whole leech rear martin madness deck paperwork big kidnap apart move teach ten type break name o-red tour presidential trap mega month blanka yo white send missin steel angel punch blam shotty drop ivory john confused-ass prime hungr wreck bitch lot machete backseat vics hawk rolex rack visit balance blame fuckin proceed meanin glamor us grown scam optimistic week speakin optimus couldnt talk skatin story hand scope coulda tee amaze cant flesh jimmy first unique actin tec sellin hater trailer challenge pusha darrell soldier hear start eight preyin time whip medicine long andrei together hell en-crip-ted step kid rock gauge crackhead plate car fee save w jack know-it-all nine meth die jasmine house two picture place million crib dry hug repeatin shower knowin uncle chrome drum glock emergency spy drug summer eric lesson dean smoke arsonals forever hollow palace switch bathroom denim whats honda bustdown daddy non-descriptive back boy count face hilton stackin dough patek keep texas watch air touch day stride hair
