title;artist;filename;lyrics
(Dont Fear) The Reaper ; Blue Oyster Cult;(Dont Fear) The Reaper by Blue Oyster Cult.txt;sadness afraid last woman romeo clear run backward rain sun eternity la baby dont men happiness hand goodbye redefine start fear time together become candle door valentine juliet appear reaper could two look season love fly open everyday disappear curtain night another able wind blow man
(one More Year Of) Daddys Little Girl ; Ray Sawyer;(one More Year Of) Daddys Little Girl by Ray Sawyer.txt;d-a-double even something em represent quote yall bout easy fame um stressin skylar freak move dividend im name thangs young neccessity serve c admire live county paper chase combination playa last woman verse yo put sayer emerald cause x send use mackin little ruby hood thats game line run cuban bone bottle reevaluate suite check playas pop e catch proceed givin stack grown sya ahead feelin week cut stress grow lookin sleepin way hand every gettin hundred nigga three homey hopin whoever note first seat red head new repeat lucky sportin late usually start walk earn mack size rest mc mercedes wassup brand chorus time chris long m-a-c atlanta creep girl huh together somebody likechorus motion hell uh dope everybody disagree step livin ct rich terry slow niggas l demandin n-z feel tonight please greenbrier c-connection respect cash money tryin mornin megabucks goin comotion sayin shape could course movin n tired adamsville recipe state million crib hop slice clover rover rhyme begettes jeep deserve ho swell chrome dopeness wherever comin range survivor mind dangerous steal sex different double believe mo talkin pullin diamonds tweak mostly four daddy jam style back night stackin crew connection keep pushin power heh claimin day leaf makin true advise ta mad home
(Shake Shake Shake) Shake Your Booty ; KC;(Shake Shake Shake) Shake Your Booty by KC.txt;a-ha best everybody likeshake shakeembed ah dance booty chance give duty aah momma world floor feeling fight sister run shake doo home
(Shes Just A) Fallen Angel ; Starz;(Shes Just A) Fallen Angel by Starz.txt;even em fool train scream bird wing fall whatever throw bit act pull give type order outta eye alone turn chase road hour cheap cause thrill beautiful white mayne got share little heathen angel ditch game date consider good line cine scar bitch drama pain suppose boyfriend pill map pair light bad blackberry cut taste talk way differently rate story call hang halo every dinner lust friend though confuse head new shit ill monster commit old truth plus stay late terminally severely start walk wrong patna find around reason diversion virgin thing time beau cheat sleep girl together want impossible help best sin chick kid ever focus belt feel body save bittersweet thigh kinda roll set please money .... pound clean draw end flock lie dumbfound could weekend a-holes blind reparation place look view interchange close tux figure everything love yet matching quick everyday couple destroy fond experience kind believe nice indulge avoid bare unemployed never guy miss leave bring hey wait school notch lay ignorance back cloud face seem high night another relation bliss medi- straight keep mister watch dream dirty dark phone spend tights horn cuz dress day rice man choose accord try feather trip think h treat
(The System Of) Doctor Tarr And Professor Fether ; The Alan Parsons Project;(The System Of) Doctor Tarr And Professor Fether by The Alan Parsons Project.txt;company even easy round need whatever race thought bright far good professor stop satisfaction light weather way fit new tarr free start havin wo guarantee find thing sleep doctor tether girl together livin feel fether likefind altogether handin lyricsdoo end wise showdown breezy doo fly system wherever lead mind life forever bringin wakin cloud night seem jug rat keep rainbow wind blow day clever sideshow wine change laugh
50 Ways To Leave Your Lover ; Paul Simon;50 Ways To Leave Your Lover by Paul Simon.txt;right something probably easy wish discuss need really hope logically gu problem drop pain appreciate light coy freeembed much would way crude meaning head new misconstrue free intrude lover habit wo sleep plan explain help inside lose smile tonight furthermore please jack lee roy listen could bus morning begin slip hop realize answer kiss struggle believe repeat leave back key grieve fifty stan must risk
9999999 Tears ; Dickey Lee MISSING;9999999 Tears by Dickey Lee MISSING.txt;lee exist dickey song seem tear miss
A Dose Of Rock N Roll ; Ringo Starr;A Dose Of Rock N Roll by Ringo Starr.txt;right turn radio wash good mood clear dose care shoo baby aha mean heart old blue start bop mama rock feel roll n wow moon ripple dance ease hey daddy control sole cool soul
A Fifth Of Beethoven ; Walter Murphy MISSING;A Fifth Of Beethoven by Walter Murphy MISSING.txt;exist walter song seem beethoven miss murphy fifth
A Little Bit More ; Dr Hook;A Little Bit More by Dr Hook.txt;whole alright bit rub give eye live turn cause use little good shoulder sun feelin way floorembed thing time always side touchin smile body greet learn begin tired look love mind guess lesson life enough ready layin lay flat floor stayin likeand think hair
