title;artist;filename;lyrics
1-4-All-4-1 ; East Coast Family MISSING;1-4-All-4-1 by East Coast Family MISSING.txt;exist family song -- seem miss coast east
2 Legit 2 Quit ; MC Hammer;2 Legit 2 Quit by MC Hammer.txt;quake fool train shakin wish move remind oaktown harder strike hour yo daily top game buck chest good record dig dose store bottom quit devour nah us tried work insane real people way abuse weak story every gettin defeat confuse legit fit new rollin nobody lame improve strong rhythm smack competitor muscle start havin son post press time shame survival burn hammer diss together want percolate step beginner ever short word hit feel takin roll please sure sweat none goin away look crush close hype rule unchanged punk love mission groove lead mind believe bore physical remain winner ready never guy kickin bring freeze hey misuse legitembed sing lay back hustle boy town high charge play crew yay sweater dream mine regret runnin power better day meet choose makin true try ta think
3-2-1 Pump ; Redhead Kingpin UNCERTAIN;3-2-1 Pump by Redhead Kingpin UNCERTAIN.txt;notice wallet wish nana give im starve verse put little detail truly good run bitch pant doembed fair hand luck flee fist bridge hear walk sick wo dime around chorus burn sign want best help hell second bedsheets hit since could begin house tale kick love pre kiss steal finger leave key boy seem straight keep pocket pump shit
360 Degrees (What Goes Around) ; Grand Puba UNCERTAIN;360 Degrees (What Goes Around) by Grand Puba UNCERTAIN.txt;rather right instead alive rub eye music inhale check feed claim vocal real useless pass much sketch rap define brain improvement fact harmonize form glocks culture level plan backing sippin feel without fallin innovation depart niche develop bite begin buoy watered exposure portray degrees producer mind image mouth nike architecht pay fame pen point thin buildembed later cause shot canvas chasin curb jewel line depiction pose forget ball flap snooze daze spa slanty bridge flake free block seek around exhale sleep diminish phrase word unfold manifest essence paint underground lie tenant ear unless branch earth nowadays diabetic wrinkling architect loathe finish wealth miss match contemplate embark crew sink many dj may steadily wine change shit loop teeth lyricsslowly need underwater hope gimmick financial worth good lyricism punchin theres survive peacefully exist hiphop artistic bag appeal leprosy call jaw confuse heart rhythm recognition longevity mc mics squad become replenish manipulate lose sleeping skill respect unity bruise pioneer open scrotum never leave blueprint sketchin insight gap frill damn em deal rear expand artist crossing paper strugglin greed pick speech hard tight front stick metaphorically receive writer bill speak root element next fundamental hear start wo rest find load thing time freezing car fee .. shrivled clutchin listen house picture place water melody clueless fine mess dandruff spread account smoke pour immunity enough back krux build community keep wall pump
57 Channels (And Nothin On) ; Bruce Springsteen;57 Channels (And Nothin On) by Bruce Springsteen.txt;half-past hook beyond bye-bye onembed star blessed tie wish solid name disturbin eye dawn point truckload buy steel top john upstairs satellite blast judge baby japanese bill tv hundred friend great note dish channel son message fifty-seven bourgeoise settle car hollywood friendly peace entertainment elvis house hop love billionaire piece defense nice nothin hill switch lay dollar back thousand town night foot almighty magnum cast cable man home bust
7 ; Prince;7 by Prince.txt;ah-ah-ah right whole fall young faire stand compassion decree universe educate voice intellect angel city sand color distance army gold song bold us hold saw grow way speak hand every three blood new compare old seven sea fear animosity time twelve huh together five uh blasphemy behold ever marching still word surely peace die two six evil savoir others love street death breath tear plague unto smoke ah never four lay river sing curse key foot many mine cry watch spite day soul space
A Day In My Life (Without You) ; Lisette Melendez;A Day In My Life (Without You) by Lisette Melendez.txt;need fall give eye use line depend catch hold near baby decide way hand heart strong find moment time inside ever still feel without please deep lie close fill love likebut life piece believe never keep cry touch belong day try think understand
A Deeper LovePride In The Name Of Love ; Clivilles MISSING;A Deeper LovePride In The Name Of Love by Clivilles MISSING.txt;exist song name miss lovepride deep seem clivilles love
A Whole New World (Aladdins Theme) ; Peabo Bryson;A Whole New World (Aladdins Theme) by Peabo Bryson.txt;meembed whole carpet star letter theme eye point indescribable turn chase surprise last shoot use share world far thrilling clear wondrous endless diamond dare us dazzling hold soar decide way shimmer crystal likeohhh every hundred splendid red heart new sight ride thing time moment sideways wonder feel spare princess tumble aladdins place view close show sky open breath unbelievable shining never freewheel magic pursue back thousand fantastic horizon dream anywhere
Achy Breaky Heart ; Billy Ray Cyrus;Achy Breaky Heart by Billy Ray Cyrus.txt;fool move louise eye really world arkansas farm okay anything today brother joke fingertip anyway breaky friend reach heart fist whose walk wo burn aunt girl leg hit please clothes bite dog cliff kill already mind lip achy never laugh back foot floor watch blow ooh-ooh phone man arm think understand
Addams Groove ; MC Hammer;Addams Groove by MC Hammer.txt;right fool need coolin funembed move bit act oaktown outta live foolish standin turn yo put cold voice ok tellin little neighbour bone ha check steppin ball saw speakin flow fester talk hand def strange goofy swoop three friend fully thinkin next legit new bridge along havin perm maxin gomez speaking around randy thing time hammer tall pride everybody family wibblin showin pugsley cousin addams thank house knock wednesday flava kick remember groove comin hurt aside mind finger dance chicken talkin kickin anyone back borrow high play foot slap day cool man relaxin try ta posse pepper think understand
Again Tonight ; John Mellencamp;Again Tonight by John Mellencamp.txt;time right probably girl fool catch circle hurt hold big work whatever dance wonder shoe lyricsrun baby tonight sing boys hump cloud wear skirt nine ego lie tonightyou morning dancin underneath worth moon lightning touch try
Aint 2 Proud 2 Beg ; TLC UNCERTAIN;Aint 2 Proud 2 Beg by TLC UNCERTAIN.txt;happy something irrelevant tip need dat beg freak name eye alone unmistakin yo chilli proud yard dis loved game good urge hard scar refresh check ya satisfaction us duckin aint reality paddywagon evident much mean mic call inch thinkin head middle t-boz strong holdin sauce sexin rest join long want explain best uh everybody step rock oooh braggin tlc short word mwah heyyy feel bos body set goin morning mutha breakin house loud kick realize waterbed love fast sheet curtain lip pullin kickin screamin leave wait wit hot da realism night treat shhh touch lovin belong society man choose ta understand shit
Aint Gonna Hurt Nobody ; Kid N Play;Aint Gonna Hurt Nobody by Kid N Play.txt;pay bar disco mangle alright need pull give young outta gear live strike music hope last woman coat crime babe cause dancin world problem presure good trouble anything blast forget front check fade song us skin aint work partner feelin week mile lookin today lyricsawww would hand call hang fun friend war red next nobody free ryme shelf hear wo matter rest find chorus thing time girl help best uh step door kid smile busy hit stroll uh-oh slow p-l-a-y promise feel hardy tonight single enjoy respect noise require sure paint could closet away pleasure look hype fill job yet soon johnny hurt couple mind kind dance chance enough ready leave cutie party boy awhile homies town night seem play kemp floor dj regret spend day hightop man par hi
Aint No Future In Yo Fronting ; MC Breed;Aint No Future In Yo Fronting by MC Breed.txt;right kilo clock b maybe neighborhood hearty simply jump sound live bitin world top hittin ya pop e dead much wide would geeked fact strong tit-for-tat steady trunk o.e best pride worry slippin takin black kenwood raw marty state amazement rover jeep quick tear life servin dance ha-ha-ha kickin plant dollar cruel black-on-black pack woof runnin phone cuz law eat crumble give ridin last cause shine peep city record homeboy stop ball catch givin g lookin tb future m-o-n-e-y thinkin puttin e-d peak seek around grab four-leaf diss always static door second holler paint sayin dog clover breed plain steal proclaim different business president party sucker rim straight play rhino r man change suggest homie shoot put cherokee use good th run jean frontin noose aint flash people sober way fat mic pity gettin nigga strictly mc benzo ever still money microphonist funky wear b.o.b g-a-s everything job dfc double ah hm chance never leave trigga-happy foot pocket causin government posse think em bet big move ten somethin break name yo white boot game drop barkin hard low playin gold week gto rough sellin motorola start wo time long pickin cobra step rock scholar sweat listen house place fiend rule figure illegal scene chrome eric knowledge pavement hey boomin back keep beat meet likethere
Aint Nobody Like You ; Miki Howard;Aint Nobody Like You by Miki Howard.txt;poor darling need likei move throw really yes hope put babe cause world pick good care aint baby boys heart nobody strong youembed find around time long always somebody door search rich feel field could sweep away view ground show love sometimes foot keep watch arm try
All 4 Love ; Color Me Badd;All 4 Love by Color Me Badd.txt;something knight glad fairy alright need fall give serve eye yo beautiful shin dig anything distance ya care catch us hold sugar would hand call future every hundred thinkin ask guarantee lord thing time girl together want always lullaby ocean without year armor thank tale look foreverembed fill show love everyday tear life forever never leave sing flower night full mine lovin sweetheart belong arm think
All I Want ; Toad The Wet Sprocket;All I Want by Toad The Wet Sprocket.txt;want hold need confess whatever kind happens brave feel never neither would way cold speaks lie nothing outside evening heart though loud truth air free trouble hear close wo soul matter everything soft
All She Wrote ; Firehouse;All She Wrote by Firehouse.txt;right something bye-bye whoa bye care bye-byeembed bad baby way call note goodbye though heart late along start wrong find want door still saturday wonder write could hole away picture look remember guess forever never leave night nothing phone letter home understand
