title;artist;lyrics;filename
All I Know;Garfunkel;slow light fine line night beyond oh fall grow 's know might end depend darkness love go easily lyric show bruise song also singer always say likeembed plan come fast ending dark let ... dawn last pass help;All I Know by Garfunkel.txt
All I Need Is Time;Gladys Knight;love fun lot 'll say everybody time away ah morning get forget know year die million dream gon without little need long mend live bear might 'til two change also pain na wo lyrics timeembed spend last maybe day like night 's bit quite never thousand tear fly bring every n't another take;All I Need Is Time by Gladys Knight.txt
Also Sprach Zarathustra (2001);Deodato;long canyon way prison meander lyricsrain beneath 's flow might birth issue deep virgin stark hollow also zarathustra earth hurl likeembed youyou stream free stone sprach search seep gather swirl wall sea cave;Also Sprach Zarathustra (2001) by Deodato.txt
Always;Luther Ingram;tall father weep lap keep love fun feeeling lot crime say god ever someone give time nice strap trouble low mother put oh didnt get forget think know lyric always gon im make yeahembed brother across respect son might around man understand aint also ill boy proud promise na though kneel strong double heck cause neck arm others like use glad bad youll never could feel thing prayed lead stay hand sometimes whip teach guide take carry mama;Always by Luther Ingram.txt
Am I Black Enough For You;Billy Paul;ta late leave poverty child come god ... freedom time six alive whole witness fist good get eight one lyricsam three instead gon heaven four stop mind without make ai marching embed seven might two also na spend use five line new 's work brand behind suffer 're never could enough black world likei stay move n't rid take;Am I Black Enough For You by Billy Paul.txt
American Tune;Paul Simon;rise high call go travel try restyou misuse come time 've batter tomorrow away bright tune back smile soul oh uncertain get think liberty know die dream lyric wonder ca likeembed drive felt expect confused bon working weary help forever long eye live sing see might forsaken certainly rest american right also wrong sail age ease yes shatter mistake home sea road clearly hour 'm day reassuringly far 's unexpectedly statue still 're bone could feel vivant friend moon many knee fly look mayflower bless ship well n't often another;American Tune by Paul Simon.txt
And I Love You So;Perry Como;day 'm till meyou night evening brief live shadow get know set follow around thought might 're love read understand also guess ask dead lonely belief book page likeembed happy tell free begin life hand yes spirit let wo 've n't lyricsand people take;And I Love You So by Perry Como.txt
Angel;Aretha Franklin;something ta call misery keep alone somewhere heart love go say 'll come life carolyn someone 've away ooh cook oh within sister get think box know meet aretha lyric free without angel find rather need worry help long live explain set might drawn also unattached na melody home somebody day like must 's hop '' feel wan thing fly much want look n't lifeembed;Angel by Aretha Franklin.txt
Angie;The Rolling Stones;woman hold weep coat sweet us go love try say ear sadness come yeah everywhere let time alive satisfied whisper dry soul oh good seem dream lyric ca loving taste likeembed kiss ai eye see might beautiful money triedyou also close remember night hate cloud cry still disappear 're never angie baby smoke look lead n't goodbye;Angie by The Rolling Stones.txt
Anthem;Wayne Newton;shop woman throat coat frighten alone incident lot daddy decency care let dirt someone people away school alive back grocery folk rain get castle anthem momma kid lyricswe gun without house scatter parking aware wait thisembed might safe breather also telephone war home likewe use pray far 's lord work end past still wise 're candy voiceless miss prayer stay fight tempt well n't strive;Anthem by Wayne Newton.txt
