title;artist;lyrics;filename
(Baby Tell Me) Can You Dance;Shanice Wilson;name face high play chance fun sexy try 'll come pick let give time 've playin put smile oh good game get think know year one nothin start phone hearty fire lyricsi nothing deal find star need shanice act ai busy yet see embed might person serious number also boy likewhat book tell upon sassy na party atmosphere talk really like 'm posing 's wise 're dance feel baby wan friend want look corner groove space n't take;(Baby Tell Me) Can You Dance by Shanice Wilson.txt
(Forever) Live And Die;Orchestral Manoeuvres In The Dark;like old live far dieyou get know might cry die never us seem could feel lyric discover wan wish hey also always likeembed come want look na near mistake make need home another people away forever;(Forever) Live And Die by Orchestral Manoeuvres In The Dark.txt
(I Just) Died In Your Arms;Cutting Crew;name something fantasy proxy keep follow heart love go try say cradle come diary final easy give time 've away list head oh would get think know surface die one 'cause lyric lie ca hot broken kiss find make kind thrill lose long see might around right also wrong boy table bedside awayembed mistake tonight close arm like 'm way night must 's could feel discreet many sit walk cat look hand blow n't take curtain moment;(I Just) Died In Your Arms by Cutting Crew.txt
(I Know) Im Losing You;Uptown;remix hard follow love go theres limitembed yo say yeah flip namsayin give ... tip time j. ooh satisfied sacrifice puff good get think know one lyric completely loving everything gon kid stop sure without im make need worry eye steel might man two right also ill touch boy joy youve ready tell blige upon mary yall na explode freely uptown surprise last cause clearly dont day 'm limit like capri far 's bad 're recall baby wan thing much bring want look hand drop every n't take piece;(I Know) Im Losing You by Uptown.txt
(Ive Had) The Time Of My Life;Bill Medley;something passion fantasy youembed control love go 'll say life search ever let someone time 've wall soul finally magical urgency get know one seem 'cause lyric afraid ca felt mind writing find lose saw long eye ive wait might truth 'til understand also tell body yes tonight swear disguise like remember way secretly open owe 's 're never could enough baby door thing hey want hand stay stand every n't take;(Ive Had) The Time Of My Life by Bill Medley.txt
(You Gotta) Fight For Your Right (To Party!);Beastie Boys;throat ta high side ante westyou snoop rap twin jon clear let lil juicy notorious low eminem nate robbing-hoodz yang honorable mention get ying east crooklyn lyric kanye club nature ca kurupt likeembed scoop without beastie nothing dj house push `` next jones feat pimpin might around clan salt-n-pepa right ugk m.o.p o.p.p also pain boy jim faithful tell party boyz dre dogg da dmx jump fatman jay-z dr. '' anthems cent naughty top b.i.g fly kool fight episode big n't theory;(You Gotta) Fight For Your Right (To Party!) by Beastie Boys.txt
(Youre Puttin) A Rush On Me;Stephanie Mills;yeh love lay likeyou else come yeah easy give nice time 've ah ooh old slow oh good get think know youre puttin pure ca please sure nothing kind next soon rush lyricsyou respect fall live yet patient wait see might girl understand change also intention boy ey yes maybe babe like 'm betterembed fashion 's 're never hope baby thing hey don't-do lead stand 'd n't take;(Youre Puttin) A Rush On Me by Stephanie Mills.txt
853-5937;Squeeze;name call hard redialed leave mill love go 'll empty come care give time 've message listen old oh morning get one early lyric phone ca please voice angela make find house hill true live see might tone right number also -embed speak perhaps home maybe record close ring clearly 'm like line 's end never poorly northern could friend tape earth suspicious together every n't bermondsey;853-5937 by Squeeze.txt
A Trick Of The Night;Bananarama;soulyou trick love go street decide try story come apart everywhere question let laugh lyricswhen different smile soul oh would think know darkness lie wonder ca likeembed stranger little burn next long eye style fall see might around whatcha right change show sell also wrong boy tell danger gold fortune clean-cut disguise pave day way night must 's work 're never even could feel wind door hey walk tear bare-faced sometimes inside hurt minute cut 'd well n't take;A Trick Of The Night by Bananarama.txt
Aint So Easy;David;light anyway face fix salvage likepleaseembed late alone leave chance go 'll say come let easy 've away put back would get forget bend know one today please everything lyricswe stop kiss find make either sorry ai eye might around darling man change aint show also drink break rub promise tonight ache swear home suitcase cause maybe day 'm along way remember attend 's past never dance could baby downtown happy want stay sometimes stand move n't another fooling someday amends;Aint So Easy by David.txt
All Cried Out;Lisa Lisa;slowly grass sunday hide late youembed alone flame heart leave outside love go romance astray give ... 've ooh accept fool oh would rain morning blame know one die 'cause lyric lie fire hear burn find need pillow confused sorry neglected inferno tired fall confuse see set pleasure might noisy also wrong pain apology add break place body traffic hello green home cause 'm like way vain simple cry never easily could thing tear want weaken inside hurt n't take collect;All Cried Out by Lisa Lisa.txt
All I Know Is The Way I Feel;The Pointer Sisters;dreams keep hard turn death heart love go extremes say come yeah life near search ever lovin easy ... time 've ooh-ooh-ooh ooh scarin slow soul oh good get think real know one lyin million dream nothin wonder ca always likeembed mind nothing make find need lose help long beyond true lyricsall might soft also wild turnin way anything far whoo 's lord oh-oh deep 're never could feel baby world much want inside sailin space warm n't;All I Know Is The Way I Feel by The Pointer Sisters.txt
All I Want;Howard Jones;dress bigot passion hide call alone heart love juggle lot sort say come ride youthful time away sunrise one seem insanity watertight identity likeembed romeo doubt til cowboy make push juliet parking live cow might water gloom also bruise action wild place romeoyou crazy clock caress champion home sane like parcel reggae fashion 's rodeo work end cry 're dance even thing want hammer left consume fight drop lyricsride take collect fear;All I Want by Howard Jones.txt
All I Wanted;Kansas;lyricsyou till 'm way hold blame strange 's might behind 're love us change also many touch say likeembed break want stay hurt need time cause doyou take;All I Wanted by Kansas.txt
Alone;Heart;hold alone love go lip care slow oh get know meet lyric lie wonder secret always likeembed hear gon pitch aloneyou long chill answer room wait might 'til also telephone touch tell na clock though tonight wo really 'm night unknown 's end still hope never bone ticking want dark tight n't;Alone by Heart.txt
Always;Atlantic Starr;woman sweet grow love go us 'll come yeah life let away bright ooh alwaysembed oh rain chasin know rare one lyric ca always sure make find forever might around family girl also chase boy joy sun dedicate day like 'm way must 's 're enough hey bring perfect stay n't send;Always by Atlantic Starr.txt
