title;artist;filename;lyrics
(Ba; Tell Me) Can You Dance by Shanice Wilson;(Baby Tell Me) Can You Dance by Shanice Wilson.txt;deal star need hearty atmosphere corner act give name number lyricsi really put sassy game pick good posing playin sexy person baby talk friend fun serious shanice fire start find likewhat time want smile busy feel year wise look book yet groove dance chance nothin party boy face high play nothing upon phone try space think
(Its Just) The Way That You Love Me ; Paula Abdul;(Its Just) The Way That You Love Me by Paula Abdul.txt;rather right fortune fame ow ninety-foot throw break buy world top game material ring honey famous diamond guitar paula baby people way heat friend stay rome bahamas maserati thing huh girl french black hollywood money clothes wear weekend house place riviera brazil love crazy fly impress plane hill a-rocking monaco heavy party yacht night hat connection keep watch limousine trip home
(Ive Had) The Time Of My Life ; Bill Medley;(Ive Had) The Time Of My Life by Bill Medley.txt;something swear writing eye finally stand yes afraid disguise owe saw someone baby way hand every felt stay youembed truth find thing time long fantasy want ive lose door search ever body tonight urgency could secretly remember love open mind passion life magical enough never hey wait control seem wall soul understand
(Sittin On) The Dock Of The Bay ; Michael Bolton;(Sittin On) The Dock Of The Bay by Michael Bolton.txt;restin ten evenin watchin live alone loneliness ship bone tide wastin sun mile people way every head wo lord time dock sittin sit roll mornin frisco two unintelligible away look georgia everything guess ah nothin bay remain waste leave thousand roam watch change home
1-2-3 ; Gloria Estefan;1-2-3 by Gloria Estefan.txt;need give eye afraid game coaxing shell innocent -embed baby much hand shy fun heart -- wo matter time burn want inside step glove away look love counting passion steal chance never boy count play nothing keep mine regret
853-5937 ; Squeeze;853-5937 by Squeeze.txt;early right northern tone maybe give name number bermondsey live suspicious voice redialed record line ring hard care clearly -embed speak call every friend perhaps old find poorly message time together please end mill listen could morning empty angela house earth close love tape hill never leave phone true home
A Little Respect ; Erasure;A Little Respect by Erasure.txt;meembed something give break live little hard work baby would call war heart discover blue hear lover reason religion forsake falter please sweet respect peace could drive love open forever refrain man soul arm try
A Nightmare On My Street ; DJ Jazzy Jeff;A Nightmare On My Street by DJ Jazzy Jeff.txt;notice right clock bout coke david alright summon jump chill cold voice check care claim calm saw pat bad asleep real bed neck behind would tv gang groovy buggin brain though nobody walk girl want tomorrow draw begin awful tina quick room life believe decent hot mistake prince night jeff cuz ta home even dip pal cover letterman last nancy wake upstairs homeboy scar stop ball elm hold work lady freddy def anyway proof new ill block grab sleep alarm door drawer saturday word stroll darn please rush mornin since crawl outside look ahh remember rip answer show kill street oven comin sheet ready guy wait haaaaa claw seem nothing dream man arm try downstairs angie grin whatever pull weenie turn shirt thirsty ha haaaa almost way call every nail head team havin wrong fred rrahhhh huh fancy soak body set flip noise wear everything open choke theater hurt juice halfway never leave thanks lay evening silence must posse mad think d.j whole scream melt big fall somethin break name tour movie yo honest lot shoulder partner princey talk slash story dreamin three friend first start hear wo fresh burn long hell uh rock grill crash bum hello burnt single sweat die listen nightmare house figure dart ahhhhhh awake back face hat sweater day soul laugh
A Word In Spanish ; Elton John;A Word In Spanish by Elton John.txt;right something glide tongue read sincere move fall christen sound eye thin speechless undone disguise ghost use line manner devotion exist spanish gift foreign would speak romance hear time trade explain comprehend word resist listen could approach two film love language tear lead female chance bring lay back face accent pretty leaf difference man prove understand
All Fired Up ; Pat Benatar;All Fired Up by Pat Benatar.txt;fall eye live world line care deepest likenow cut lookin way hand meteorite lightin new nobody fire hear either reason time sign heal cryin everybody inside feel faithembed perfect learn lyricslivin deep goin movin faith searchin kick close darkness everything believe reachin never hey mistake day difference ta burnin
