title;artist;filename;lyrics
(Theres No Place Like) Home For The Holidays (1959) ; Perry Como UNCERTAIN;(Theres No Place Like) Home For The Holidays (1959) by Perry Como UNCERTAIN.txt;franklin billie ives martin lou wish noel christmas warm trio midnight live tree alone ellington rockin orleans white daigleembed orchestra little trotter world fontane leona darlene jolly john sister clear merry gene lot drummer song rawls commander tomlin remastered holiday ken collection light vocal perry carter carol daigles ayres jingle aretha crosby lauren armstrong first flack new michael lewis king guaraldi sinatra hear williams frank around time holy chris marshmallow welcome herald nat ella rock roberta christmastime andy como bethlehem bell single lee holly could begin vince caroling waltz place look snow louis duke bing love version reindeer angels everyday burl daigle dean scott darby hark tyler benny autry sing boy town red-nosed night fitzgerald brenda upon keep cole jenny rudolph carpenter singer day rice santa child claus home
2 Be Loved (Am I Ready) ; Lizzo;2 Be Loved (Am I Ready) by Lizzo.txt;sheesh damn whole translationsfrancaisportugues readyembed melly alone worth good attack run happenin feed suppose shee work boo uh-uh bed would way hand call friend lovey-dovey truth callin find fan girl fantasy want somebody clap askin belly ayy feel learn woo goddamn squeeze away brr doubt figure love fine else deserve panic hurt guess life yesterday ah talkin ready hey back embarrass lov whn man true mm think shit
23 ; Sam Hunt;23 by Sam Hunt.txt;meembed happy even probably train glad bet think beach twenty-three name stand really folly hope last orleans mississippi california city queen father rain blonde work cut real much skirt friend first new la-la-la-la-la matter ride find time long want always folk office short still july tennessee sophisticated wear marry house drink view water grown-up love architect mind life impress memphis never straighten anyone back night hat build accent wine change delta hair
25 Million ; Roddy Ricch;25 Million by Roddy Ricch.txt;comma eat outer yellow ea sunday scarcer environment move pull ladder give fence dodge county massage buy bitin put emerald wave cadillacs buddy plot jakes game city line store translationsespanolportugues bitch change diamond god pop catch spent us flight cut mile pajamasembed dick half behind mean hand call menage every hundred nigga ignore obama local new jesus climate old land blue country roddy start hoppin nicki ride hating nose slide maserati vuitton holy snot five want inside door sit climb lil niggas ayy body desire year cash money attendant since yeezy could outside thank score gobbling laurent suit million hop water louis jordan remember show love jambalya bugattis vow towel pajama bulletproofs piece plane twenty-five shoe never miss bathroom snake mouth wait four pj back thousand fifty high straight fatigue treat keep island runnin wind service haircut spend royalty day fuck retire hawaii mode saint ta space shit
25k Jacket ; Gunna;25k Jacket by Gunna.txt;pay coupe whole star need fall male stretch active give break card name act wrist outta c swervin whack strike tree buy put upgrade send ghost proud top worth guapanese okay hard lot check god care wheezy goembed pop crackin third aint baby stress much mor dont way bill speak celine call every gray gettin nigga actin next head tec mal chanel fresh nose translationsespanolportuguesk load swallowin rapper hero long girl pookie lawyer want tomorrow large pussy mama jewelry rock livin still traffic hit lil niggas car ap feel body save black bleedin please money shoppin apology park jacket wear goin lie brodie dog two favorite maybach seed drive bless push-start weirdo job prada fast gunna ho threat p forever twenty-five nothin drip maybachs cuttin dollar back boy thousand alphabet keep alpha watch plaus pushin runnin tryna day par smell ta accept
29 ; Demi Lovato;29 by Demi Lovato.txt;issue funny maybe petal vine young number finally vietturkceespanolitaliano oh-oh-oh translationsnederlandstieng far good innocent stop continue would elder teenage consent matter seventeen time twelve fantasy five cross oh-oh-oh-oh-ohembed quite collector year bleeder student beautifully drink twenty-nine oh-oh-oh-oh-oh mind never daddy grip dream mine fuck wine teacher think shit
2Hoo ; YoungBoy Never Broke Again;2Hoo by YoungBoy Never Broke Again.txt;eat round two-hoo throw give im turn three-sixty hope shoot yo top problem drop good trouble location sister run okay bitch lot thuggin hittin stick amount ya pop givin hold vision aint bad lick baby ima dont way cant friend ask swim fight start hoo find around grab steady waist want murder rock lil hit rubber body expedition please cash sure pound clutchin milly waitin movin hugh fussin two house picture away trippin tho scufflin figure kill love fast scene hefner lots finish smoke herembed enough never bring business wit four back face grip too-hoo many keep beat tryna cool fuck hair
2step ; Ed Sheeran UNCERTAIN;2step by Ed Sheeran UNCERTAIN.txt;right something damn crisis thaied turnin al cancel read maybe traduction dip fall need give break two-steppin eye pace italiana music turn alone woman missin race got weapon chest trouble reckon translationsespanolportuguesdeutsched low forget change stick nightembed trust catch us feelin bad week cut stress traduzione people behind catala head heart romana conversation rest bind moment message time press plan phasa help best step lose livin occasionally word feel less traduccio francaise deep except could blind picture ed confidence place beauty love open mess ether pretend seein traducere guess life different electrify nothin screen never leave depress constant tend night play evening keep dark sheeran beat spend dress ta pressure think
300 Blackout ; Kodak Black;300 Blackout by Kodak Black.txt;heard happy even notice taina eat fide issue fucked swimmin freestylin mansion need big route move z dracs anybody bona young paper center turn trap shoot put use duck drac deliver date drop city judicial good shityou run runtz loyalty bitch shootin loafin studio stick army steppin player pop catch blackout dead fuckin lake gangster snatch bag dust friendship elevator real grow lookin sack way clique riot home gang dinner kitchen swoop glizzys nigga fully ktb thinkin new hater snipin old stay ask late shelf bein start hear havin walk son detention beef around pistol load grab whippin jet rapper blank trunk panther indictment motion broad touchin askin coyote mama everybody sg plenty plate lil hit niggas bos save write black spare throwin killer kodak meth direction two house maybach demeanor thug look hop water book kill private knowin mild soon everyday room gram comin system hurt marriott ari finger arena different exactly one-man footprint smoke nothin suburb bitch-ass project ready never leave business wait chosen bae back golden boy face night high cell decision gunslinger pointin juvenile treat incitin keep safe feeling pool question virtue intersection day fuck man try change smokin shit
3AM On Glenwood ; 21 Savage;3AM On Glenwood by 21 Savage.txt;case even coupe whole probably carve wish trial mase pull anybody name artist jump break cover master stand hoodie really chase hope passionate put window white demon hate pray mask chasin bald-haded top world game cement line cj ozium tight lot stphen video visit shorty opps leavin teflon light win jelly gangster speakin glenwood real cut grow neck facetime petroleum shotta would mean hand brother gang hang string nigga three left friend actin thinkin heart old fact woah fight eyelid tayman wo charleston mace larry kick-it stephon ptsd time sign rose side ms everybody inside step kid cloth still rich hit wonder rid niggas tribulation witness roll gunfire skiney shoppin prep translationsespanolportuguesam could thank smilin jail look semen show kill private love boom johnny comin kim prosecutor different smoke believe talkin bulletproof switch never leave hey school face jehovah play hoe mine watch tryna advance grammy spray amends ta think braid shit
