title;artist;lyrics;filename
(Im Watching) Every Little Move You Make;Little Peggy March;eye 'm floor like sigh way oh jealousy cheek keep see know might embed heart die 're go dance word girl lyric song try also thing peek break watch yeah look step without little im give make torture ... time every move 've another pour take;(Im Watching) Every Little Move You Make by Little Peggy March.txt
(Its No) Sin;The Duprees;music hold within would rain lovely 's keep know might deep leave heart still symphony love flower sinyou also lyricstake april beating sin violin 'll cease likeembed surly though breath take away close dear shower forever;(Its No) Sin by The Duprees.txt
(Just Like) Romeo & Juliet;The Reflections;something date love heartache romance sorrow speculate ride let present tomorrow put outta morning tragedy get know one job wonder likeembed gon romeo little find fame juliet romo till wait might pretty smack julietyou right girl show also drive-in na lyricsfinding talk really like 'm julit way catalog 's work dab straight destroy much write want bring buy n't take history;(Just Like) Romeo & Juliet by The Reflections.txt
(Thats) What The Nitty Gritty Is;Shirley Ellis;anything way soul fizz de ta get 's think call might lyricseverybody stir play boom dooda dance digga start sound bop also ask gritty thats walk say likethat isembed tell want come beat care nitty people talk really take biz listen ooh;(Thats) What The Nitty Gritty Is by Shirley Ellis.txt
(The Best Part Of) Breakin Up;The Ronettes;hold leave go say 'll come time away ooh back oh get know belong seem 'cause lyric ca difference sure make babyembed eye long best wait might 'til also wrong lonely break tell part na wee teardrop home maybe breakin like 're apologize baby wan fight tight well every quarrel n't;(The Best Part Of) Breakin Up by The Ronettes.txt
(The Story Of) Woman Love And A Man (Part 1);Tony Clarke UNCERTAIN;dolly mood-setter de side turn ram relationship heart love us raitt haim feelings.a lip romance wish blaring 'll sharona child valentine blunt edge snatch someone invent hi wall young petty worth intimacy link prine express get think guy daydream one tech mean xo ca throughout stop stiff volcano daughter wreck dylan little sunny make save aerosmith male leg gong report juliet next ac/dc upbeat jj likely however hammomd backseat annie create foreigner baggage willie whitney almost show silver inhibition charm joy claim gloria wild godemis cocker celebrate na sleep food yes connection wo cooder suwandi gaye rattle subliminal somebody day like floor bet contributor sara reed liftin higher course squier dance even subtle enough layer -- t. williamsson smoke humdinger addict eurythmics determine blood linsey expressed iris drop george foster vaughn fever generally image character playlist cant marvin mi high keep regular leave carey share story lou specie point jack lester village featured stone mayday white stereotypical lovin palmer johnny time nice veruca ritual classic crave away standard hoochie mating back desiresurrender dinner breathe squeezebox view pf hardcore evans cru rat cash confessing susan author bodeans harpo affection gon hot wray voice felt mind release gracete footstep article lyricsa find surrender mark amor ding simply help statement king best lennox beyonce te straight-forward stewart fitzgerald doll upbeat/energetic dement water killer two matter track number money great beg rub tell instinctual underlying party armstrong variant double home southern maybe disco wilson tedeschi breakup video louis way night spite indie jackie zevon far female stevie rex rock '' shes moondance henley radney feel evil declaration black mariah rihanna convey walk special schmegacy stand theyll peggy billy big n't often seduction warren lucinda healing gillespie personal hooker go street smithereens ot nne sexy williams nest harris come everybody strait quiet van pride 've message bonnie own.a viewguys plant paint bobby taylor gilder position impart men real julia rod swing early terry commitment security expression herea tegan counterpoint parton kid tommy morrison superficial build madonna adele/bob hunt national royal ray junkie john rockabilly long honey sing roll houston embed adversarial man /energetic right companion girl attractive touch boy confession add v-day romanceseduction nonetheless part chilly meghan shake remind rolling coochie last really setting fidelity secretly ubiquitous background music one-night unknown learn deevil personality sense bad role-played beckon never 're could serve onto wind amo thing gaga divinyls much sex bang contain country stage stay lee certain staggerwing ft. guide smell cale flirtation woman trust something assemble sunday bird knopfler punk sonny play hite run red knack devotion rejection insist begin attention reciprocate wire innocent type let memory x intimate shakin bee full-blown ella important whole attempt dire bad-boy put sexual good towards morning saddle judgment bodily mood know artist tutone dream tom spoonful feeling u four-step lampoon responsive four drive joe romeo bravo jam angela dixon need betty thus thrill ry `` slim dizzy lady advocate undertone mournful idea scream set become proof around car deluxe annotation nick beautiful develop also ce pain escalate vulnerable invitation danger neil city counterfeit crazy collegial liz legend emotion emmylou elaine grab sling swift closer joel coup 'm use concert classical must pop mellow hat 's legacy work bit desire behind genius pike romantic read mandolin jazz song implication wan many upper prayer together want bag salt buy robert inspiration seduce well another carry turner mama;(The Story Of) Woman Love And A Man (Part 1) by Tony Clarke UNCERTAIN.txt
(Therell Come A Day When) Evry Little Bit Hurts;Bobby Vee;asy sweet slowly likebut heart run go say 'll come fast hurtsembed let easy tomorrow ah pay slow fool oh think know one 'cause gon thy sure uh nothing little need town long huh gain fall bear count might around also pain break na evry yes mistake last day 'm lyricsev'ry learn 's mmm bit 're ev'ry tear much want hurt teach take;(Therell Come A Day When) Evry Little Bit Hurts by Bobby Vee.txt
(Theres) Always Something There To Remind Me;Lou Johnson;whoa sigh hold something de sweet shadow le love street go share 'll come back oh would forget ca always lyricsi likeembed free felt step kiss find help cafe tender fall bear ohhh might ohhhh also yessir part place city remind along use night shnana never dance xoxoyou recall baby miss small walk much tight every n't another take pass;(Theres) Always Something There To Remind Me by Lou Johnson.txt
(Theres) Always Something There To Remind Me;Sandie Shaw;hold something sweet shadow love street go share 'll come whoa-oh-ooo-ohhh back oh would forget ca awho-ooo-ohhh-oh always lyricsi likeembed free felt step kiss find help cafe tender fall bear might also part place city remind along use night never dance recall miss small walk much tight every n't take pass;(Theres) Always Something There To Remind Me by Sandie Shaw.txt
(You Cant Let The Boy Overpower) The Man In You;The Miracles;woman cant ta late youembed heart love go say come yeah daddy ever let old oh get think know guy one realize overpower start 'cause lyric wink youth ca fella gon stop eye might truth pretty man matter right girl understand also partly ya boy treat tell na wo surprise like way night 's bad can't still 're feel thing many walk look stay 'd every n't pass;(You Cant Let The Boy Overpower) The Man In You by The Miracles.txt
(You Dont Know) How Glad I Am;Nancy Wilson;'m like rise glad back wider express hide bend know side end might artist front love poet could feel lyric beginning also wish ca loving top say today spin likeembed yeah stop middle amyou drop wo make 'd n't lose bottom wall either picture dont wide paint;(You Dont Know) How Glad I Am by Nancy Wilson.txt
