title;artist;peakpos;lastpos;weeks;rank;isnew
Mood;24kGoldn Featuring iann dior;1;1;11;1;False
WAP;Cardi B Featuring Megan Thee Stallion;1;2;11;2;False
Laugh Now Cry Later;Drake Featuring Lil Durk;2;3;10;3;False
Blinding Lights;The Weeknd;1;4;47;4;False
Savage Love (Laxed - Siren Beat);Jawsh 685 x Jason Derulo;1;6;19;5;False
I Hope;Gabby Barrett Featuring Charlie Puth;6;8;43;6;False
Dynamite;BTS;1;5;9;7;False
Rockstar;DaBaby Featuring Roddy Ricch;1;7;27;8;False
Holy;Justin Bieber Featuring Chance The Rapper;3;14;5;9;False
Lemonade;Internet Money & Gunna Featuring Don Toliver & NAV;10;10;10;10;False
Watermelon Sugar;Harry Styles;1;9;31;11;False
Before You Go;Lewis Capaldi;9;11;38;12;False
For The Night;Pop Smoke Featuring Lil Baby & DaBaby;6;13;16;13;False
Lonely;Justin Bieber & benny blanco;14;0;1;14;True
Go Crazy;Chris Brown & Young Thug;9;15;24;15;False
Got What I Got;Jason Aldean;16;16;21;16;False
One Of Them Girls;Lee Brice;17;17;21;17;False
Whats Poppin;Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne;2;18;37;18;False
Circles;Post Malone;1;19;60;19;False
Be Like That;Kane Brown With Swae Lee & Khalid;20;20;15;20;False
Dreams;Fleetwood Mac;1;12;22;21;False
Come & Go;Juice WRLD x Marshmello;2;21;15;22;False
Said Sum;Moneybagg Yo;23;33;16;23;False
Kings & Queens;Ava Max;24;32;11;24;False
What You Know Bout Love;Pop Smoke;25;29;7;25;False
Bang!;AJR;26;26;16;26;False
ily;Surf Mesa Featuring Emilee;27;28;22;27;False
More Than My Hometown;Morgan Wallen;28;30;19;28;False
Some Girls;Jameson Rodgers;29;34;11;29;False
Wonder;Shawn Mendes;18;22;3;30;False
Adore You;Harry Styles;6;25;46;31;False
The Woo;Pop Smoke Featuring 50 Cent & Roddy Ricch;11;38;16;32;False
Roses;SAINt JHN;4;31;31;33;False
Break My Heart;Dua Lipa;13;27;30;34;False
Whole Lotta Choppas;Sada Baby Featuring Nicki Minaj;35;0;2;35;False
Don't Start Now;Dua Lipa;2;35;51;36;False
One Beer;HARDY Featuring Lauren Alaina & Devin Dawson;37;41;20;37;False
Rags2Riches;Rod Wave Featuring ATR Son Son;12;39;17;38;False
Franchise;Travis Scott Featuring Young Thug & M.I.A.;1;23;4;39;False
Mood Swings;Pop Smoke Featuring Lil Tjay;17;37;16;40;False
Love You Like I Used To;Russell Dickerson;41;51;7;41;False
