title;artist;peakpos;lastpos;weeks;rank;isnew
Circles;Post Malone;1;5;18;1;False
Memories;Maroon 5;2;9;15;2;False
The Box;Roddy Ricch;3;13;4;3;False
Someone You Loved;Lewis Capaldi;1;8;34;4;False
Roxanne;Arizona Zervas;4;6;9;5;False
Good As Hell;Lizzo;3;10;19;6;False
Dance Monkey;Tones And I;7;14;13;7;False
HIGHEST IN THE ROOM;Travis Scott;1;38;13;8;False
10,000 Hours;Dan + Shay & Justin Bieber;4;17;13;9;False
Lose You To Love Me;Selena Gomez;1;18;11;10;False
Senorita;Shawn Mendes & Camila Cabello;1;26;28;11;False
Ballin';Mustard & Roddy Ricch;12;19;24;12;False
BOP;DaBaby;11;20;14;13;False
Bad Guy;Billie Eilish;1;23;40;14;False
Old Town Road;Lil Nas X Featuring Billy Ray Cyrus;1;34;44;15;False
No Guidance;Chris Brown Featuring Drake;5;25;30;16;False
Panini;Lil Nas X;5;30;28;17;False
Truth Hurts;Lizzo;1;35;35;18;False
Trampoline;SHAED;13;46;31;19;False
Heartless;The Weeknd;1;39;6;20;False
Don't Start Now;Dua Lipa;21;52;9;21;False
Bandit;Juice WRLD & YoungBoy Never Broke Again;10;27;13;22;False
Everything I Wanted;Billie Eilish;8;41;8;23;False
Hot;Young Thug Featuring Gunna;11;33;20;24;False
Only Human;Jonas Brothers;18;0;28;25;False
One Man Band;Old Dominion;20;54;19;26;False
Woah;Lil Baby;16;47;8;27;False
I Don't Care;Ed Sheeran & Justin Bieber;2;0;31;28;False
Sucker;Jonas Brothers;1;0;39;29;False
Even Though I'm Leaving;Luke Combs;11;59;18;30;False
Falling;Trevor Daniel;31;51;7;31;False
Hot Girl Bummer;blackbear;32;55;16;32;False
Ran$om;Lil Tecca;4;50;31;33;False
Lover;Taylor Swift;10;57;20;34;False
Adore You;Harry Styles;24;53;4;35;False
The Bones;Maren Morris;36;64;15;36;False
Graveyard;Halsey;34;61;16;37;False
Out West;JACKBOYS Featuring Young Thug;38;0;1;38;True
On Chill;Wale Featuring Jeremih;22;58;21;39;False
Talk;Khalid;3;0;44;40;False
Suicidal;YNW Melly & Juice WRLD;41;56;6;41;False
Beautiful People;Ed Sheeran Featuring Khalid;13;0;25;42;False
Suge;DaBaby;7;0;36;43;False
Futsal Shuffle 2020;Lil Uzi Vert;5;48;3;44;False
Juicy;Doja Cat & Tyga;45;63;10;45;False
No Idea;Don Toliver;43;60;5;46;False
Baby;Lil Baby & DaBaby;21;0;21;47;False
GANG GANG;JACKBOYS & Sheck Wes;48;0;1;48;True
What If I Never Get Over You;Lady Antebellum;47;71;19;49;False
My Oh My;Camila Cabello Featuring DaBaby;50;62;4;50;False
Ridin' Roads;Dustin Lynch;51;73;9;51;False
HAD ENOUGH;Don Toliver Featuring Quavo & Offset;52;0;1;52;True
Heat;Chris Brown Featuring Gunna;36;66;18;53;False
Playing Games;Summer Walker;16;65;18;54;False
Into The Unknown;Idina Menzel & AURORA;46;67;6;55;False
WHAT TO DO?;JACKBOYS Featuring Don Toliver;56;0;1;56;True
VIBEZ;DaBaby;21;68;14;57;False
Heartache Medication;Jon Pardi;58;75;14;58;False
Blinding Lights;The Weeknd;11;72;5;59;False
Kinfolks;Sam Hunt;60;80;12;60;False
Remember You Young;Thomas Rhett;53;82;16;61;False
Heart On Ice;Rod Wave;54;70;8;62;False
Take What You Want;Post Malone Featuring Ozzy Osbourne & Travis Scott;8;77;17;63;False
Homesick;Kane Brown;64;88;7;64;False
Camelot;NLE Choppa;37;74;16;65;False
RITMO (Bad Boys For Life);Black Eyed Peas X J Balvin;66;86;6;66;False
Leave Em Alone;Layton Greene, Lil Baby, City Girls & PnB Rock;60;78;13;67;False
Start Wit Me;Roddy Ricch & Gunna;58;76;7;68;False
GATTI;JACKBOYS, Pop Smoke & Travis Scott;69;0;1;69;True
High Fashion;Roddy Ricch Featuring Mustard;70;0;1;70;True
TOES;DaBaby Featuring Lil Baby & Moneybagg Yo;28;0;5;71;False
South Of The Border;Ed Sheeran Featuring Camila Cabello & Cardi B;53;100;4;72;False
Slide;H.E.R. Featuring YG;73;85;2;73;False
I Hope;Gabby Barrett Featuring Charlie Puth;74;0;1;74;True
Nice To Meet Ya;Niall Horan;63;93;12;75;False
Tusa;Karol G & Nicki Minaj;76;98;5;76;False
We Back;Jason Aldean;77;0;5;77;False
223's;YNW Melly & 9lokknine;34;84;17;78;False
Easy;DaniLeigh Featuring Chris Brown;79;90;9;79;False
Slow Dancing In The Dark;Joji;69;89;13;80;False
BEST ON EARTH;Russ & BIA;81;97;4;81;False
Watermelon Sugar;Harry Styles;54;87;6;82;False
Vete;Bad Bunny;33;91;6;83;False
Make Me Want To;Jimmie Allen;84;0;1;84;True
Enemies;Post Malone Featuring DaBaby;16;99;17;85;False
What She Wants Tonight;Luke Bryan;86;0;2;86;False
homecoming queen?;Kelsea Ballerini;82;0;4;87;False
