title;artist;peakpos;lastpos;weeks;rank;isnew
Stay;The Kid LAROI & Justin Bieber;1;6;10;1;False
Way 2 Sexy;Drake Featuring Future & Young Thug;1;1;2;2;False
Bad Habits;Ed Sheeran;2;13;12;3;False
Knife Talk;Drake Featuring 21 Savage & Project Pat;4;5;2;4;False
Fancy Like;Walker Hayes;5;21;13;5;False
Industry Baby;Lil Nas X & Jack Harlow;2;20;8;6;False
Good 4 U;Olivia Rodrigo;1;15;18;7;False
Kiss Me More;Doja Cat Featuring SZA;3;19;23;8;False
Levitating;Dua Lipa;2;23;50;9;False
Girls Want Girls;Drake Featuring Lil Baby;2;2;2;10;False
Fair Trade;Drake Featuring Travis Scott;3;3;2;11;False
Save Your Tears;The Weeknd & Ariana Grande;1;28;40;12;False
Montero (Call Me By Your Name);Lil Nas X;1;30;25;13;False
Butter;BTS;1;17;17;14;False
Heat Waves;Glass Animals;15;33;35;15;False
Shivers;Ed Sheeran;16;0;1;16;True
Essence;Wizkid Featuring Justin Bieber & Tems;13;34;11;17;False
You Right;Doja Cat & The Weeknd;11;36;12;18;False
Champagne Poetry;Drake;4;4;2;19;False
Deja Vu;Olivia Rodrigo;3;31;24;20;False
Need To Know;Doja Cat;14;38;14;21;False
No Friends In The Industry;Drake;11;11;2;22;False
Take My Breath;The Weeknd;6;37;6;23;False
If I Didn't Love You;Jason Aldean & Carrie Underwood;15;43;8;24;False
Family Ties;Baby Keem & Kendrick Lamar;18;44;3;25;False
Hurricane;Kanye West;6;29;3;26;False
TSU;Drake;9;9;2;27;False
Have Mercy;Chloe;28;0;1;28;True
In The Bible;Drake Featuring Lil Durk & Giveon;7;7;2;29;False
Beggin';Maneskin;29;39;12;30;False
Leave The Door Open;Silk Sonic (Bruno Mars & Anderson .Paak);1;46;28;31;False
Leave Before You Love Me;Marshmello X Jonas Brothers;19;40;17;32;False
N 2 Deep;Drake Featuring Future;12;12;2;33;False
Pepas;Farruko;26;45;8;34;False
Love All;Drake Featuring JAY-Z;10;10;2;35;False
Happier Than Ever;Billie Eilish;11;42;7;36;False
Traitor;Olivia Rodrigo;9;49;17;37;False
Things A Man Oughta Know;Lainey Wilson;32;51;18;38;False
Chasing After You;Ryan Hurd With Maren Morris;34;53;20;39;False
Peaches;Justin Bieber Featuring Daniel Caesar & Giveon;1;47;26;40;False
Papi's Home;Drake;8;8;2;41;False
Arcade;Duncan Laurence;30;54;23;42;False
Cold Beer Calling My Name;Jameson Rodgers Featuring Luke Combs;43;56;11;43;False
Rumors;Lizzo Featuring Cardi B;4;55;5;44;False
Pipe Down;Drake;14;14;2;45;False
A-O-K;Tai Verdes;46;60;11;46;False
Country Again;Thomas Rhett;42;52;20;47;False
Thot Shit;Megan Thee Stallion;16;57;14;48;False
Late At Night;Roddy Ricch;20;59;15;49;False
Wockesha;Moneybagg Yo;33;62;21;50;False
