title;artist;peakpos;lastpos;weeks;rank;isnew
Toosie Slide;Drake;1;0;1;1;True
Blinding Lights;The Weeknd;1;1;19;2;False
The Box;Roddy Ricch;1;2;18;3;False
Don't Start Now;Dua Lipa;2;3;23;4;False
Life Is Good;Future Featuring Drake;2;5;13;5;False
Circles;Post Malone;1;4;32;6;False
Adore You;Harry Styles;6;6;18;7;False
Say So;Doja Cat Featuring Nicki Minaj;7;7;14;8;False
Intentions;Justin Bieber Featuring Quavo;8;8;9;9;False
Everything I Wanted;Billie Eilish;8;9;22;10;False
Someone You Loved;Lewis Capaldi;1;10;48;11;False
The Bones;Maren Morris;12;14;29;12;False
My Oh My;Camila Cabello Featuring DaBaby;13;15;18;13;False
Savage;Megan Thee Stallion;14;18;4;14;False
Memories;Maroon 5;2;13;29;15;False
Roxanne;Arizona Zervas;4;11;23;16;False
Hot Girl Bummer;blackbear;11;16;30;17;False
Blueberry Faygo;Lil Mosey;18;19;9;18;False
Heartless;The Weeknd;1;12;20;19;False
I Hope;Gabby Barrett Featuring Charlie Puth;20;22;15;20;False
Dance Monkey;Tones And I;4;20;27;21;False
Find My Way;DaBaby;22;0;1;22;True
Falling;Trevor Daniel;23;25;21;23;False
Nobody But You;Blake Shelton Duet With Gwen Stefani;24;32;13;24;False
Heart On Ice;Rod Wave;25;30;22;25;False
Ballin';Mustard & Roddy Ricch;11;24;38;26;False
Chasin' You;Morgan Wallen;27;36;11;27;False
RITMO (Bad Boys For Life);Black Eyed Peas X J Balvin;26;26;20;28;False
Catch;Brett Young;29;40;11;29;False
Roses;SAINt JHN;30;39;3;30;False
High Fashion;Roddy Ricch Featuring Mustard;20;31;15;31;False
Stupid Love;Lady Gaga;5;27;6;32;False
Death Bed;Powfu Featuring beabadoobee;33;43;4;33;False
10,000 Hours;Dan + Shay & Justin Bieber;4;28;27;34;False
BOP;DaBaby;11;29;28;35;False
Whats Poppin;Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne;36;49;9;36;False
More Hearts Than Mine;Ingrid Andress;37;44;15;37;False
No Guidance;Chris Brown Featuring Drake;5;35;44;38;False
Break My Heart;Dua Lipa;21;21;2;39;False
Hard To Forget;Sam Hunt;40;91;2;40;False
