title;artist;peakpos;lastpos;weeks;rank;isnew
About Damn Time;Lizzo;1;1;15;1;False
As It Was;Harry Styles;1;2;17;2;False
Running Up That Hill (A Deal With God);Kate Bush;3;3;29;3;False
First Class;Jack Harlow;1;4;16;4;False
Wait For U;Future Featuring Drake & Tems;1;5;13;5;False
Break My Soul;Beyonce;6;7;6;6;False
Late Night Talking;Harry Styles;4;9;10;7;False
Me Porto Bonito;Bad Bunny & Chencho Corleone;6;6;12;8;False
I Like You (A Happier Song);Post Malone Featuring Doja Cat;9;12;8;9;False
Heat Waves;Glass Animals;1;8;80;10;False
Bad Habit;Steve Lacy;11;14;4;11;False
Sunroof;Nicky Youre & dazy;12;16;9;12;False
Big Energy;Latto;3;11;40;13;False
Wasted On You;Morgan Wallen;9;13;37;14;False
Jimmy Cooks;Drake Featuring 21 Savage;1;10;6;15;False
Titi Me Pregunto;Bad Bunny;5;15;12;16;False
The Kind Of Love We Make;Luke Combs;13;17;6;17;False
Stay;The Kid LAROI & Justin Bieber;1;18;55;18;False
Numb Little Bug;Em Beihold;18;20;26;19;False
Ghost;Justin Bieber;5;21;44;20;False
Glimpse Of Us;Joji;8;19;7;21;False
You Proof;Morgan Wallen;6;23;11;22;False
Get Into It (Yuh);Doja Cat;20;22;34;23;False
I Ain't Worried;OneRepublic;24;27;7;24;False
She Had Me At Heads Carolina;Cole Swindell;25;26;9;25;False
Moscow Mule;Bad Bunny;4;24;12;26;False
Shivers;Ed Sheeran;4;28;46;27;False
Vegas;Doja Cat;28;31;8;28;False
Cold Heart (PNAU Remix);Elton John & Dua Lipa;7;29;47;29;False
Like I Love Country Music;Kane Brown;26;37;10;30;False
In A Minute;Lil Baby;14;34;16;31;False
Damn Strait;Scotty McCreery;32;39;17;32;False
Rock And A Hard Place;Bailey Zimmerman;24;42;7;33;False
Provenza;Karol G;25;41;14;34;False
Boyfriend;Dove Cameron;16;30;24;35;False
Sticky;Drake;6;32;6;36;False
Fall In Love;Bailey Zimmerman;35;35;13;37;False
Enemy;Imagine Dragons X JID;5;38;36;38;False
Super Gremlin;Kodak Black;3;43;38;39;False
Last Night Lonely;Jon Pardi;40;58;9;40;False
Something In The Orange;Zach Bryan;30;33;14;41;False
