title;artist;peakpos;lastpos;weeks;rank;isnew
Stay;The Kid LAROI & Justin Bieber;1;1;7;1;False
Bad Habits;Ed Sheeran;2;2;9;2;False
Good 4 U;Olivia Rodrigo;1;3;15;3;False
Kiss Me More;Doja Cat Featuring SZA;3;5;20;4;False
Industry Baby;Lil Nas X & Jack Harlow;2;7;5;5;False
Levitating;Dua Lipa;2;6;47;6;False
Butter;BTS;1;8;14;7;False
Deja Vu;Olivia Rodrigo;3;9;21;8;False
Montero (Call Me By Your Name);Lil Nas X;1;10;22;9;False
Save Your Tears;The Weeknd & Ariana Grande;1;11;37;10;False
Fancy Like;Walker Hayes;11;12;10;11;False
You Right;Doja Cat & The Weeknd;11;17;9;12;False
Essence;Wizkid Featuring Justin Bieber & Tems;13;16;8;13;False
Need To Know;Doja Cat;14;20;11;14;False
Leave The Door Open;Silk Sonic (Bruno Mars & Anderson .Paak);1;15;25;15;False
Take My Breath;The Weeknd;6;13;3;16;False
Rumors;Lizzo Featuring Cardi B;4;4;2;17;False
Peaches;Justin Bieber Featuring Daniel Caesar & Giveon;1;14;23;18;False
Heartbreak Anniversary;Giveon;16;19;28;19;False
Blinding Lights;The Weeknd;1;21;90;20;False
Leave Before You Love Me;Marshmello X Jonas Brothers;19;23;14;21;False
Happier Than Ever;Billie Eilish;11;18;4;22;False
Forever After All;Luke Combs;2;25;44;23;False
Waves;Luke Bryan;24;30;10;24;False
Every Chance I Get;DJ Khaled Featuring Lil Baby & Lil Durk;20;24;17;25;False
Pepas;Farruko;26;33;5;26;False
Thot Shit;Megan Thee Stallion;16;27;11;27;False
Traitor;Olivia Rodrigo;9;29;14;28;False
Beggin';Maneskin;29;42;9;29;False
Arcade;Duncan Laurence;30;38;20;30;False
Late At Night;Roddy Ricch;20;26;12;31;False
Things A Man Oughta Know;Lainey Wilson;32;37;15;32;False
Heat Waves;Glass Animals;19;34;32;33;False
Chasing After You;Ryan Hurd With Maren Morris;34;44;17;34;False
Wockesha;Moneybagg Yo;33;35;18;35;False
Glad You Exist;Dan + Shay;21;22;29;36;False
Without You;The Kid LAROI;8;32;38;37;False
