Id;Label;Name;Size
love;love;love;2260
time;time;time;2029
back;back;back;1879
never;never;never;1830
baby;baby;baby;1823
want;want;want;1815
way;way;way;1641
right;right;right;1626
think;think;think;1609
feel;feel;feel;1576
need;need;need;1574
look;look;look;1538
good;good;good;1513
girl;girl;girl;1500
give;give;give;1472
could;could;could;1444
keep;keep;keep;1432
night;night;night;1291
put;put;put;1233
life;life;life;1231
thing;thing;thing;1214
leave;leave;leave;1180
day;day;day;1180
fuck;fuck;fuck;1170
shit;shit;shit;1161
every;every;every;1149
call;call;call;1126
bitch;bitch;bitch;1126
man;man;man;1122
still;still;still;1086
nigga;nigga;nigga;1078
try;try;try;1030
heart;heart;heart;1027
turn;turn;turn;1021
around;around;around;1013
even;even;even;1010
ta;ta;ta;995
run;run;run;944
would;would;would;929
hit;hit;hit;925
little;little;little;924
ever;ever;ever;913
money;money;money;903
hold;hold;hold;898
light;light;light;890
eye;eye;eye;890
mind;mind;mind;869
play;play;play;868
hear;hear;hear;865
find;find;find;857
boy;boy;boy;848
us;us;us;842
break;break;break;838
show;show;show;835
wo;wo;wo;831
world;world;world;829
hand;hand;hand;829
bad;bad;bad;829
really;really;really;827
new;new;new;826
talk;talk;talk;823
head;head;head;816
real;real;real;786
lose;lose;lose;780
hey;hey;hey;776
long;long;long;768
always;always;always;765
hard;hard;hard;763
stop;stop;stop;757
away;away;away;754
start;start;start;738
big;big;big;724
stay;stay;stay;723
live;live;live;719
home;home;home;717
everything;everything;everything;703
high;high;high;701
fall;fall;fall;689
uh;uh;uh;687
tryna;tryna;tryna;687
friend;friend;friend;673
much;much;much;671
two;two;two;670
walk;walk;walk;666
face;face;face;655
name;name;name;648
nothing;nothing;nothing;632
watch;watch;watch;631
wait;wait;wait;622
use;use;use;618
mean;mean;mean;618
ya;ya;ya;606
change;change;change;606
move;move;move;602
god;god;god;597
last;last;last;596
old;old;old;591
pull;pull;pull;590
young;young;young;583
work;work;work;579
cause;cause;cause;568
damn;damn;damn;567
something;something;something;563
roll;roll;roll;560
end;end;end;560
bring;bring;bring;554
tonight;tonight;tonight;553
dream;dream;dream;548
beat;beat;beat;546
song;song;song;542
another;another;another;539
die;die;die;538
niggas;niggas;niggas;537
body;body;body;529
catch;catch;catch;527
crazy;crazy;crazy;525
kiss;kiss;kiss;520
game;game;game;517
close;close;close;516
whole;whole;whole;509
everybody;everybody;everybody;507
best;best;best;507
ride;ride;ride;504
first;first;first;499
lie;lie;lie;497
top;top;top;496
drop;drop;drop;496
believe;believe;believe;492
side;side;side;490
wrong;wrong;wrong;487
place;place;place;487
star;star;star;486
dance;dance;dance;486
car;car;car;482
alone;alone;alone;481
fly;fly;fly;475
drink;drink;drink;475
buy;buy;buy;475
word;word;word;474
mine;mine;mine;473
ask;ask;ask;469
meet;meet;meet;466
ayy;ayy;ayy;465
enough;enough;enough;462
stand;stand;stand;459
throw;throw;throw;455
door;door;door;454
people;people;people;449
kill;kill;kill;445
nobody;nobody;nobody;444
wish;wish;wish;443
gettin;gettin;gettin;440
pay;pay;pay;438
though;though;though;436
line;line;line;435
miss;miss;miss;433
hope;hope;hope;432
care;care;care;429
inside;inside;inside;426
fire;fire;fire;423
fuckin;fuckin;fuckin;421
lot;lot;lot;420
street;street;street;417
drive;drive;drive;417
lil;lil;lil;414
hate;hate;hate;409
blow;blow;blow;409
woo;woo;woo;408
sleep;sleep;sleep;408
without;without;without;407
open;open;open;405
forget;forget;forget;403
hot;hot;hot;401
year;year;year;399
cold;cold;cold;399
please;please;please;398
rock;rock;rock;396
yo;yo;yo;395
guess;guess;guess;395
next;next;next;394
city;city;city;394
remember;remember;remember;393
goin;goin;goin;392
party;party;party;391
im;im;im;389
okay;okay;okay;388
wake;wake;wake;386
maybe;maybe;maybe;385
fight;fight;fight;381
touch;touch;touch;378
check;check;check;378
lookin;lookin;lookin;377
hell;hell;hell;377
pop;pop;pop;375
mama;mama;mama;375
smoke;smoke;smoke;372
