Id;Label;Name;Size
love;love;love;2156
time;time;time;1939
want;want;want;1615
never;never;never;1551
baby;baby;baby;1549
feel;feel;feel;1507
way;way;way;1485
think;think;think;1391
give;give;give;1331
need;need;need;1323
back;back;back;1292
right;right;right;1286
good;good;good;1247
thing;thing;thing;1225
could;could;could;1221
day;day;day;1151
look;look;look;1141
heart;heart;heart;1137
night;night;night;1123
life;life;life;1111
girl;girl;girl;1097
keep;keep;keep;1089
man;man;man;994
find;find;find;957
try;try;try;954
around;around;around;938
eye;eye;eye;936
leave;leave;leave;919
every;every;every;908
mind;mind;mind;904
hold;hold;hold;887
would;would;would;870
world;world;world;859
still;still;still;858
away;away;away;840
call;call;call;832
hear;hear;hear;815
little;little;little;814
long;long;long;799
wo;wo;wo;791
turn;turn;turn;790
always;always;always;784
ever;ever;ever;779
live;live;live;737
real;real;real;721
put;put;put;717
show;show;show;716
hand;hand;hand;698
cause;cause;cause;696
break;break;break;696
much;much;much;695
run;run;run;688
stop;stop;stop;683
dream;dream;dream;680
play;play;play;678
really;really;really;676
us;us;us;656
even;even;even;653
believe;believe;believe;641
start;start;start;635
ta;ta;ta;633
stay;stay;stay;624
head;head;head;623
talk;talk;talk;621
something;something;something;618
face;face;face;618
hard;hard;hard;617
nothing;nothing;nothing;613
word;word;word;608
walk;walk;walk;604
lose;lose;lose;598
inside;inside;inside;592
light;light;light;589
hey;hey;hey;589
another;another;another;588
wait;wait;wait;586
everything;everything;everything;585
home;home;home;582
name;name;name;580
mean;mean;mean;579
move;move;move;577
friend;friend;friend;576
boy;boy;boy;574
change;change;change;566
wrong;wrong;wrong;559
use;use;use;559
true;true;true;558
new;new;new;556
close;close;close;548
bring;bring;bring;548
mine;mine;mine;545
fall;fall;fall;544
end;end;end;543
place;place;place;541
big;big;big;540
ya;ya;ya;539
two;two;two;539
last;last;last;539
hit;hit;hit;533
alone;alone;alone;528
stand;stand;stand;520
without;without;without;513
bad;bad;bad;505
watch;watch;watch;499
high;high;high;498
people;people;people;497
yo;yo;yo;496
cry;cry;cry;495
lie;lie;lie;490
game;game;game;490
touch;touch;touch;481
together;together;together;479
care;care;care;473
please;please;please;472
yes;yes;yes;471
seem;seem;seem;470
ask;ask;ask;457
enough;enough;enough;450
body;body;body;450
old;old;old;448
side;side;side;443
first;first;first;442
work;work;work;440
deep;deep;deep;439
best;best;best;436
kiss;kiss;kiss;426
tonight;tonight;tonight;425
shit;shit;shit;422
many;many;many;421
soul;soul;soul;419
money;money;money;418
strong;strong;strong;416
rock;rock;rock;416
miss;miss;miss;412
someone;someone;someone;409
whole;whole;whole;406
check;check;check;403
tear;tear;tear;401
door;door;door;401
understand;understand;understand;400
crazy;crazy;crazy;400
die;die;die;399
sure;sure;sure;398
street;street;street;397
beat;beat;beat;397
catch;catch;catch;395
pain;pain;pain;394
next;next;next;394
free;free;free;394
listen;listen;listen;393
fly;fly;fly;391
hurt;hurt;hurt;386
sweet;sweet;sweet;385
must;must;must;383
feeling;feeling;feeling;381
open;open;open;380
meet;meet;meet;380
sound;sound;sound;379
song;song;song;376
remember;remember;remember;376
lay;lay;lay;376
year;year;year;374
roll;roll;roll;374
fool;fool;fool;374
black;black;black;373
smile;smile;smile;372
forget;forget;forget;372
since;since;since;368
nigga;nigga;nigga;368
god;god;god;367
star;star;star;363
far;far;far;363
hope;hope;hope;361
step;step;step;356
matter;matter;matter;356
everybody;everybody;everybody;354
sleep;sleep;sleep;352
else;else;else;351
sing;sing;sing;348
drop;drop;drop;347
fuck;fuck;fuck;346
forever;forever;forever;346
woman;woman;woman;344
nobody;nobody;nobody;343
sun;sun;sun;342
help;help;help;342
blow;blow;blow;341
top;top;top;338
kind;kind;kind;335
sometimes;sometimes;sometimes;334
set;set;set;334
hot;hot;hot;333
line;line;line;332
wish;wish;wish;331
though;though;though;330
uh;uh;uh;329
house;house;house;328
arm;arm;arm;326
pay;pay;pay;324
flow;flow;flow;322
dance;dance;dance;322
sit;sit;sit;319
maybe;maybe;maybe;319
brother;brother;brother;319
cold;cold;cold;317
ride;ride;ride;316
fire;fire;fire;316
lady;lady;lady;315
ready;ready;ready;314
lot;lot;lot;310
wonder;wonder;wonder;309
guess;guess;guess;309
drive;drive;drive;308
straight;straight;straight;307
blue;blue;blue;307
kick;kick;kick;303
throw;throw;throw;301
rain;rain;rain;300
sky;sky;sky;299
fine;fine;fine;298
damn;damn;damn;298
chance;chance;chance;298
saw;saw;saw;297
bitch;bitch;bitch;295
kid;kid;kid;293
young;young;young;292
somebody;somebody;somebody;291
anything;anything;anything;291
pull;pull;pull;287
foot;foot;foot;286
act;act;act;286
room;room;room;285
full;full;full;285
learn;learn;learn;283
behind;behind;behind;283
hell;hell;hell;278
three;three;three;276
speak;speak;speak;274
pass;pass;pass;274
fight;fight;fight;274
lover;lover;lover;273
write;write;write;272
morning;morning;morning;272
burn;burn;burn;271
send;send;send;270
tight;tight;tight;269
may;may;may;269
car;car;car;269
style;style;style;268
late;late;late;268
front;front;front;267
grow;grow;grow;266
reason;reason;reason;265
rest;rest;rest;264
happen;happen;happen;264
cool;cool;cool;264
alright;alright;alright;264
party;party;party;263
heaven;heaven;heaven;261
town;town;town;260
kill;kill;kill;260
slow;slow;slow;259
ah;ah;ah;259
music;music;music;258
hide;hide;hide;258
wake;wake;wake;255
part;part;part;255
easy;easy;easy;255
promise;promise;promise;253
rap;rap;rap;251
hang;hang;hang;251
fear;fear;fear;251
wear;wear;wear;250
thought;thought;thought;250
fast;fast;fast;249
stick;stick;stick;247
rhyme;rhyme;rhyme;247
low;low;low;247
spend;spend;spend;245
smoke;smoke;smoke;245
buy;buy;buy;245
begin;begin;begin;245
truth;truth;truth;244
till;till;till;244
child;child;child;244
gettin;gettin;gettin;243
dark;dark;dark;243
mad;mad;mad;242
win;win;win;241
shake;shake;shake;241
felt;felt;felt;241
white;white;white;240
share;share;share;240
moment;moment;moment;240
reach;reach;reach;239
cut;cut;cut;239
phone;phone;phone;237
past;past;past;237
happy;happy;happy;237
ring;ring;ring;236
goin;goin;goin;236
floor;floor;floor;235
dead;dead;dead;231
plan;plan;plan;230
dont;dont;dont;230
city;city;city;230
nice;nice;nice;229
lonely;lonely;lonely;229
great;great;great;229
trust;trust;trust;228
eat;eat;eat;228
treat;treat;treat;225
pretty;pretty;pretty;225
soon;soon;soon;223
babe;babe;babe;222
whatever;whatever;whatever;220
save;save;save;220
hair;hair;hair;219
doubt;doubt;doubt;219
deal;deal;deal;219
rise;rise;rise;218
fact;fact;fact;218
son;son;son;217
round;round;round;217
crew;crew;crew;217
bed;bed;bed;216
air;air;air;216
wall;wall;wall;215
hate;hate;hate;214
yet;yet;yet;213
wild;wild;wild;213
control;control;control;213
pick;pick;pick;212
chorus;chorus;chorus;212
tryin;tryin;tryin;211
shine;shine;shine;211
ground;ground;ground;211
five;five;five;211
drink;drink;drink;211
sign;sign;sign;210
waste;waste;waste;209
blind;blind;blind;209
follow;follow;follow;208
voice;voice;voice;207
today;today;today;207
shoot;shoot;shoot;207
minute;minute;minute;207
im;im;im;207
lord;lord;lord;205
pray;pray;pray;204
peace;peace;peace;203
road;road;road;202
lip;lip;lip;202
honey;honey;honey;202
gun;gun;gun;202
clear;clear;clear;202
shot;shot;shot;201
niggas;niggas;niggas;201
fill;fill;fill;201
point;point;point;200
spot;spot;spot;199
number;number;number;199
nothin;nothin;nothin;199
knock;knock;knock;199
guy;guy;guy;199
track;track;track;198
laugh;laugh;laugh;198
jump;jump;jump;198
four;four;four;197
ill;ill;ill;196
brain;brain;brain;196
block;block;block;196
along;along;along;196
school;school;school;195
fun;fun;fun;194
picture;picture;picture;193
lookin;lookin;lookin;193
bit;bit;bit;193
dog;dog;dog;192
scream;scream;scream;191
huh;huh;huh;191
different;different;different;191
bust;bust;bust;191
wind;wind;wind;190
knee;knee;knee;190
hour;hour;hour;190
fade;fade;fade;190
comin;comin;comin;190
window;window;window;189
second;second;second;189
quick;quick;quick;188
red;red;red;187
chill;chill;chill;187
story;story;story;186
piece;piece;piece;186
king;king;king;186
death;death;death;186
pop;pop;pop;185
mouth;mouth;mouth;185
apart;apart;apart;185
sell;sell;sell;184
read;read;read;184
bear;bear;bear;184
g;g;g;183
lead;lead;lead;181
water;water;water;180
push;push;push;180
gold;gold;gold;180
half;half;half;179
mother;mother;mother;178
hop;hop;hop;177
question;question;question;176
blood;blood;blood;176
respect;respect;respect;175
power;power;power;175
taste;taste;taste;174
sad;sad;sad;174
pack;pack;pack;174
worry;worry;worry;173
wit;wit;wit;173
afraid;afraid;afraid;173
type;type;type;172
green;green;green;172
cross;cross;cross;172
upon;upon;upon;171
land;land;land;171
heat;heat;heat;171
week;week;week;170
swear;swear;swear;169
figure;figure;figure;169
family;family;family;169
lock;lock;lock;167
key;key;key;167
near;near;near;166
breath;breath;breath;166
x;x;x;165
raise;raise;raise;165
fat;fat;fat;165
lyricsi;lyricsi;lyricsi;164
goodbye;goodbye;goodbye;164
become;become;become;164
angel;angel;angel;164
future;future;future;163
clothes;clothes;clothes;163
build;build;build;163
beautiful;beautiful;beautiful;163
rule;rule;rule;162
corner;corner;corner;162
rich;rich;rich;161
outside;outside;outside;161
memory;memory;memory;161
secret;secret;secret;160
ice;ice;ice;160
case;case;case;160
sorry;sorry;sorry;159
makin;makin;makin;159
la;la;la;159
hat;hat;hat;159
dress;dress;dress;159
war;war;war;158
sex;sex;sex;158
alive;alive;alive;158
suppose;suppose;suppose;157
queen;queen;queen;157
problem;problem;problem;157
finger;finger;finger;157
crack;crack;crack;157
book;book;book;157
answer;answer;answer;157
warm;warm;warm;156
trouble;trouble;trouble;156
ten;ten;ten;156
slip;slip;slip;156
short;short;short;156
realize;realize;realize;156
ball;ball;ball;156
stone;stone;stone;155
sick;sick;sick;155
mr.;mr.;mr.;155
earth;earth;earth;155
thank;thank;thank;154
men;men;men;154
loud;loud;loud;154
finally;finally;finally;154
blame;blame;blame;154
bar;bar;bar;154
trip;trip;trip;153
teach;teach;teach;153
special;special;special;153
record;record;record;153
rather;rather;rather;153
ho;ho;ho;153
feelin;feelin;feelin;153
doin;doin;doin;153
crowd;crowd;crowd;153
bet;bet;bet;153
worth;worth;worth;152
somethin;somethin;somethin;152
perfect;perfect;perfect;152
million;million;million;152
fell;fell;fell;152
count;count;count;152
club;club;club;151
choose;choose;choose;151
already;already;already;151
stuff;stuff;stuff;150
jam;jam;jam;150
bone;bone;bone;150
bag;bag;bag;150
tomorrow;tomorrow;tomorrow;149
skin;skin;skin;149
sight;sight;sight;149
mile;mile;mile;149
fit;fit;fit;149
wife;wife;wife;148
wave;wave;wave;148
verse;verse;verse;148
talkin;talkin;talkin;148
scene;scene;scene;148
hoe;hoe;hoe;148
across;across;across;148
scar;scar;scar;147
whoa;whoa;whoa;146
single;single;single;146
sayin;sayin;sayin;146
moon;moon;moon;146
grab;grab;grab;146
breathe;breathe;breathe;146
search;search;search;145
carry;carry;carry;145
summer;summer;summer;144
simple;simple;simple;144
father;father;father;144
desire;desire;desire;144
cover;cover;cover;144
thinkin;thinkin;thinkin;143
state;state;state;143
six;six;six;143
swing;swing;swing;142
paper;paper;paper;142
mic;mic;mic;142
almost;almost;almost;142
steal;steal;steal;141
faith;faith;faith;141
ear;ear;ear;141
tree;tree;tree;140
none;none;none;140
hood;hood;hood;140
explain;explain;explain;140
shoe;shoe;shoe;139
cat;cat;cat;139
business;business;business;139
space;space;space;138
outta;outta;outta;138
later;later;later;138
dirty;dirty;dirty;138
wet;wet;wet;137
trick;trick;trick;137
funny;funny;funny;137
belong;belong;belong;137
within;within;within;136
pride;pride;pride;136
mama;mama;mama;136
less;less;less;136
strange;strange;strange;135
middle;middle;middle;135
double;double;double;135
sense;sense;sense;134
rush;rush;rush;134
livin;livin;livin;134
fuckin;fuckin;fuckin;134
freak;freak;freak;134
flame;flame;flame;134
em;em;em;134
whenever;whenever;whenever;133
west;west;west;133
weak;weak;weak;133
quite;quite;quite;133
letter;letter;letter;133
sister;sister;sister;132
sea;sea;sea;132
repeat;repeat;repeat;132
ha;ha;ha;132
