Source;Target;Label;Weight
love;time;love-time;965
love;baby;love-baby;963
love;feel;love-feel;766
love;look;love-look;695
love;keep;love-keep;613
love;day;love-day;612
love;night;love-night;551
love;every;love-every;505
love;around;love-around;494
love;heart;love-heart;554
love;ever;love-ever;390
love;much;love-much;364
love;move;love-move;321
love;mean;love-mean;320
love;something;love-something;266
love;crazy;love-crazy;237
love;drive;love-drive;167
love;sleep;love-sleep;155
love;alright;love-alright;150
love;anything;love-anything;171
love;deep;love-deep;159
love;blue;love-blue;117
love;feeling;love-feeling;140
love;felt;love-felt;118
love;easy;love-easy;105
love;jump;love-jump;86
love;ground;love-ground;87
love;waste;love-waste;61
love;spin;love-spin;58
love;want;love-want;852
love;right;love-right;801
love;think;love-think;762
love;girl;love-girl;791
love;give;love-give;685
love;call;love-call;495
love;would;love-would;520
love;hold;love-hold;459
love;turn;love-turn;401
love;ta;love-ta;421
love;wo;love-wo;398
love;talk;love-talk;365
love;break;love-break;352
love;ya;love-ya;346
love;face;love-face;313
love;name;love-name;307
love;hit;love-hit;298
love;two;love-two;279
love;work;love-work;252
love;stand;love-stand;256
love;first;love-first;277
love;place;love-place;258
love;lie;love-lie;243
love;hot;love-hot;232
love;side;love-side;240
love;damn;love-damn;220
love;care;love-care;229
love;maybe;love-maybe;207
love;next;love-next;206
love;floor;love-floor;172
love;guess;love-guess;157
love;pay;love-pay;152
love;three;love-three;146
love;lay;love-lay;137
love;late;love-late;138
love;behind;love-behind;132
love;cut;love-cut;119
love;kind;love-kind;130
love;minute;love-minute;114
love;scream;love-scream;81
love;bet;love-bet;83
love;loud;love-loud;72
love;freak;love-freak;84
love;flip;love-flip;70
love;fade;love-fade;66
love;pour;love-pour;50
love;chorus;love-chorus;52
love;never;love-never;832
love;life;love-life;628
love;man;love-man;628
love;hand;love-hand;408
love;always;love-always;412
love;real;love-real;378
love;new;love-new;307
love;wait;love-wait;301
love;friend;love-friend;317
love;bring;love-bring;262
love;high;love-high;241
love;word;love-word;248
love;inside;love-inside;247
love;best;love-best;237
love;smile;love-smile;210
love;god;love-god;214
love;open;love-open;164
love;understand;love-understand;202
love;though;love-though;190
love;together;love-together;175
love;foot;love-foot;143
love;arm;love-arm;149
love;low;love-low;131
love;pick;love-pick;126
love;moment;love-moment;114
love;lip;love-lip;108
love;till;love-till;89
love;babe;love-babe;113
love;knee;love-knee;87
love;shorty;love-shorty;101
love;five;love-five;78
love;pray;love-pray;87
love;bout;love-bout;81
love;count;love-count;57
love;across;love-across;66
love;mmm;love-mmm;64
love;rather;love-rather;61
love;nine;love-nine;50
love;u;love-u;60
love;way;love-way;887
love;could;love-could;723
love;try;love-try;484
love;eye;love-eye;451
love;little;love-little;418
love;hear;love-hear;413
love;stop;love-stop;376
love;cause;love-cause;366
love;hard;love-hard;351
love;believe;love-believe;348
love;fall;love-fall;299
love;tonight;love-tonight;252
love;touch;love-touch;256
love;true;love-true;207
love;step;love-step;123
love;room;love-room;137
love;forever;love-forever;161
love;saw;love-saw;133
love;write;love-write;118
love;hop;love-hop;84
love;sign;love-sign;62
love;youembed;love-youembed;74
love;fell;love-fell;75
love;mile;love-mile;57
love;thousand;love-thousand;55
love;realize;love-realize;63
love;sight;love-sight;53
love;back;love-back;785
love;good;love-good;700
love;need;love-need;722
love;put;love-put;466
love;find;love-find;483
love;away;love-away;426
love;long;love-long;421
love;boy;love-boy;387
love;home;love-home;378
love;everything;love-everything;387
love;play;love-play;349
love;stay;love-stay;349
love;shit;love-shit;249
love;nigga;love-nigga;262
love;game;love-game;272
love;another;love-another;262
love;money;love-money;259
love;uh;love-uh;271
love;yo;love-yo;235
love;fuck;love-fuck;205
love;club;love-club;203
love;bitch;love-bitch;182
love;enough;love-enough;227
love;mine;love-mine;226
love;rock;love-rock;182
love;pull;love-pull;175
love;nobody;love-nobody;203
love;lookin;love-lookin;174
love;hope;love-hope;168
love;shake;love-shake;135
love;strong;love-strong;172
love;hell;love-hell;142
love;black;love-black;139
love;gettin;love-gettin;132
love;phone;love-phone;155
love;hood;love-hood;123
love;feelin;love-feelin;127
love;tight;love-tight;125
love;promise;love-promise;129
love;daddy;love-daddy;113
love;talkin;love-talkin;107
love;stick;love-stick;116
love;hoe;love-hoe;100
love;comin;love-comin;93
love;plan;love-plan;98
love;eat;love-eat;78
love;fuckin;love-fuckin;80
love;chain;love-chain;79
love;outta;love-outta;77
love;outside;love-outside;59
love;runnin;love-runnin;72
love;livin;love-livin;78
love;thang;love-thang;76
love;ho;love-ho;68
love;dick;love-dick;61
love;bust;love-bust;61
love;playin;love-playin;60
love;choose;love-choose;68
love;haha;love-haha;58
love;lovin;love-lovin;84
love;mr.;love-mr.;54
love;knock;love-knock;52
love;motherfucker;love-motherfucker;50
love;momma;love-momma;59
love;nowhere;love-nowhere;58
love;player;love-player;62
love;light;love-light;285
love;big;love-big;283
love;use;love-use;263
love;old;love-old;226
love;please;love-please;250
love;body;love-body;205
love;sing;love-sing;196
love;someone;love-someone;189
love;tear;love-tear;179
love;matter;love-matter;191
love;fight;love-fight;157
love;sometimes;love-sometimes;150
love;soul;love-soul;165
love;wonder;love-wonder;145
love;cold;love-cold;126
love;chick;love-chick;131
love;wall;love-wall;103
love;doin;love-doin;114
love;four;love-four;99
love;shot;love-shot;87
love;worry;love-worry;95
love;lord;love-lord;96
love;breath;love-breath;85
love;problem;love-problem;76
love;sayin;love-sayin;86
love;worth;love-worth;77
love;cop;love-cop;67
love;shoot;love-shoot;67
love;blood;love-blood;55
love;meembed;love-meembed;62
love;havin;love-havin;50
love;mind;love-mind;431
love;head;love-head;334
love;run;love-run;322
love;dream;love-dream;298
love;last;love-last;270
love;wrong;love-wrong;280
love;blow;love-blow;165
love;road;love-road;128
love;full;love-full;119
love;picture;love-picture;106
love;rest;love-rest;97
love;sorry;love-sorry;91
love;wind;love-wind;80
love;push;love-push;79
love;window;love-window;65
love;pack;love-pack;56
love;west;love-west;57
love;thing;love-thing;714
love;world;love-world;473
love;walk;love-walk;352
love;watch;love-watch;251
love;cry;love-cry;280
love;seem;love-seem;193
love;year;love-year;198
love;whole;love-whole;190
love;far;love-far;158
love;many;love-many;146
love;hair;love-hair;136
love;pretty;love-pretty;144
love;wake;love-wake;121
love;today;love-today;116
love;wear;love-wear;98
love;mouth;love-mouth;105
love;hide;love-hide;108
love;shoe;love-shoe;88
love;lonely;love-lonely;110
love;clothes;love-clothes;89
love;story;love-story;81
love;lover;love-lover;69
love;quite;love-quite;50
love;without;love-without;255
love;door;love-door;232
love;somebody;love-somebody;163
love;win;love-win;82
love;heaven;love-heaven;86
love;king;love-king;71
love;queen;love-queen;82
love;leave;love-leave;554
love;show;love-show;428
love;us;love-us;363
love;nothing;love-nothing;297
love;change;love-change;311
love;catch;love-catch;209
love;drop;love-drop;185
love;people;love-people;182
love;sure;love-sure;196
love;wish;love-wish;194
love;lot;love-lot;186
love;sit;love-sit;157
love;young;love-young;178
love;goin;love-goin;174
love;front;love-front;148
love;kid;love-kid;149
love;truth;love-truth;111
love;red;love-red;109
love;number;love-number;115
love;block;love-block;107
love;kick;love-kick;91
love;spot;love-spot;95
love;clear;love-clear;83
love;dead;love-dead;67
love;bit;love-bit;70
love;funny;love-funny;73
love;quick;love-quick;68
love;handle;love-handle;61
love;pocket;love-pocket;51
love;woah;love-woah;55
love;build;love-build;53
love;close;love-close;216
love;kiss;love-kiss;258
love;meet;love-meet;216
love;spend;love-spend;177
love;thought;love-thought;97
love;dark;love-dark;92
love;taste;love-taste;76
love;skin;love-skin;69
love;smell;love-smell;57
love;almost;love-almost;55
love;still;love-still;465
love;start;love-start;322
love;ask;love-ask;258
love;dance;love-dance;212
love;roll;love-roll;206
love;miss;love-miss;212
love;street;love-street;188
love;die;love-die;181
love;chance;love-chance;176
love;remember;love-remember;163
love;drink;love-drink;145
love;slow;love-slow;147
love;music;love-music;106
love;save;love-save;97
love;speak;love-speak;104
love;son;love-son;75
love;happy;love-happy;97
love;child;love-child;93
love;truck;love-truck;68
love;men;love-men;60
love;father;love-father;51
love;faith;love-faith;56
love;pain;love-pain;168
love;bed;love-bed;137
love;grow;love-grow;141
love;breathe;love-breathe;110
love;may;love-may;113
love;angel;love-angel;62
love;really;love-really;373
love;line;love-line;164
love;party;love-party;115
love;okay;love-okay;133
love;hang;love-hang;96
love;tellin;love-tellin;63
love;special;love-special;65
love;thats;love-thats;50
love;end;love-end;256
love;buy;love-buy;165
love;sweet;love-sweet;142
love;morning;love-morning;143
love;soon;love-soon;90
love;perfect;love-perfect;88
love;middle;love-middle;55
love;cover;love-cover;55
love;steal;love-steal;50
love;bad;love-bad;292
love;throw;love-throw;180
love;listen;love-listen;196
love;yes;love-yes;193
love;pop;love-pop;155
love;check;love-check;126
love;set;love-set;123
love;lil;love-lil;112
love;straight;love-straight;115
love;shine;love-shine;107
love;whatever;love-whatever;112
love;mad;love-mad;103
love;dont;love-dont;107
love;huh;love-huh;98
love;trust;love-trust;117
love;im;love-im;100
love;nice;love-nice;96
love;follow;love-follow;70
love;brother;love-brother;81
love;dude;love-dude;65
love;raise;love-raise;58
love;pimp;love-pimp;62
love;ill;love-ill;56
love;tongue;love-tongue;59
love;deserve;love-deserve;51
love;hey;love-hey;370
love;lose;love-lose;340
love;hurt;love-hurt;200
love;else;love-else;186
love;forget;love-forget;172
love;must;love-must;143
love;kill;love-kill;121
love;happen;love-happen;113
love;second;love-second;85
love;oh-oh;love-oh-oh;99
love;goodbye;love-goodbye;77
love;tomorrow;love-tomorrow;74
love;share;love-share;91
love;hour;love-hour;62
love;fact;love-fact;59
love;wife;love-wife;70
love;belong;love-belong;54
love;town;love-town;138
love;burn;love-burn;105
love;already;love-already;94
love;past;love-past;79
love;memory;love-memory;57
love;even;love-even;430
love;live;love-live;335
love;lady;love-lady;231
love;woman;love-woman;223
love;since;love-since;171
love;fine;love-fine;161
love;sky;love-sky;150
love;nothin;love-nothin;147
love;niggas;love-niggas;113
love;tryin;love-tryin;115
love;lock;love-lock;89
love;beautiful;love-beautiful;109
love;rap;love-rap;81
love;deal;love-deal;93
love;thinkin;love-thinkin;97
love;piece;love-piece;80
love;million;love-million;79
love;probably;love-probably;76
love;chase;love-chase;59
love;answer;love-answer;61
love;brain;love-brain;59
love;seat;love-seat;56
love;homie;love-homie;61
love;hater;love-hater;50
love;..;love-..;64
love;nah;love-nah;58
love;secret;love-secret;52
love;dime;love-dime;54
love;car;love-car;218
love;everybody;love-everybody;191
love;star;love-star;190
love;sun;love-sun;162
love;reason;love-reason;130
love;rain;love-rain;134
love;ring;love-ring;141
love;smoke;love-smoke;94
love;diamond;love-diamond;73
love;hat;love-hat;66
love;yeahembed;love-yeahembed;56
love;tree;love-tree;54
love;shin;love-shin;53
love;cloud;love-cloud;52
love;alone;love-alone;245
love;part;love-part;119
love;fool;love-fool;103
love;wild;love-wild;73
love;doubt;love-doubt;82
love;afraid;love-afraid;69
love;mistake;love-mistake;73
love;green;love-green;60
love;tv;love-tv;52
love;blind;love-blind;56
love;rush;love-rush;50
love;key;love-key;93
love;begin;love-begin;74
love;apart;love-apart;73
love;free;love-free;165
love;ride;love-ride;215
love;mama;love-mama;154
love;fast;love-fast;127
love;act;love-act;123
love;along;love-along;104
love;dog;love-dog;83
love;shawty;love-shawty;73
love;holla;love-holla;86
love;six;love-six;60
love;point;love-point;63
love;cross;love-cross;60
love;south;love-south;52
love;shoulder;love-shoulder;52
love;fly;love-fly;218
love;top;love-top;160
love;hate;love-hate;152
love;ah;love-ah;104
love;fill;love-fill;90
love;type;love-type;92
love;g;love-g;71
love;bear;love-bear;76
love;dollar;love-dollar;77
love;clean;love-clean;64
love;week;love-week;63
love;lead;love-lead;61
love;carry;love-carry;65
love;corner;love-corner;63
love;hundred;love-hundred;52
love;rich;love-rich;58
love;bill;love-bill;51
love;walkin;love-walkin;56
love;bag;love-bag;81
love;paper;love-paper;65
love;space;love-space;50
love;deny;love-deny;55
love;fire;love-fire;122
love;reach;love-reach;77
love;case;love-case;59
love;alive;love-alive;86
love;help;love-help;186
love;tire;love-tire;80
love;song;love-song;225
love;air;love-air;130
love;pass;love-pass;90
love;half;love-half;89
love;fear;love-fear;79
love;grab;love-grab;75
love;great;love-great;77
love;thank;love-thank;80
love;drama;love-drama;50
love;makin;love-makin;85
love;read;love-read;66
love;wrap;love-wrap;62
love;slip;love-slip;59
love;house;love-house;161
love;wit;love-wit;109
love;summer;love-summer;62
love;shut;love-shut;57
love;rule;love-rule;55
love;swear;love-swear;98
love;ten;love-ten;64
love;heard;love-heard;52
love;beat;love-beat;172
love;white;love-white;130
love;uh-huh;love-uh-huh;103
love;flow;love-flow;86
love;ball;love-ball;82
love;track;love-track;86
love;trip;love-trip;79
love;sell;love-sell;67
love;thug;love-thug;90
love;spit;love-spit;57
love;record;love-record;51
love;heat;love-heat;55
love;everywhere;love-everywhere;52
love;land;love-land;60
love;sittin;love-sittin;62
love;sense;love-sense;54
love;cup;love-cup;51
love;weed;love-weed;56
love;lick;love-lick;52
love;b;love-b;53
love;ice;love-ice;104
love;become;love-become;66
love;city;love-city;91
love;cash;love-cash;84
love;yet;love-yet;66
love;gold;love-gold;68
love;plus;love-plus;74
love;fit;love-fit;67
love;neck;love-neck;68
love;figure;love-figure;69
love;benz;love-benz;65
love;less;love-less;52
love;trick;love-trick;51
love;guy;love-guy;112
love;couple;love-couple;81
love;crib;love-crib;70
love;bounce;love-bounce;65
love;rid;love-rid;52
love;ear;love-ear;55
love;school;love-school;82
love;dough;love-dough;67
love;gun;love-gun;88
love;send;love-send;83
love;la;love-la;58
love;suppose;love-suppose;90
love;crack;love-crack;54
love;switch;love-switch;55
