Source;Target;Label;Weight
love;time;love-time;515
love;keep;love-keep;385
love;look;love-look;330
love;could;love-could;382
love;day;love-day;294
love;night;love-night;270
love;new;love-new;215
love;around;love-around;252
love;boy;love-boy;195
love;hear;love-hear;194
love;light;love-light;164
love;home;love-home;177
love;live;love-live;157
love;world;love-world;166
love;little;love-little;139
love;first;love-first;139
love;song;love-song;118
love;lot;love-lot;104
love;alone;love-alone;131
love;wish;love-wish;107
love;place;love-place;98
love;rock;love-rock;82
love;white;love-white;65
love;town;love-town;74
love;sing;love-sing;60
love;child;love-child;56
love;want;love-want;490
love;never;love-never;467
love;think;love-think;406
love;good;love-good;359
love;life;love-life;321
love;ta;love-ta;277
love;try;love-try;286
love;heart;love-heart;267
love;bad;love-bad;223
love;eye;love-eye;197
love;friend;love-friend;190
love;everything;love-everything;180
love;name;love-name;147
love;miss;love-miss;139
love;close;love-close;117
love;ten;love-ten;90
love;spend;love-spend;94
love;road;love-road;94
love;dance;love-dance;87
love;forever;love-forever;88
love;grow;love-grow;84
love;party;love-party;70
love;thousand;love-thousand;56
love;smile;love-smile;66
love;rain;love-rain;54
love;sweet;love-sweet;58
love;learn;love-learn;62
love;back;love-back;471
love;way;love-way;409
love;baby;love-baby;411
love;right;love-right;375
love;still;love-still;377
love;even;love-even;306
love;girl;love-girl;312
love;thing;love-thing;271
love;turn;love-turn;254
love;talk;love-talk;231
love;big;love-big;204
love;find;love-find;221
love;ever;love-ever;208
love;long;love-long;176
love;use;love-use;171
love;hand;love-hand;169
love;buy;love-buy;145
love;last;love-last;140
love;young;love-young;133
love;old;love-old;123
love;house;love-house;126
love;diamond;love-diamond;101
love;year;love-year;95
love;drink;love-drink;75
love;couple;love-couple;77
love;guess;love-guess;94
love;probably;love-probably;78
love;maybe;love-maybe;82
love;bet;love-bet;66
love;saw;love-saw;66
love;far;love-far;70
love;daddy;love-daddy;61
love;wonder;love-wonder;65
love;summer;love-summer;50
love;would;love-would;262
love;mind;love-mind;224
love;lose;love-lose;212
love;walk;love-walk;162
love;inside;love-inside;124
love;believe;love-believe;114
love;mine;love-mine;119
love;fire;love-fire;85
love;nothing;love-nothing;96
love;ice;love-ice;63
love;sky;love-sky;69
love;need;love-need;432
love;uh;love-uh;243
love;pull;love-pull;175
love;hard;love-hard;195
love;gettin;love-gettin;152
love;watch;love-watch;150
love;high;love-high;156
love;bag;love-bag;121
love;okay;love-okay;118
love;shot;love-shot;85
love;red;love-red;79
love;hop;love-hop;66
love;burn;love-burn;64
love;poppin;love-poppin;51
love;leave;love-leave;347
love;run;love-run;236
love;always;love-always;205
love;damn;love-damn;165
love;goin;love-goin;157
love;away;love-away;148
love;side;love-side;122
love;fly;love-fly;102
love;something;love-something;89
love;tear;love-tear;77
love;hang;love-hang;57
love;shit;love-shit;426
love;fuck;love-fuck;408
love;bitch;love-bitch;363
love;nigga;love-nigga;369
love;put;love-put;326
love;us;love-us;236
love;hold;love-hold;190
love;top;love-top;133
love;hundred;love-hundred;116
love;stick;love-stick;118
love;hate;love-hate;146
love;hoe;love-hoe;130
love;phone;love-phone;117
love;throw;love-throw;115
love;shoot;love-shoot;96
love;city;love-city;113
love;gang;love-gang;94
love;door;love-door;111
love;smoke;love-smoke;101
love;straight;love-straight;108
love;ho;love-ho;83
love;send;love-send;87
love;check;love-check;91
love;sure;love-sure;95
love;next;love-next;102
love;whip;love-whip;71
love;reason;love-reason;83
love;rack;love-rack;62
love;business;love-business;70
love;bro;love-bro;72
love;neck;love-neck;64
love;front;love-front;70
love;late;love-late;71
love;sell;love-sell;55
love;fit;love-fit;53
love;easy;love-easy;51
love;feel;love-feel;385
love;niggas;love-niggas;212
love;lil;love-lil;212
love;ayy;love-ayy;186
love;catch;love-catch;172
love;talkin;love-talkin;151
love;woah;love-woah;141
love;mean;love-mean;142
love;ah;love-ah;122
love;pussy;love-pussy;126
love;hey;love-hey;119
love;huh;love-huh;115
love;best;love-best;133
love;lookin;love-lookin;135
love;doin;love-doin;105
love;touch;love-touch;111
love;please;love-please;116
love;though;love-though;110
love;runnin;love-runnin;91
love;dick;love-dick;83
love;kid;love-kid;112
love;deep;love-deep;107
love;eat;love-eat;87
love;hot;love-hot;89
love;mad;love-mad;100
love;open;love-open;81
love;four;love-four;80
love;drive;love-drive;80
love;water;love-water;77
love;soul;love-soul;84
love;chain;love-chain;75
love;type;love-type;67
love;already;love-already;51
love;bust;love-bust;58
love;pretty;love-pretty;53
love;shawty;love-shawty;66
love;bed;love-bed;60
love;hide;love-hide;62
love;mouth;love-mouth;50
love;tellin;love-tellin;50
love;wo;love-wo;211
love;face;love-face;172
love;much;love-much;199
love;ask;love-ask;144
love;end;love-end;145
love;lie;love-lie;130
love;wrong;love-wrong;136
love;meet;love-meet;122
love;star;love-star;95
love;enough;love-enough;114
love;fight;love-fight;67
love;save;love-save;77
love;dark;love-dark;75
love;past;love-past;64
love;fell;love-fell;90
love;guy;love-guy;60
love;happy;love-happy;63
love;kinda;love-kinda;53
love;second;love-second;53
love;tryna;love-tryna;277
love;really;love-really;250
love;real;love-real;246
love;god;love-god;197
love;die;love-die;152
love;body;love-body;161
love;beat;love-beat;127
love;another;love-another;128
love;three;love-three;109
love;block;love-block;99
love;line;love-line;107
love;hope;love-hope;124
love;gun;love-gun;76
love;comin;love-comin;89
love;room;love-room;80
love;pray;love-pray;91
love;ridin;love-ridin;62
love;listen;love-listen;61
love;pill;love-pill;53
love;crib;love-crib;56
love;every;love-every;272
love;hit;love-hit;245
love;stay;love-stay;242
love;show;love-show;228
love;two;love-two;188
love;break;love-break;205
love;start;love-start;160
love;stop;love-stop;166
love;change;love-change;168
love;whole;love-whole;145
love;wait;love-wait;126
love;rich;love-rich;121
love;nobody;love-nobody;127
love;crazy;love-crazy;119
love;game;love-game;127
love;dream;love-dream;119
love;since;love-since;107
love;pain;love-pain;116
love;remember;love-remember;96
love;thinkin;love-thinkin;86
love;full;love-full;75
love;soon;love-soon;63
love;matter;love-matter;62
love;yes;love-yes;62
love;true;love-true;68
love;minute;love-minute;60
love;together;love-together;65
love;woman;love-woman;57
love;felt;love-felt;51
love;bar;love-bar;50
love;call;love-call;284
love;car;love-car;147
love;livin;love-livin;67
love;plan;love-plan;64
love;school;love-school;62
love;behind;love-behind;63
love;anything;love-anything;67
love;air;love-air;51
love;man;love-man;258
love;ya;love-ya;100
love;nah;love-nah;87
love;help;love-help;99
love;number;love-number;74
love;picture;love-picture;58
love;none;love-none;60
love;im;love-im;55
love;taste;love-taste;51
love;worth;love-worth;52
love;money;love-money;229
love;head;love-head;198
love;fuckin;love-fuckin;171
love;kill;love-kill;120
love;bring;love-bring;125
love;yo;love-yo;60
love;swear;love-swear;99
love;million;love-million;101
love;trust;love-trust;110
love;wake;love-wake;107
love;cold;love-cold;88
love;act;love-act;87
love;dead;love-dead;88
love;ready;love-ready;63
love;switch;love-switch;83
love;skrrt;love-skrrt;59
love;makin;love-makin;66
love;count;love-count;65
love;wrist;love-wrist;60
love;kick;love-kick;52
love;floor;love-floor;54
love;give;love-give;379
love;nothin;love-nothin;120
love;five;love-five;70
love;blow;love-blow;73
love;cash;love-cash;76
love;brother;love-brother;80
love;treat;love-treat;82
love;takin;love-takin;72
love;knock;love-knock;54
love;feeling;love-feeling;113
love;cry;love-cry;99
love;kiss;love-kiss;89
love;forget;love-forget;79
love;drug;love-drug;74
love;oh-oh;love-oh-oh;63
love;win;love-win;53
love;dollar;love-dollar;64
love;demon;love-demon;54
love;brain;love-brain;51
love;pop;love-pop;116
love;mama;love-mama;128
love;work;love-work;117
love;without;love-without;97
love;pick;love-pick;88
love;tonight;love-tonight;86
love;problem;love-problem;74
love;slide;love-slide;64
love;sound;love-sound;61
love;pocket;love-pocket;65
love;lay;love-lay;71
love;jump;love-jump;52
love;must;love-must;58
love;sorry;love-sorry;67
love;sleep;love-sleep;110
love;hurt;love-hurt;96
love;sometimes;love-sometimes;77
love;track;love-track;54
love;play;love-play;226
love;pay;love-pay;123
love;street;love-street;121
love;everybody;love-everybody;112
love;people;love-people;102
love;different;love-different;93
love;hood;love-hood;73
love;hair;love-hair;53
love;spin;love-spin;55
love;drop;love-drop;114
love;care;love-care;105
love;mmm;love-mmm;63
love;black;love-black;68
love;family;love-family;74
love;part;love-part;56
love;choose;love-choose;54
love;ride;love-ride;108
love;roll;love-roll;105
love;sit;love-sit;97
love;somethin;love-somethin;98
love;week;love-week;62
love;promise;love-promise;67
love;fall;love-fall;149
love;sayin;love-sayin;78
love;cut;love-cut;78
love;stand;love-stand;81
love;word;love-word;87
love;happen;love-happen;59
love;woo;love-woo;105
love;sign;love-sign;69
love;speak;love-speak;50
love;hell;love-hell;93
love;free;love-free;95
love;feelin;love-feelin;87
love;set;love-set;64
love;actin;love-actin;55
love;fine;love-fine;61
love;music;love-music;59
love;blue;love-blue;89
love;babe;love-babe;53
love;fake;love-fake;66
love;understand;love-understand;50
love;else;love-else;79
love;cool;love-cool;73
love;spot;love-spot;52
love;many;love-many;102
love;ring;love-ring;60
love;somebody;love-somebody;95
love;fact;love-fact;69
love;opps;love-opps;54
love;trap;love-trap;54
love;whatever;love-whatever;53
love;move;love-move;112
love;truth;love-truth;74
love;seem;love-seem;58
love;truck;love-truck;59
love;wear;love-wear;58
love;band;love-band;54
love;step;love-step;63
love;thought;love-thought;58
love;ball;love-ball;57
love;someone;love-someone;89
love;dawg;love-dawg;56
love;lock;love-lock;53
love;fast;love-fast;82
love;foot;love-foot;72
love;rap;love-rap;58
love;scar;love-scar;60
love;outside;love-outside;70
love;six;love-six;63
love;low;love-low;68
love;playin;love-playin;70
time;keep;time-keep;397
time;look;time-look;363
time;could;time-could;370
time;day;time-day;313
time;night;time-night;282
time;new;time-new;238
time;around;time-around;249
time;boy;time-boy;185
time;hear;time-hear;217
time;light;time-light;179
time;home;time-home;157
time;live;time-live;161
time;world;time-world;142
time;little;time-little;136
time;first;time-first;158
time;song;time-song;118
time;lot;time-lot;113
time;alone;time-alone;101
time;wish;time-wish;99
time;place;time-place;91
time;rock;time-rock;74
time;white;time-white;73
time;town;time-town;64
time;child;time-child;55
time;want;time-want;473
time;never;time-never;491
time;shit;time-shit;451
time;fuck;time-fuck;427
time;way;time-way;426
time;bitch;time-bitch;400
time;think;time-think;419
time;need;time-need;426
time;nigga;time-nigga;410
time;baby;time-baby;384
time;right;time-right;418
time;feel;time-feel;410
time;put;time-put;361
time;still;time-still;366
time;tryna;time-tryna;308
time;ta;time-ta;305
time;try;time-try;311
time;every;time-every;357
time;hit;time-hit;279
time;would;time-would;280
time;run;time-run;272
time;money;time-money;256
time;really;time-really;270
time;real;time-real;248
time;play;time-play;235
time;niggas;time-niggas;234
time;big;time-big;219
time;two;time-two;207
time;wo;time-wo;204
time;face;time-face;199
time;hard;time-hard;198
time;catch;time-catch;192
time;god;time-god;206
time;everything;time-everything;190
time;gettin;time-gettin;164
time;goin;time-goin;166
time;die;time-die;169
time;name;time-name;171
time;pop;time-pop;141
time;last;time-last;176
time;mama;time-mama;144
time;kill;time-kill;146
time;pay;time-pay;146
time;lie;time-lie;156
time;huh;time-huh;117
time;bag;time-bag;119
time;crazy;time-crazy;128
time;work;time-work;120
time;inside;time-inside;133
time;dream;time-dream;118
time;block;time-block;116
time;gang;time-gang;102
time;care;time-care;119
time;since;time-since;115
time;everybody;time-everybody;129
time;pain;time-pain;133
time;blue;time-blue;90
time;year;time-year;125
time;runnin;time-runnin;104
time;dick;time-dick;86
time;stand;time-stand;107
time;feeling;time-feeling;107
time;kid;time-kid;120
time;sit;time-sit;98
time;cry;time-cry;102
time;word;time-word;103
time;comin;time-comin;98
time;thinkin;time-thinkin;86
time;guess;time-guess;89
time;drive;time-drive;88
time;maybe;time-maybe;94
time;ready;time-ready;79
time;save;time-save;76
time;bet;time-bet;75
time;bro;time-bro;76
time;late;time-late;75
time;type;time-type;75
time;takin;time-takin;74
time;livin;time-livin;65
time;soon;time-soon;72
time;fake;time-fake;76
time;opps;time-opps;62
time;happen;time-happen;63
time;demon;time-demon;66
time;picture;time-picture;55
time;air;time-air;56
time;kinda;time-kinda;50
time;trench;time-trench;52
time;give;time-give;393
time;life;time-life;341
time;man;time-man;281
time;turn;time-turn;258
time;lil;time-lil;221
time;head;time-head;211
time;mind;time-mind;259
time;find;time-find;212
time;ayy;time-ayy;199
time;lose;time-lose;222
time;break;time-break;208
time;ever;time-ever;190
time;watch;time-watch;168
time;change;time-change;177
time;top;time-top;148
time;hundred;time-hundred;153
time;street;time-street;134
time;game;time-game;137
time;line;time-line;141
time;believe;time-believe;124
