Source;Target;Label;Weight
time;love;time-love;188
time;keep;time-keep;157
time;could;time-could;126
time;look;time-look;115
time;night;time-night;113
time;new;time-new;92
time;day;time-day;104
time;around;time-around;77
time;boy;time-boy;63
time;hear;time-hear;76
time;home;time-home;54
time;light;time-light;54
time;live;time-live;65
time;world;time-world;53
time;little;time-little;54
time;first;time-first;62
time;song;time-song;52
time;lot;time-lot;40
time;alone;time-alone;37
time;place;time-place;34
time;wish;time-wish;35
time;town;time-town;32
time;want;time-want;178
time;back;time-back;171
time;never;time-never;170
time;think;time-think;139
time;still;time-still;137
time;life;time-life;137
time;even;time-even;125
time;find;time-find;81
time;mind;time-mind;99
time;real;time-real;90
time;really;time-really;87
time;friend;time-friend;68
time;always;time-always;77
time;long;time-long;70
time;much;time-much;69
time;last;time-last;65
time;name;time-name;58
time;change;time-change;53
time;house;time-house;51
time;work;time-work;42
time;city;time-city;40
time;hope;time-hope;39
time;ride;time-ride;31
time;bet;time-bet;30
time;drink;time-drink;31
time;stand;time-stand;34
time;water;time-water;28
time;cut;time-cut;28
time;shit;time-shit;150
time;fuck;time-fuck;152
time;good;time-good;136
time;would;time-would;98
time;stop;time-stop;70
time;mine;time-mine;54
time;young;time-young;42
time;dream;time-dream;42
time;five;time-five;39
time;year;time-year;45
time;maybe;time-maybe;33
time;daddy;time-daddy;25
time;need;time-need;156
time;give;time-give;143
time;feel;time-feel;158
time;right;time-right;139
time;leave;time-leave;123
time;ta;time-ta;105
time;us;time-us;93
time;turn;time-turn;85
time;play;time-play;78
time;heart;time-heart;85
time;bad;time-bad;80
time;lose;time-lose;77
time;catch;time-catch;67
time;head;time-head;70
time;break;time-break;73
time;eye;time-eye;75
time;damn;time-damn;49
time;stick;time-stick;52
time;fall;time-fall;50
time;best;time-best;52
time;nothin;time-nothin;52
time;beat;time-beat;37
time;deep;time-deep;49
time;trust;time-trust;39
time;feelin;time-feelin;33
time;different;time-different;39
time;word;time-word;32
time;people;time-people;34
time;something;time-something;29
time;open;time-open;29
time;guess;time-guess;32
time;music;time-music;29
time;nigga;time-nigga;141
time;put;time-put;125
time;tryna;time-tryna;97
time;hit;time-hit;97
time;niggas;time-niggas;87
time;show;time-show;88
time;wo;time-wo;64
time;pull;time-pull;67
time;face;time-face;70
time;talkin;time-talkin;58
time;watch;time-watch;58
time;top;time-top;52
time;hand;time-hand;65
time;old;time-old;46
time;whole;time-whole;56
time;hoe;time-hoe;47
time;kill;time-kill;52
time;mean;time-mean;42
time;hey;time-hey;48
time;three;time-three;44
time;inside;time-inside;54
time;hate;time-hate;48
time;woah;time-woah;44
time;side;time-side;39
time;rich;time-rich;49
time;everybody;time-everybody;54
time;comin;time-comin;43
time;smoke;time-smoke;39
time;kid;time-kid;44
time;believe;time-believe;43
time;line;time-line;46
time;roll;time-roll;36
time;gang;time-gang;36
time;switch;time-switch;33
time;game;time-game;43
time;thinkin;time-thinkin;31
time;fight;time-fight;30
time;pray;time-pray;35
time;brother;time-brother;30
time;grow;time-grow;32
time;way;time-way;155
time;every;time-every;139
time;god;time-god;69
time;close;time-close;42
time;sure;time-sure;30
time;road;time-road;31
time;kiss;time-kiss;28
time;drive;time-drive;30
time;fire;time-fire;33
time;red;time-red;26
time;reason;time-reason;34
time;foot;time-foot;31
time;dance;time-dance;25
time;baby;time-baby;130
time;bitch;time-bitch;135
time;call;time-call;109
time;thing;time-thing;102
time;money;time-money;92
time;hold;time-hold;76
time;use;time-use;68
time;fuckin;time-fuckin;59
time;ayy;time-ayy;65
time;gettin;time-gettin;58
time;car;time-car;51
time;pussy;time-pussy;51
time;wrong;time-wrong;46
time;okay;time-okay;42
time;ya;time-ya;23
time;blue;time-blue;36
time;ho;time-ho;32
time;crazy;time-crazy;39
time;though;time-though;44
time;doin;time-doin;37
time;gun;time-gun;34
time;four;time-four;33
time;hood;time-hood;36
time;black;time-black;29
time;cash;time-cash;26
time;girl;time-girl;106
time;man;time-man;95
time;big;time-big;72
time;two;time-two;73
time;lil;time-lil;60
time;buy;time-buy;64
time;wait;time-wait;47
time;care;time-care;54
time;drop;time-drop;42
time;door;time-door;25
time;shoot;time-shoot;36
time;ready;time-ready;34
time;diamond;time-diamond;28
time;shot;time-shot;35
time;sit;time-sit;35
time;since;time-since;35
time;million;time-million;35
time;th;time-th;30
time;couple;time-couple;26
time;run;time-run;93
time;hard;time-hard;71
time;ah;time-ah;47
time;hundred;time-hundred;57
time;lookin;time-lookin;43
time;hell;time-hell;43
time;many;time-many;41
time;mad;time-mad;33
time;walk;time-walk;55
time;meet;time-meet;46
time;street;time-street;41
time;somebody;time-somebody;31
time;try;time-try;105
time;stay;time-stay;82
time;another;time-another;62
time;pay;time-pay;52
time;end;time-end;55
time;mama;time-mama;48
time;family;time-family;34
time;fine;time-fine;30
time;uh;time-uh;71
time;bring;time-bring;59
time;tonight;time-tonight;50
time;feeling;time-feeling;46
time;woo;time-woo;33
time;body;time-body;58
time;away;time-away;65
time;start;time-start;58
time;high;time-high;57
time;pop;time-pop;48
time;everything;time-everything;58
time;ask;time-ask;50
time;lie;time-lie;59
time;bag;time-bag;37
time;somethin;time-somethin;36
time;please;time-please;42
time;eat;time-eat;31
time;cry;time-cry;36
time;problem;time-problem;37
time;party;time-party;27
time;act;time-act;37
time;playin;time-playin;30
time;kick;time-kick;26
time;talk;time-talk;89
time;touch;time-touch;42
time;fly;time-fly;36
time;miss;time-miss;54
time;enough;time-enough;34
time;room;time-room;25
time;yo;time-yo;24
time;sleep;time-sleep;42
time;wake;time-wake;41
time;star;time-star;36
time;full;time-full;29
time;sound;time-sound;35
time;straight;time-straight;37
time;move;time-move;45
time;send;time-send;36
time;someone;time-someone;28
time;soul;time-soul;27
time;save;time-save;27
time;ever;time-ever;63
time;tear;time-tear;30
time;nothing;time-nothing;35
time;past;time-past;29
time;hurt;time-hurt;41
time;without;time-without;36
time;phone;time-phone;45
time;pain;time-pain;42
time;next;time-next;35
time;business;time-business;34
time;nobody;time-nobody;45
time;sayin;time-sayin;35
time;fast;time-fast;32
time;truth;time-truth;33
time;pick;time-pick;29
time;goin;time-goin;55
time;check;time-check;30
time;hot;time-hot;25
time;count;time-count;25
time;late;time-late;35
time;outside;time-outside;35
time;free;time-free;36
time;huh;time-huh;43
time;block;time-block;40
time;runnin;time-runnin;24
