Id;Label;Name;Size
love;love;love;4180
time;time;time;2581
never;never;never;2254
day;day;day;2217
baby;baby;baby;2183
way;way;way;2148
want;want;want;2119
heart;heart;heart;2105
good;good;good;1915
look;look;look;1853
girl;girl;girl;1836
think;think;think;1835
back;back;back;1832
night;night;night;1823
thing;thing;thing;1820
right;right;right;1806
little;little;little;1773
could;could;could;1762
find;find;find;1744
give;give;give;1727
man;man;man;1672
need;need;need;1667
away;away;away;1660
feel;feel;feel;1655
leave;leave;leave;1623
would;would;would;1562
every;every;every;1555
life;life;life;1540
keep;keep;keep;1509
long;long;long;1486
eye;eye;eye;1455
hold;hold;hold;1440
hear;hear;hear;1425
try;try;try;1391
call;call;call;1384
world;world;world;1350
around;around;around;1348
still;still;still;1346
hand;hand;hand;1303
ever;ever;ever;1300
mind;mind;mind;1287
walk;walk;walk;1280
cry;cry;cry;1248
home;home;home;1247
always;always;always;1244
much;much;much;1236
new;new;new;1159
live;live;live;1156
wo;wo;wo;1154
true;true;true;1152
turn;turn;turn;1147
old;old;old;1145
put;put;put;1131
kiss;kiss;kiss;1125
yes;yes;yes;1094
really;really;really;1088
run;run;run;1080
lose;lose;lose;1073
even;even;even;1068
dream;dream;dream;1067
play;play;play;1057
mine;mine;mine;1054
stay;stay;stay;1052
last;last;last;1050
wait;wait;wait;1045
stand;stand;stand;1045
use;use;use;1043
please;please;please;1041
head;head;head;1041
two;two;two;1040
seem;seem;seem;1039
start;start;start;1033
break;break;break;1033
boy;boy;boy;1004
alone;alone;alone;995
mean;mean;mean;990
show;show;show;989
people;people;people;979
place;place;place;975
us;us;us;971
blue;blue;blue;969
stop;stop;stop;965
friend;friend;friend;965
face;face;face;954
talk;talk;talk;952
sweet;sweet;sweet;952
bring;bring;bring;945
bad;bad;bad;941
another;another;another;934
care;care;care;926
name;name;name;922
tear;tear;tear;919
song;song;song;913
nothing;nothing;nothing;911
end;end;end;911
light;light;light;904
die;die;die;896
something;something;something;894
hard;hard;hard;894
big;big;big;887
wrong;wrong;wrong;874
fall;fall;fall;874
arm;arm;arm;872
word;word;word;871
cause;cause;cause;871
without;without;without;864
ask;ask;ask;862
meet;meet;meet;858
believe;believe;believe;857
miss;miss;miss;855
everything;everything;everything;852
must;must;must;845
high;high;high;835
though;though;though;821
first;first;first;807
may;may;may;806
work;work;work;805
year;year;year;804
hey;hey;hey;804
change;change;change;797
door;door;door;796
side;side;side;790
woman;woman;woman;787
help;help;help;781
many;many;many;770
whole;whole;whole;767
watch;watch;watch;765
since;since;since;762
remember;remember;remember;762
real;real;real;761
part;part;part;751
listen;listen;listen;751
sure;sure;sure;750
soul;soul;soul;750
star;star;star;749
lie;lie;lie;748
young;young;young;745
best;best;best;745
move;move;move;738
smile;smile;smile;733
someone;someone;someone;730
together;together;together;728
town;town;town;726
sit;sit;sit;726
money;money;money;726
ta;ta;ta;724
forget;forget;forget;721
happy;happy;happy;715
kind;kind;kind;714
street;street;street;705
free;free;free;704
hurt;hurt;hurt;698
dance;dance;dance;696
sun;sun;sun;692
foot;foot;foot;691
grow;grow;grow;686
far;far;far;684
child;child;child;684
close;close;close;683
sing;sing;sing;680
hope;hope;hope;671
saw;saw;saw;669
great;great;great;668
everybody;everybody;everybody;664
god;god;god;661
beat;beat;beat;659
fine;fine;fine;658
touch;touch;touch;654
sky;sky;sky;653
matter;matter;matter;648
morning;morning;morning;646
line;line;line;643
lonely;lonely;lonely;639
sound;sound;sound;638
along;along;along;637
pretty;pretty;pretty;635
inside;inside;inside;635
else;else;else;635
set;set;set;634
lot;lot;lot;633
understand;understand;understand;631
fly;fly;fly;626
next;next;next;625
wish;wish;wish;624
enough;enough;enough;624
black;black;black;624
fool;fool;fool;616
sleep;sleep;sleep;612
wonder;wonder;wonder;611
open;open;open;611
three;three;three;610
deep;deep;deep;604
behind;behind;behind;603
begin;begin;begin;603
soon;soon;soon;600
fire;fire;fire;600
game;game;game;597
pay;pay;pay;596
catch;catch;catch;594
pass;pass;pass;587
late;late;late;586
strong;strong;strong;583
bear;bear;bear;583
ah;ah;ah;582
lip;lip;lip;580
cold;cold;cold;576
house;house;house;575
till;till;till;574
speak;speak;speak;569
happen;happen;happen;567
white;white;white;565
somebody;somebody;somebody;563
send;send;send;561
maybe;maybe;maybe;558
wear;wear;wear;557
fight;fight;fight;557
nobody;nobody;nobody;554
lord;lord;lord;554
guy;guy;guy;553
throw;throw;throw;551
laugh;laugh;laugh;550
blow;blow;blow;543
write;write;write;542
darling;darling;darling;541
room;room;room;539
full;full;full;539
roll;roll;roll;538
hit;hit;hit;538
dead;dead;dead;538
music;music;music;535
hour;hour;hour;535
rock;rock;rock;534
chance;chance;chance;534
guess;guess;guess;532
lyricsi;lyricsi;lyricsi;531
hair;hair;hair;529
anything;anything;anything;528
buy;buy;buy;527
today;today;today;525
red;red;red;525
rain;rain;rain;524
yet;yet;yet;521
ring;ring;ring;521
water;water;water;520
step;step;step;519
pain;pain;pain;519
lead;lead;lead;517
dark;dark;dark;516
near;near;near;514
hang;hang;hang;514
fill;fill;fill;513
city;city;city;513
shake;shake;shake;509
moment;moment;moment;509
dear;dear;dear;503
drive;drive;drive;501
low;low;low;499
body;body;body;499
top;top;top;497
learn;learn;learn;496
lay;lay;lay;495
kill;kill;kill;495
son;son;son;493
ya;ya;ya;492
tonight;tonight;tonight;490
tight;tight;tight;490
hide;hide;hide;490
rest;rest;rest;489
pull;pull;pull;489
brother;brother;brother;488
act;act;act;488
mother;mother;mother;486
half;half;half;486
men;men;men;485
thought;thought;thought;482
sad;sad;sad;482
drop;drop;drop;482
rise;rise;rise;481
reason;reason;reason;480
ready;ready;ready;480
follow;follow;follow;480
feeling;feeling;feeling;478
reach;reach;reach;476
hot;hot;hot;475
bit;bit;bit;474
air;air;air;474
round;round;round;472
tree;tree;tree;471
past;past;past;471
